iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
0,0,179.318860,37.894500,11.814458,129.609903,154191,27876,0.999997,0.599988,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0,0,0,0,0,0,1.0,1.0
1,1,77.706872,51.113400,26.577628,0.015844,182807,12429,1.185585,0.267515,0.168546,0.105584,0.1055,0.112169,0.108032,0.110903,0.15002,0.139246,0,0,0,0,0,0,0,0
1,2,77.706872,51.113400,26.577628,0.015844,182807,12429,1.185585,0.267515,0.168546,0.105584,0.1055,0.112169,0.108032,0.110903,0.15002,0.139246,0,0,0,0,0,0,0,0
1,0,77.706872,51.113400,26.577628,0.015844,182807,12429,1.185585,0.267515,0.168546,0.105584,0.1055,0.112169,0.108032,0.110903,0.15002,0.139246,0,0,0,0,0,0,0,0
1,3,77.706872,51.113400,26.577628,0.015844,182807,12429,1.185585,0.267515,0.168546,0.105584,0.1055,0.112169,0.108032,0.110903,0.15002,0.139246,0,0,0,0,0,0,0,0
2,3,77.617197,51.072300,26.529052,0.015844,182715,12474,1.184988,0.268484,0.168546,0.105584,0.1055,0.112169,0.108032,0.110903,0.15002,0.139246,0,0,0,0,0,0,0,0
2,2,77.617197,51.072300,26.529052,0.015844,182715,12474,1.184988,0.268484,0.168546,0.105584,0.1055,0.112169,0.108032,0.110903,0.15002,0.139246,0,0,0,0,0,0,0,0
2,1,77.617197,51.072300,26.529052,0.015844,182715,12474,1.184988,0.268484,0.168546,0.105584,0.1055,0.112169,0.108032,0.110903,0.15002,0.139246,0,0,0,0,0,0,0,0
2,0,77.617197,51.072300,26.529052,0.015844,182715,12474,1.184988,0.268484,0.168546,0.105584,0.1055,0.112169,0.108032,0.110903,0.15002,0.139246,0,0,0,0,0,0,0,0
3,3,77.527536,51.031200,26.480492,0.015844,182623,12519,1.184392,0.269452,0.168546,0.105584,0.1055,0.112169,0.108032,0.110903,0.15002,0.139246,0,0,0,0,0,0,0,0
3,2,77.527536,51.031200,26.480492,0.015844,182623,12519,1.184392,0.269452,0.168546,0.105584,0.1055,0.112169,0.108032,0.110903,0.15002,0.139246,0,0,0,0,0,0,0,0
