iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
0,2,173.709104,37.894500,11.814458,124.000147,154191,27876,0.999997,0.599988,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.8831300813008129,0,0,0,0,0,1.0,1.0
1,1,91.615885,38.644500,12.833797,40.137587,156190,27375,1.012962,0.589205,0.168546,0.105584,0.1055,0.112169,0.108032,0.110903,0.15002,0.139246,0.010194174757281571,0,0,0,0,0,0.1590612777053455,0.8763812154696132
1,0,87.705790,38.644500,12.833797,36.227493,156190,27375,1.012962,0.589205,0.168546,0.105584,0.1055,0.112169,0.108032,0.110903,0.15002,0.139246,0,0,0,0,0,0,0.1714778112882378,0.7827868852459017
1,2,98.244199,38.644500,12.833797,46.765901,156190,27375,1.012962,0.589205,0.168546,0.105584,0.1055,0.112169,0.108032,0.110903,0.15002,0.139246,0,0,0,0,0,0,0.38984629715882624,0.7841957480946651
1,3,97.240437,38.644500,12.833797,45.762140,156190,27375,1.012962,0.589205,0.168546,0.105584,0.1055,0.112169,0.108032,0.110903,0.15002,0.139246,0,0,0,0,0,0,0.15242805755395683,1.0
2,3,67.552347,39.394500,13.854179,14.303668,158190,26875,1.025933,0.578443,0.16508087500000002,0.10130087500000001,0.101195875,0.109509875,0.10435287500000001,0.10793187500000001,0.15426387500000002,0.156363875,0,0,0,0,0,0,0,0.39770425388251174
2,2,66.639270,39.394500,13.854179,13.390591,158190,26875,1.025933,0.578443,0.16508087500000002,0.10130087500000001,0.101195875,0.109509875,0.10435287500000001,0.10793187500000001,0.15426387500000002,0.156363875,0,0,0,0,0,0,0.08237378210806023,0.37375472346272753
2,1,115.372891,39.394500,13.854179,62.124212,158190,26875,1.025933,0.578443,0.16508087500000002,0.10130087500000001,0.101195875,0.109509875,0.10435287500000001,0.10793187500000001,0.15426387500000002,0.156363875,0,0,0,0,0,0,0.49400684931506855,1.0
2,0,104.883146,39.394500,13.854179,51.634467,158190,26875,1.025933,0.578443,0.16508087500000002,0.10130087500000001,0.101195875,0.109509875,0.10435287500000001,0.10793187500000001,0.15426387500000002,0.156363875,0,0,0,0,0,0,0.27547004809794484,1.0
3,1,58.362089,40.144800,14.875127,3.342162,160190,26374,1.038904,0.567660,0.16240312499999998,0.097930125,0.09780812500000001,0.107517125,0.101494125,0.10567412500000001,0.158886125,0.16828712499999998,0,0,0,0,0,0,0,0.1690774670523948
3,0,68.645432,40.144800,14.875127,13.625506,160190,26374,1.038904,0.567660,0.16240312499999998,0.097930125,0.09780812500000001,0.107517125,0.101494125,0.10567412500000001,0.158886125,0.16828712499999998,0,0,0,0,0,0,0.010697475395806566,0.3835388203932022
