iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,prob1,prob2
0,3,96.994844,39.997500,13.795364,43.201981,165875,32550,1.000000,0.600000,0.5,0.5,0,1.0
1,0,97.082047,40.747500,14.814666,41.519881,167874,32049,1.012051,0.590765,0.458507,0.541493,0,0.9649562682215743
1,1,98.764147,40.747500,14.814666,43.201981,167874,32049,1.012051,0.590765,0.458507,0.541493,0,1.0
1,3,98.764147,40.747500,14.814666,43.201981,167874,32049,1.012051,0.590765,0.458507,0.541493,0,1.0
1,2,98.764147,40.747500,14.814666,43.201981,167874,32049,1.012051,0.590765,0.458507,0.541493,0,1.0
2,2,57.433072,41.497800,15.834931,0.100341,169874,31548,1.024109,0.581530,0.430877,0.569123,0,0.06610217329946377
2,0,84.759500,41.497800,15.834931,27.426769,169874,31548,1.024109,0.581530,0.430877,0.569123,0,0.6713497525738013
2,1,62.651271,41.497800,15.834931,5.318539,169874,31548,1.024109,0.581530,0.430877,0.569123,0,0.21073996752493618
2,3,64.495021,41.497800,15.834931,7.162290,169874,31548,1.024109,0.581530,0.430877,0.569123,0,0.24917095483133223
3,3,59.149792,42.248100,16.855672,0.046020,171874,31047,1.036166,0.572295,0.425154,0.574846,0,0.05213542564810025
3,0,59.107733,42.248100,16.855672,0.003961,171874,31047,1.036166,0.572295,0.425154,0.574846,0,0
3,1,59.108854,42.248100,16.855672,0.005082,171874,31047,1.036166,0.572295,0.425154,0.574846,0,0.007485891972820458
3,2,59.107733,42.248100,16.855672,0.003961,171874,31047,1.036166,0.572295,0.425154,0.574846,0,0
4,0,57.345631,41.498100,15.834932,0.012598,169874,31547,1.024109,0.581512,0.424319,0.575681,0,0.028076295504416815
4,3,57.358368,41.498100,15.834932,0.025335,169874,31547,1.024109,0.581512,0.424319,0.575681,0,0.04134709647655843
4,2,57.346310,41.498100,15.834932,0.013278,169874,31547,1.024109,0.581512,0.424319,0.575681,0,0.029117221418234362
4,1,81.935783,41.498100,15.834932,24.602751,169874,31547,1.024109,0.581512,0.424319,0.575681,0,0.6125160497962374
5,1,59.107733,42.248100,16.855672,0.003961,171874,31047,1.036166,0.572295,0.379068,0.620932,0,0
5,0,59.107733,42.248100,16.855672,0.003961,171874,31047,1.036166,0.572295,0.379068,0.620932,0,0
5,2,59.107733,42.248100,16.855672,0.003961,171874,31047,1.036166,0.572295,0.379068,0.620932,0,0
5,3,59.107733,42.248100,16.855672,0.003961,171874,31047,1.036166,0.572295,0.379068,0.620932,0,0
6,3,57.336994,41.498100,15.834932,0.003961,169874,31547,1.024109,0.581512,0.379068,0.620932,0,0
6,2,57.336994,41.498100,15.834932,0.003961,169874,31547,1.024109,0.581512,0.379068,0.620932,0,0
6,1,57.343895,41.498100,15.834932,0.010862,169874,31547,1.024109,0.581512,0.379068,0.620932,0,0.025082283509249792
6,0,57.336994,41.498100,15.834932,0.003961,169874,31547,1.024109,0.581512,0.379068,0.620932,0,0
7,3,55.567051,40.748100,14.814159,0.004791,167873,32046,1.012045,0.590710,0.378463,0.621537,0,0.005843932622894399
7,0,55.574098,40.748100,14.814159,0.011839,167873,32046,1.012045,0.590710,0.378463,0.621537,0,0.026831370295892
7,2,56.489597,40.748100,14.814159,0.927338,167873,32046,1.012045,0.590710,0.378463,0.621537,0,0.11298425812213908
7,1,55.582285,40.748100,14.814159,0.020026,167873,32046,1.012045,0.590710,0.378463,0.621537,0,0.03699304259290681
8,1,57.335976,41.498100,15.833915,0.003961,169872,31545,1.024096,0.581475,0.33327,0.66673,0,0
8,2,57.335976,41.498100,15.833915,0.003961,169872,31545,1.024096,0.581475,0.33327,0.66673,0,0
8,0,57.335976,41.498100,15.833915,0.003961,169872,31545,1.024096,0.581475,0.33327,0.66673,0,0
8,3,57.343226,41.498100,15.833915,0.011211,169872,31545,1.024096,0.581475,0.33327,0.66673,0,0.025727710291084116
9,3,55.566588,40.748100,14.813142,0.005346,167871,32044,1.012033,0.590673,0.332509,0.667491,0,0.00885203652865707
9,1,55.565203,40.748100,14.813142,0.003961,167871,32044,1.012033,0.590673,0.332509,0.667491,0,0
9,2,55.629580,40.748100,14.813142,0.068338,167871,32044,1.012033,0.590673,0.332509,0.667491,0,0.05920350502724259
9,0,55.565203,40.748100,14.813142,0.003961,167871,32044,1.012033,0.590673,0.332509,0.667491,0,0
10,3,53.795692,39.998400,13.793331,0.003961,165871,32543,0.999976,0.599871,0.313028,0.686972,0,0
10,2,54.175072,39.998400,13.793331,0.383341,165871,32543,0.999976,0.599871,0.313028,0.686972,0,0.0917822232325528
10,0,54.427221,39.998400,13.793331,0.635489,165871,32543,0.999976,0.599871,0.313028,0.686972,0,0.10314330779630465
10,1,53.832601,39.998400,13.793331,0.040870,165871,32543,0.999976,0.599871,0.313028,0.686972,0,0.05000851450303678
11,3,55.564995,40.748400,14.812634,0.003961,167870,32042,1.012027,0.590636,0.285951,0.714049,0,0
11,1,55.568816,40.748400,14.812634,0.007782,167870,32042,1.012027,0.590636,0.285951,0.714049,0,0.01795239460854603
11,0,55.825987,40.748400,14.812634,0.264953,167870,32042,1.012027,0.590636,0.285951,0.714049,0,0.08427157966564314
11,2,55.566034,40.748400,14.812634,0.005001,167870,32042,1.012027,0.590636,0.285951,0.714049,0,0.00704265674205562
12,1,54.096360,40.298700,13.793685,0.003975,165870,31541,0.999970,0.581401,0.322884,0.677116,0,0.00011538017768553122
12,2,54.109558,40.298700,13.793685,0.017173,165870,31541,0.999970,0.581401,0.322884,0.677116,0,0.03409480296973155
12,3,54.104425,40.298700,13.793685,0.012039,165870,31541,0.999970,0.581401,0.322884,0.677116,0,0.027169001355625833
12,0,54.108857,40.298700,13.793685,0.016472,165870,31541,0.999970,0.581401,0.322884,0.677116,0,0.03330074193362864
13,0,58.875832,39.548700,12.774161,6.552971,163870,32041,0.987913,0.590618,0.321103,0.678897,0,0.23647434038851833
13,2,52.415150,39.548700,12.774161,0.092289,163870,32041,0.987913,0.590618,0.321103,0.678897,0,0.06459330143540676
13,3,54.175988,39.548700,12.774161,1.853127,163870,32041,0.987913,0.590618,0.321103,0.678897,0,0.13683043528999883
13,1,65.581070,39.548700,12.774161,13.258209,163870,32041,0.987913,0.590618,0.321103,0.678897,0,0.3761714285714286
14,3,54.255160,40.298700,13.793685,0.162775,165870,31541,0.999970,0.581401,0.287914,0.712086,0,0.07496158005578002
14,0,54.403983,40.298700,13.793685,0.311598,165870,31541,0.999970,0.581401,0.287914,0.712086,0,0.08750781827486209
14,2,54.392646,40.298700,13.793685,0.300261,165870,31541,0.999970,0.581401,0.287914,0.712086,0,0.08676056338028171
