iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,prob1,prob2
0,3,110.180684,44.880000,22.098704,43.201981,182150,32550,1.000000,0.600000,0.5,0.5,0,1.0
1,0,111.953912,45.630300,23.121632,43.201981,184150,32049,1.010980,0.590765,0.465759,0.534241,0,1.0
1,1,111.953912,45.630300,23.121632,43.201981,184150,32049,1.010980,0.590765,0.465759,0.534241,0,1.0
1,3,111.953912,45.630300,23.121632,43.201981,184150,32049,1.010980,0.590765,0.465759,0.534241,0,1.0
1,2,111.953912,45.630300,23.121632,43.201981,184150,32049,1.010980,0.590765,0.465759,0.534241,0,1.0
2,0,78.455445,46.380600,24.145114,7.929731,186150,31548,1.021960,0.581530,0.444167,0.555833,0,0.26516063773421317
2,2,82.373912,46.380600,24.145114,11.848198,186150,31548,1.021960,0.581530,0.444167,0.555833,0,0.3467961908407905
2,1,80.766512,46.380600,24.145114,10.240798,186150,31548,1.021960,0.581530,0.444167,0.555833,0,0.31330864316290696
2,3,83.965565,46.380600,24.145114,13.439851,186150,31548,1.021960,0.581530,0.444167,0.555833,0,0.37995562843638464
3,0,72.304038,47.130900,25.169177,0.003961,188150,31047,1.032940,0.572295,0.439436,0.560564,0,0
3,3,72.304038,47.130900,25.169177,0.003961,188150,31047,1.032940,0.572295,0.439436,0.560564,0,0
3,2,72.304038,47.130900,25.169177,0.003961,188150,31047,1.032940,0.572295,0.439436,0.560564,0,0
3,1,72.304038,47.130900,25.169177,0.003961,188150,31047,1.032940,0.572295,0.439436,0.560564,0,0
4,2,70.918435,46.380900,24.145117,0.392419,186150,31547,1.021960,0.581512,0.439436,0.560564,0,0.09227644242394928
4,3,70.529978,46.380900,24.145117,0.003961,186150,31547,1.021960,0.581512,0.439436,0.560564,0,0
4,0,73.566584,46.380900,24.145117,3.040567,186150,31547,1.021960,0.581512,0.439436,0.560564,0,0.1629261363636364
4,1,72.185929,46.380900,24.145117,1.659913,186150,31547,1.021960,0.581512,0.439436,0.560564,0,0.13229793077323737
5,3,72.304038,47.130900,25.169177,0.003961,188150,31047,1.032940,0.572295,0.438423,0.561577,0,0
5,1,72.304038,47.130900,25.169177,0.003961,188150,31047,1.032940,0.572295,0.438423,0.561577,0,0
5,2,72.304515,47.130900,25.169177,0.004437,188150,31047,1.032940,0.572295,0.438423,0.561577,0,0.003595250484885737
5,0,72.304038,47.130900,25.169177,0.003961,188150,31047,1.032940,0.572295,0.438423,0.561577,0,0
6,3,70.529978,46.380900,24.145117,0.003961,186150,31547,1.021960,0.581512,0.437856,0.562144,0,0
6,0,70.870640,46.380900,24.145117,0.344623,186150,31547,1.021960,0.581512,0.437856,0.562144,0,0.08956430745814314
6,2,78.715543,46.380900,24.145117,8.189526,186150,31547,1.021960,0.581512,0.437856,0.562144,0,0.2705732724103821
6,1,70.531225,46.380900,24.145117,0.005208,186150,31547,1.021960,0.581512,0.437856,0.562144,0,0.008152431510095814
7,3,72.304038,47.130900,25.169177,0.003961,188150,31047,1.032940,0.572295,0.407491,0.592509,0,0
7,0,72.304038,47.130900,25.169177,0.003961,188150,31047,1.032940,0.572295,0.407491,0.592509,0,0
7,2,72.304038,47.130900,25.169177,0.003961,188150,31047,1.032940,0.572295,0.407491,0.592509,0,0
7,1,72.304038,47.130900,25.169177,0.003961,188150,31047,1.032940,0.572295,0.407491,0.592509,0,0
8,3,70.529978,46.380900,24.145117,0.003961,186150,31547,1.021960,0.581512,0.407491,0.592509,0,0
8,0,70.549904,46.380900,24.145117,0.023888,186150,31547,1.021960,0.581512,0.407491,0.592509,0,0.0402652771198484
8,2,70.529978,46.380900,24.145117,0.003961,186150,31547,1.021960,0.581512,0.407491,0.592509,0,0
8,1,70.529978,46.380900,24.145117,0.003961,186150,31547,1.021960,0.581512,0.407491,0.592509,0,0
9,2,68.756800,45.631200,23.121639,0.003961,184150,32046,1.010980,0.590710,0.406871,0.593129,0,0
9,0,68.756800,45.631200,23.121639,0.003961,184150,32046,1.010980,0.590710,0.406871,0.593129,0,0
9,3,68.767472,45.631200,23.121639,0.014633,184150,32046,1.010980,0.590710,0.406871,0.593129,0,0.031018714938952474
9,1,68.761908,45.631200,23.121639,0.009069,184150,32046,1.010980,0.590710,0.406871,0.593129,0,0.0213057445200302
10,2,66.989287,44.881500,22.098714,0.009072,182150,32545,1.000000,0.599908,0.406018,0.593982,0,0.021312712184081484
10,0,69.295698,44.881500,22.098714,2.315484,182150,32545,1.000000,0.599908,0.406018,0.593982,0,0.1472468159651532
10,1,67.064153,44.881500,22.098714,0.083939,182150,32545,1.000000,0.599908,0.406018,0.593982,0,0.06288772079367344
10,3,67.168495,44.881500,22.098714,0.188281,182150,32545,1.000000,0.599908,0.406018,0.593982,0,0.07769076496991689
11,3,68.769158,45.631800,23.121644,0.015714,184150,32044,1.010980,0.590673,0.378167,0.621833,0,0.03239658380647925
11,2,68.758848,45.631800,23.121644,0.005405,184150,32044,1.010980,0.590673,0.378167,0.621833,0,0.009138755980861224
11,0,68.757535,45.631800,23.121644,0.004091,184150,32044,1.010980,0.590673,0.378167,0.621833,0,0.0010631614555647317
11,1,68.757445,45.631800,23.121644,0.004001,184150,32044,1.010980,0.590673,0.378167,0.621833,0,0.0003304692663582687
12,1,66.984780,44.882100,22.098719,0.003961,182150,32543,1.000000,0.599871,0.378705,0.621295,0,0
12,2,73.364032,44.882100,22.098719,6.383214,182150,32543,1.000000,0.599871,0.378705,0.621295,0,0.23293663860012237
12,3,66.995067,44.882100,22.098719,0.014249,182150,32543,1.000000,0.599871,0.378705,0.621295,0,0.03050098693486225
12,0,70.004916,44.882100,22.098719,3.024097,182150,32543,1.000000,0.599871,0.378705,0.621295,0,0.1625750660581311
13,2,68.759001,45.632400,23.121649,0.004952,184150,32042,1.010980,0.590636,0.338869,0.661131,0,0.0067708333333332815
13,1,69.518148,45.632400,23.121649,0.764099,184150,32042,1.010980,0.590636,0.338869,0.661131,0,0.10775579105317457
13,0,68.812530,45.632400,23.121649,0.058481,184150,32042,1.010980,0.590636,0.338869,0.661131,0,0.0564194109080659
13,3,68.758010,45.632400,23.121649,0.003961,184150,32042,1.010980,0.590636,0.338869,0.661131,0,0
14,0,70.531794,46.382700,24.145133,0.003961,186150,31541,1.021960,0.581401,0.370144,0.629856,0,0
