,Sim Mix and Util,Cost,Cost Power,Cost Error,Cost QoS,P Watts,R Watts,P Coef,R Coef,Average Job Power,Average Job Time,Average Job # Nodes,Number of Jobs,Utilization,Average QOS
0,w3-5,160.535579,30.9252,0.000476,129.609903,130960.0,27876.0,0.999993,0.599988,305.421875,166.4375,5.625,8.0,0.5,1.375
1,w3-5,47.959227,37.2315,10.711882,0.015844,152027.0,27922.0,1.160858,0.600978,305.421875,166.4375,5.625,8.0,0.5,1.375
2,w3-5,47.959227,37.2315,10.711882,0.015844,152027.0,27922.0,1.160858,0.600978,305.421875,166.4375,5.625,8.0,0.5,1.375
3,w3-5,47.976467,37.2315,10.711882,0.033085,152027.0,27922.0,1.160858,0.600978,305.421875,166.4375,5.625,8.0,0.5,1.375
4,w3-5,47.959227,37.2315,10.711882,0.015844,152027.0,27922.0,1.160858,0.600978,305.421875,166.4375,5.625,8.0,0.5,1.375
5,w3-5,39.990657,32.0508,4.83699,3.102867,140484.0,33648.0,1.072717,0.724221,305.421875,166.4375,5.625,8.0,0.5,1.375
6,w3-5,38.686989,32.0508,4.83699,1.799199,140484.0,33648.0,1.072717,0.724221,305.421875,166.4375,5.625,8.0,0.5,1.375
7,w3-5,37.364476,32.0508,4.83699,0.476686,140484.0,33648.0,1.072717,0.724221,305.421875,166.4375,5.625,8.0,0.5,1.375
8,w3-5,44.212626,32.0508,4.83699,7.324836,140484.0,33648.0,1.072717,0.724221,305.421875,166.4375,5.625,8.0,0.5,1.375
9,w3-5,47.387514,36.8397,10.53197,0.015844,151675.0,28876.0,1.15817,0.621511,305.421875,166.4375,5.625,8.0,0.5,1.375
10,w3-5,47.387514,36.8397,10.53197,0.015844,151675.0,28876.0,1.15817,0.621511,305.421875,166.4375,5.625,8.0,0.5,1.375
11,w3-5,47.387514,36.8397,10.53197,0.015844,151675.0,28876.0,1.15817,0.621511,305.421875,166.4375,5.625,8.0,0.5,1.375
12,w3-5,47.387514,36.8397,10.53197,0.015844,151675.0,28876.0,1.15817,0.621511,305.421875,166.4375,5.625,8.0,0.5,1.375
13,w3-5,45.982295,36.1806,9.785542,0.016153,150210.0,29608.0,1.146983,0.637267,305.421875,166.4375,5.625,8.0,0.5,1.375
14,w3-5,45.981986,36.1806,9.785542,0.015844,150210.0,29608.0,1.146983,0.637267,305.421875,166.4375,5.625,8.0,0.5,1.375
15,w3-5,45.981986,36.1806,9.785542,0.015844,150210.0,29608.0,1.146983,0.637267,305.421875,166.4375,5.625,8.0,0.5,1.375
16,w3-5,45.982426,36.1806,9.785542,0.016284,150210.0,29608.0,1.146983,0.637267,305.421875,166.4375,5.625,8.0,0.5,1.375
17,w3-75,179.31886,37.8945,11.814458,129.609903,154191.0,27876.0,0.999997,0.599988,305.421875,166.4375,5.625,8.0,0.75,1.375
18,w3-75,105.669396,38.4948,12.579418,54.595178,155691.0,27375.0,1.009726,0.589205,305.421875,166.4375,5.625,8.0,0.75,1.375
19,w3-75,106.070195,38.4948,12.579418,54.995977,155691.0,27375.0,1.009726,0.589205,305.421875,166.4375,5.625,8.0,0.75,1.375
20,w3-75,96.722017,38.4948,12.579418,45.647798,155691.0,27375.0,1.009726,0.589205,305.421875,166.4375,5.625,8.0,0.75,1.375
21,w3-75,101.955674,38.4948,12.579418,50.881456,155691.0,27375.0,1.009726,0.589205,305.421875,166.4375,5.625,8.0,0.75,1.375
22,w3-75,68.58401,39.0948,13.344714,16.144497,157191.0,26875.0,1.019454,0.578443,305.421875,166.4375,5.625,8.0,0.75,1.375
23,w3-75,73.673455,39.0948,13.344714,21.233941,157191.0,26875.0,1.019454,0.578443,305.421875,166.4375,5.625,8.0,0.75,1.375
24,w3-75,97.068578,39.0948,13.344714,44.629064,157191.0,26875.0,1.019454,0.578443,305.421875,166.4375,5.625,8.0,0.75,1.375
25,w3-75,118.748833,39.0948,13.344714,66.309319,157191.0,26875.0,1.019454,0.578443,305.421875,166.4375,5.625,8.0,0.75,1.375
26,w3-75,60.976216,39.6951,14.110365,7.170751,158691.0,26374.0,1.029182,0.56766,305.421875,166.4375,5.625,8.0,0.75,1.375
27,w3-75,78.054057,39.6951,14.110365,24.248592,158691.0,26374.0,1.029182,0.56766,305.421875,166.4375,5.625,8.0,0.75,1.375
28,w3-75,65.40636,39.6951,14.110365,11.600895,158691.0,26374.0,1.029182,0.56766,305.421875,166.4375,5.625,8.0,0.75,1.375
29,w3-75,64.283639,39.6951,14.110365,10.478174,158691.0,26374.0,1.029182,0.56766,305.421875,166.4375,5.625,8.0,0.75,1.375
30,w3-75,55.688302,40.2948,14.87588,0.517621,160190.0,25874.0,1.038904,0.556898,305.421875,166.4375,5.625,8.0,0.75,1.375
31,w3-75,76.489522,40.2948,14.87588,21.318842,160190.0,25874.0,1.038904,0.556898,305.421875,166.4375,5.625,8.0,0.75,1.375
32,w3-75,59.310065,40.2948,14.87588,4.139385,160190.0,25874.0,1.038904,0.556898,305.421875,166.4375,5.625,8.0,0.75,1.375
33,w3-75,57.711028,40.2948,14.87588,2.540347,160190.0,25874.0,1.038904,0.556898,305.421875,166.4375,5.625,8.0,0.75,1.375
34,w3-75,57.693445,40.8951,15.642305,1.15604,161690.0,25373.0,1.048632,0.546115,305.421875,166.4375,5.625,8.0,0.75,1.375
35,w3-75,56.787131,40.8951,15.642305,0.249726,161690.0,25373.0,1.048632,0.546115,305.421875,166.4375,5.625,8.0,0.75,1.375
36,w3-75,56.598173,40.8951,15.642305,0.060768,161690.0,25373.0,1.048632,0.546115,305.421875,166.4375,5.625,8.0,0.75,1.375
37,w3-75,56.594543,40.8951,15.642305,0.057138,161690.0,25373.0,1.048632,0.546115,305.421875,166.4375,5.625,8.0,0.75,1.375
38,w3-75,58.025176,41.4951,16.409151,0.120925,163190.0,24873.0,1.05836,0.535353,305.421875,166.4375,5.625,8.0,0.75,1.375
39,w3-75,57.943951,41.4951,16.409151,0.0397,163190.0,24873.0,1.05836,0.535353,305.421875,166.4375,5.625,8.0,0.75,1.375
40,w3-75,59.03659,41.4951,16.409151,1.132339,163190.0,24873.0,1.05836,0.535353,305.421875,166.4375,5.625,8.0,0.75,1.375
41,w3-75,57.948316,41.4951,16.409151,0.044065,163190.0,24873.0,1.05836,0.535353,305.421875,166.4375,5.625,8.0,0.75,1.375
42,w3-75,59.28729,42.0951,17.175936,0.016254,164689.0,24372.0,1.068082,0.52457,305.421875,166.4375,5.625,8.0,0.75,1.375
43,w3-75,59.309594,42.0951,17.175936,0.038558,164689.0,24372.0,1.068082,0.52457,305.421875,166.4375,5.625,8.0,0.75,1.375
44,w3-75,59.28688,42.0951,17.175936,0.015844,164689.0,24372.0,1.068082,0.52457,305.421875,166.4375,5.625,8.0,0.75,1.375
45,w3-75,59.287768,42.0951,17.175936,0.016732,164689.0,24372.0,1.068082,0.52457,305.421875,166.4375,5.625,8.0,0.75,1.375
46,w3-75,57.920712,41.4951,16.408134,0.017478,163188.0,24871.0,1.058347,0.53531,305.421875,166.4375,5.625,8.0,0.75,1.375
47,w3-75,58.228147,41.4951,16.408134,0.324914,163188.0,24871.0,1.058347,0.53531,305.421875,166.4375,5.625,8.0,0.75,1.375
48,w3-75,57.923816,41.4951,16.408134,0.020583,163188.0,24871.0,1.058347,0.53531,305.421875,166.4375,5.625,8.0,0.75,1.375
49,w3-75,57.965126,41.4951,16.408134,0.061893,163188.0,24871.0,1.058347,0.53531,305.421875,166.4375,5.625,8.0,0.75,1.375
50,w3-75,56.88883,41.1954,15.643129,0.050301,161688.0,24370.0,1.048619,0.524527,305.421875,166.4375,5.625,8.0,0.75,1.375
51,w3-75,56.858537,41.1954,15.643129,0.020008,161688.0,24370.0,1.048619,0.524527,305.421875,166.4375,5.625,8.0,0.75,1.375
52,w3-75,56.861762,41.1954,15.643129,0.023233,161688.0,24370.0,1.048619,0.524527,305.421875,166.4375,5.625,8.0,0.75,1.375
53,w3-75,57.421836,41.1954,15.643129,0.583307,161688.0,24370.0,1.048619,0.524527,305.421875,166.4375,5.625,8.0,0.75,1.375
54,w3-75,58.221488,41.7954,16.410244,0.015844,163188.0,23870.0,1.058347,0.513765,305.421875,166.4375,5.625,8.0,0.75,1.375
55,w3-75,58.221488,41.7954,16.410244,0.015844,163188.0,23870.0,1.058347,0.513765,305.421875,166.4375,5.625,8.0,0.75,1.375
56,w3-75,58.221488,41.7954,16.410244,0.015844,163188.0,23870.0,1.058347,0.513765,305.421875,166.4375,5.625,8.0,0.75,1.375
57,w3-75,58.240751,41.7954,16.410244,0.035107,163188.0,23870.0,1.058347,0.513765,305.421875,166.4375,5.625,8.0,0.75,1.375
58,w3-75,56.856635,41.1954,15.643129,0.018106,161688.0,24370.0,1.048619,0.524527,305.421875,166.4375,5.625,8.0,0.75,1.375
59,w3-75,56.854373,41.1954,15.643129,0.015844,161688.0,24370.0,1.048619,0.524527,305.421875,166.4375,5.625,8.0,0.75,1.375
60,w3-75,56.858706,41.1954,15.643129,0.020177,161688.0,24370.0,1.048619,0.524527,305.421875,166.4375,5.625,8.0,0.75,1.375
61,w3-75,56.85648,41.1954,15.643129,0.017951,161688.0,24370.0,1.048619,0.524527,305.421875,166.4375,5.625,8.0,0.75,1.375
62,w3-75,55.488215,40.5957,14.876466,0.016049,160188.0,24869.0,1.038891,0.535267,305.421875,166.4375,5.625,8.0,0.75,1.375
63,w3-75,55.501704,40.5957,14.876466,0.029538,160188.0,24869.0,1.038891,0.535267,305.421875,166.4375,5.625,8.0,0.75,1.375
64,w3-75,55.494916,40.5957,14.876466,0.02275,160188.0,24869.0,1.038891,0.535267,305.421875,166.4375,5.625,8.0,0.75,1.375
65,w3-75,55.646948,40.5957,14.876466,0.174781,160188.0,24869.0,1.038891,0.535267,305.421875,166.4375,5.625,8.0,0.75,1.375
66,w3-75,54.445866,40.2957,14.111213,0.038953,158687.0,24368.0,1.029156,0.524484,305.421875,166.4375,5.625,8.0,0.75,1.375
67,w3-75,54.441858,40.2957,14.111213,0.034945,158687.0,24368.0,1.029156,0.524484,305.421875,166.4375,5.625,8.0,0.75,1.375
68,w3-75,54.490691,40.2957,14.111213,0.083778,158687.0,24368.0,1.029156,0.524484,305.421875,166.4375,5.625,8.0,0.75,1.375
69,w3-75,56.707612,40.2957,14.111213,2.300699,158687.0,24368.0,1.029156,0.524484,305.421875,166.4375,5.625,8.0,0.75,1.375
70,w3-75,55.788424,40.8954,14.87718,0.015844,160186.0,23868.0,1.038878,0.513722,305.421875,166.4375,5.625,8.0,0.75,1.375
71,w3-75,55.788424,40.8954,14.87718,0.015844,160186.0,23868.0,1.038878,0.513722,305.421875,166.4375,5.625,8.0,0.75,1.375
72,w3-75,55.788424,40.8954,14.87718,0.015844,160186.0,23868.0,1.038878,0.513722,305.421875,166.4375,5.625,8.0,0.75,1.375
73,w3-75,55.788424,40.8954,14.87718,0.015844,160186.0,23868.0,1.038878,0.513722,305.421875,166.4375,5.625,8.0,0.75,1.375
74,w3-75,54.421558,40.2951,14.110192,0.016265,158685.0,24368.0,1.029143,0.524484,305.421875,166.4375,5.625,8.0,0.75,1.375
