iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
0,0,99.110819,37.922100,12.792772,48.395947,151550,25143,1.000000,0.599982,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0.2623481781376519,0,0,0,0.9456521739130435,0
1,0,133.147933,34.969800,11.700260,86.477873,149419,32853,0.985939,0.783964,0.10812,0.107512,0.165632,0.107284,0.115268,0.122339,0.157361,0.116484,0,0,0.05962059620596205,0,1.0,1.0,0,0
2,0,69.118070,44.484900,24.617326,0.015844,174696,26413,1.152728,0.630288,0.09736300000000002,0.09637900000000002,0.15533200000000003,0.09601000000000001,0.130396,0.164431,0.14919,0.11089900000000001,0,0,0,0,0,0,0,0
3,0,343.505896,23.399700,9.825668,310.280528,107018,29019,0.706156,0.692474,0.09736300000000002,0.09637900000000002,0.15533200000000003,0.09601000000000001,0.130396,0.164431,0.14919,0.11089900000000001,0.9700598802395209,1.0,1.0,0.2941176470588236,1.0,1.0,1.0,1.0
4,0,58.366839,41.920500,16.430494,0.015844,158646,18911,1.046823,0.451269,0.094342875,0.087249875,0.160155875,0.08714787500000001,0.134340875,0.181030875,0.143760875,0.11197087500000001,0,0,0,0,0,0,0,0
5,0,79.670124,50.445900,29.208380,0.015844,183444,15291,1.210452,0.364886,0.094342875,0.087249875,0.160155875,0.08714787500000001,0.134340875,0.181030875,0.143760875,0.11197087500000001,0,0,0,0,0,0,0,0
6,0,88.577472,51.364800,37.196828,0.015844,199239,28023,1.314675,0.668707,0.094342875,0.087249875,0.160155875,0.08714787500000001,0.134340875,0.181030875,0.143760875,0.11197087500000001,0,0,0,0,0,0,0,0
7,0,235.227701,36.148500,5.923015,193.156186,138057,17562,0.910967,0.419078,0.094342875,0.087249875,0.160155875,0.08714787500000001,0.134340875,0.181030875,0.143760875,0.11197087500000001,0,1.0,0.788003663003663,0,1.0,0.7359597652975691,1.0,0
8,0,307.337797,30.416700,2.987119,273.933977,120517,19128,0.795229,0.456447,0.071194,0.073038,0.177834,0.062592,0.152931,0.221493,0.138025,0.102893,0.610738255033557,1.0,1.0,0.7961783439490446,1.0,1.0,1.0,0
9,0,99.631811,56.653500,42.962467,0.015844,210266,21421,1.387436,0.511165,0.06435700000000001,0.06057400000000002,0.186456,0.057735000000000015,0.16074100000000002,0.24105300000000002,0.132544,0.09654000000000001,0,0,0,0,0,0,0,0
10,0,365.067458,20.654700,12.167671,332.245087,102394,33545,0.675645,0.800477,0.06435700000000001,0.06057400000000002,0.186456,0.057735000000000015,0.16074100000000002,0.24105300000000002,0.132544,0.09654000000000001,0.9884393063583815,1.0,1.0,0.7333333333333334,1.0,1.0,1.0,1.0
11,0,80.712385,48.037800,32.658741,0.015844,190427,30301,1.256529,0.723066,0.062666,0.055135,0.188648,0.054424,0.163675,0.246213,0.13025,0.098989,0,0,0,0,0,0,0,0
12,0,51.292907,36.990300,14.286762,0.015844,154493,31192,1.019419,0.744328,0.062666,0.055135,0.188648,0.054424,0.163675,0.246213,0.13025,0.098989,0,0,0,0,0,0,0,0
13,0,364.717412,20.707200,8.396159,335.614052,109849,40825,0.724837,0.974198,0.062666,0.055135,0.188648,0.054424,0.163675,0.246213,0.13025,0.098989,0.994413407821229,1.0,1.0,0.7975460122699387,1.0,1.0,1.0,1.0
