iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,prob1,prob2
0,0,101.387943,41.625000,16.560962,43.201981,171300,32550,1.000000,0.600000,0.5,0.5,0,1.0
1,0,86.734791,36.189000,7.343810,43.201981,153203,32573,0.894355,0.600424,0.46078,0.53922,0,1.0
2,0,81.382917,53.429400,27.949556,0.003961,193349,15251,1.128716,0.281124,0.426797,0.573203,0,0
3,0,119.748383,30.554100,15.711714,73.482569,107381,5534,0.626859,0.102009,0.426797,0.573203,0.7308868501529051,1.0
4,0,118.432618,60.021600,58.407057,0.003961,253234,53162,1.478307,0.979945,0.419275,0.580725,0,0
5,0,115.274120,60.016500,55.253659,0.003961,247014,46959,1.441996,0.865604,0.419275,0.580725,0,0
6,0,65.697429,39.546000,18.665409,7.486020,175450,43630,1.024227,0.804240,0.419275,0.580725,0,0.25591605096905445
7,0,98.283391,45.386100,9.695310,43.201981,157718,6431,0.920712,0.118544,0.418321,0.581679,0,1.0
8,0,139.294469,75.593400,63.697108,0.003961,259538,7560,1.515108,0.139355,0.394151,0.605849,0,0
9,0,73.801628,52.136400,21.661267,0.003961,180824,7036,1.055598,0.129696,0.394151,0.605849,0,0
10,0,97.502377,54.079200,43.419216,0.003961,223897,43633,1.307046,0.804295,0.394151,0.605849,0,0
11,0,140.512896,76.044600,64.464335,0.003961,260761,7279,1.522248,0.134175,0.394151,0.605849,0,0
12,0,84.824249,40.554900,1.067369,43.201981,140851,5668,0.822248,0.104479,0.394151,0.605849,0,1.0
13,0,106.551263,63.161100,43.386202,0.003961,222851,12314,1.300940,0.226986,0.37629,0.62371,0,0
14,0,122.152765,68.169900,53.978904,0.003961,243480,16247,1.421366,0.299484,0.37629,0.62371,0,0
15,0,87.724712,54.135000,33.585750,0.003961,204491,24041,1.193759,0.443152,0.37629,0.62371,0,0
16,0,83.365073,31.045200,9.117893,43.201981,156699,53215,0.914764,0.980922,0.37629,0.62371,0,1.0
17,0,78.748221,46.884300,31.859960,0.003961,201312,45031,1.175201,0.830065,0.375813,0.624187,0,0
18,0,76.037602,20.534400,12.301222,43.201981,114485,46037,0.668330,0.848608,0.375813,0.624187,0,1.0
19,0,70.612457,26.891700,0.518776,43.201981,139772,50133,0.815949,0.924111,0.373667,0.626333,0,1.0
20,0,110.903663,63.400800,47.498902,0.003961,231306,19970,1.350298,0.368111,0.372586,0.627414,0,0
21,0,107.929814,58.562100,49.363753,0.003961,235451,40244,1.374495,0.741825,0.372586,0.627414,0,0
22,0,74.813960,24.962400,6.649579,43.201981,125640,42432,0.733450,0.782157,0.372586,0.627414,0,1.0
23,0,83.081688,54.694500,28.383227,0.003961,194047,11732,1.132790,0.216258,0.370541,0.629459,0,0
24,0,91.024258,15.413700,17.928507,57.682051,103372,51993,0.603456,0.958396,0.370541,0.629459,0.4017094017094016,1.0
25,0,125.353692,64.698600,60.651131,0.003961,257439,41777,1.502855,0.770083,0.380712,0.619288,0,0
26,0,81.239948,26.542200,11.495767,43.201981,116058,27584,0.677513,0.508461,0.380712,0.619288,0,1.0
27,0,85.038640,31.305900,10.530760,43.201981,117928,13575,0.688430,0.250230,0.375721,0.624279,0,1.0
28,0,100.205856,56.050200,44.151695,0.003961,225272,38438,1.315073,0.708535,0.364398,0.635602,0,0
29,0,86.279330,55.494300,30.781069,0.003961,198770,13789,1.160362,0.254175,0.364398,0.635602,0,0
