iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,weight11,weight12,weight13,weight14,weight15,weight16,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8,prob9,prob10,prob11,prob12,prob13,prob14,prob15,prob16
0,0,248.068993,39.070500,13.961388,195.037105,157675,27440,1.000000,0.599986,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0012305168170630987,0.3862212943632567,0,0.6474007103648692,1.0,1.0,0,0.6292352371732817,0,0,0,0,0,0,0,1.0
1,0,83.277680,51.922800,31.323192,0.031689,191460,18384,1.214270,0.401973,0.054663,0.066662,0.052773,0.091411,0.083218,0.070579,0.052266,0.065627,0.051897,0.051759,0.056599,0.053925,0.055262,0.055493,0.055493,0.082373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,79.013942,48.631500,30.350753,0.031689,189725,27620,1.203266,0.603922,0.054663,0.066662,0.052773,0.091411,0.083218,0.070579,0.052266,0.065627,0.051897,0.051759,0.056599,0.053925,0.055262,0.055493,0.055493,0.082373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,75.770378,45.841200,29.897489,0.031689,188910,36106,1.198097,0.789472,0.054663,0.066662,0.052773,0.091411,0.083218,0.070579,0.052266,0.065627,0.051897,0.051759,0.056599,0.053925,0.055262,0.055493,0.055493,0.082373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,63.769567,41.892600,21.845278,0.031689,173142,33500,1.098094,0.732491,0.054663,0.066662,0.052773,0.091411,0.083218,0.070579,0.052266,0.065627,0.051897,0.051759,0.056599,0.053925,0.055262,0.055493,0.055493,0.082373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,68.677969,41.454900,27.191380,0.031689,183656,45473,1.164776,0.994285,0.054663,0.066662,0.052773,0.091411,0.083218,0.070579,0.052266,0.065627,0.051897,0.051759,0.056599,0.053925,0.055262,0.055493,0.055493,0.082373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,110.682507,63.711600,46.939218,0.031689,220217,7845,1.396651,0.171534,0.054663,0.066662,0.052773,0.091411,0.083218,0.070579,0.052266,0.065627,0.051897,0.051759,0.056599,0.053925,0.055262,0.055493,0.055493,0.082373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,499.298270,33.233400,5.825380,460.239490,141701,30923,0.898690,0.676143,0.054663,0.066662,0.052773,0.091411,0.083218,0.070579,0.052266,0.065627,0.051897,0.051759,0.056599,0.053925,0.055262,0.055493,0.055493,0.082373,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0.8977272727272727,0,0.9344569288389513,0,0,0,0.8559322033898304,1.0
8,0,129.854859,70.309500,59.513670,0.031689,244327,9962,1.549561,0.217823,0.06316993750000001,0.07543893750000001,0.0625819375,0.0950779375,0.09143493750000001,0.0692859375,0.0389489375,0.06663793750000001,0.046646937500000006,0.037751937500000006,0.0740409375,0.042865937500000006,0.046021937500000006,0.0465669375,0.059579937500000006,0.0839489375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,543.068374,34.865100,0.545555,507.657720,131309,15092,0.832783,0.329992,0.06316993750000001,0.07543893750000001,0.0625819375,0.0950779375,0.09143493750000001,0.0692859375,0.0389489375,0.06663793750000001,0.046646937500000006,0.037751937500000006,0.0740409375,0.042865937500000006,0.046021937500000006,0.0465669375,0.059579937500000006,0.0839489375,1.0,1.0,1.0,1.0,1.0,1.0,0.11688311688311681,1.0,1.0,0,0.9174311926605505,0,0,0.8366013071895425,1.0,1.0
