iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
0,0,99.110819,37.922100,12.792772,48.395947,151550,25143,1.000000,0.599982,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0.2623481781376519,0,0,0,0.9456521739130435,0
1,0,67.519385,43.051500,24.452040,0.015844,174403,30898,1.150795,0.737312,0.10812,0.107512,0.165632,0.107284,0.115268,0.122339,0.157361,0.116484,0,0,0,0,0,0,0,0
2,0,253.847907,33.468000,4.373965,216.005942,135016,23456,0.890901,0.559726,0.10812,0.107512,0.165632,0.107284,0.115268,0.122339,0.157361,0.116484,0,1.0,1.0,0,1.0,1.0,1.0,0
3,0,107.492785,56.478600,50.998341,0.015844,226256,37994,1.492946,0.906643,0.097864875,0.10135387500000001,0.170623875,0.09649687500000001,0.12092687500000002,0.147160875,0.154020875,0.11155187500000001,0,0,0,0,0,0,0,0
4,0,311.801011,29.386800,8.319923,274.094288,109962,12006,0.725582,0.286497,0.097864875,0.10135387500000001,0.170623875,0.09649687500000001,0.12092687500000002,0.147160875,0.154020875,0.11155187500000001,0.41025641025641024,1.0,1.0,0,1.0,1.0,1.0,1.0
5,0,368.634036,23.373900,14.004550,331.255586,98729,20816,0.651462,0.496728,0.092426125,0.09515612500000001,0.176170125,0.088853125,0.12301912500000001,0.16231612499999998,0.150383125,0.111676125,0.9774011299435028,1.0,1.0,0.7237569060773481,1.0,1.0,1.0,1.0
6,0,371.026664,22.211100,15.655914,333.159650,95457,21420,0.629871,0.511141,0.089496,0.091064,0.178866,0.085408,0.124805,0.171312,0.147926,0.111123,0.9743589743589743,1.0,1.0,0.7664670658682635,1.0,1.0,1.0,1.0
7,0,84.652995,52.384200,32.252950,0.015844,189307,14693,1.249139,0.350616,0.086609,0.087433,0.181535,0.082173,0.126603,0.179389,0.145761,0.110497,0,0,0,0,0,0,0,0
8,0,84.315559,50.082300,34.217414,0.015844,193416,26475,1.276252,0.631767,0.086609,0.087433,0.181535,0.082173,0.126603,0.179389,0.145761,0.110497,0,0,0,0,0,0,0,0
9,0,374.070421,20.788800,16.114655,337.166966,94564,25268,0.623979,0.602965,0.086609,0.087433,0.181535,0.082173,0.126603,0.179389,0.145761,0.110497,0.9937106918238994,1.0,1.0,0.8306010928961749,1.0,1.0,1.0,1.0
10,0,274.617313,33.111900,1.936171,239.569242,130219,19846,0.859248,0.473581,0.083903125,0.083945125,0.183864125,0.07916312499999999,0.128688125,0.18671212499999998,0.143714125,0.11001012499999999,0.5895953757225434,1.0,1.0,0,1.0,1.0,1.0,0.059288537549407216
11,0,219.904939,31.069800,3.804914,185.030225,133898,30332,0.883524,0.723806,0.081092,0.076977,0.188295,0.068301,0.134896,0.203836,0.140604,0.105999,0,1.0,0.9958658704639411,0.3109756097560975,1.0,0.7106863596872285,0.4371859296482412,0
12,0,60.278825,44.272200,15.990781,0.015844,157680,10106,1.040449,0.241157,0.07689187500000001,0.07671387500000001,0.188750875,0.06843087500000002,0.13957687500000002,0.206112875,0.13941387500000002,0.104108875,0,0,0,0,0,0,0,0
13,0,65.939666,41.955300,23.968521,0.015844,173471,33620,1.144645,0.802267,0.07689187500000001,0.07671387500000001,0.188750875,0.06843087500000002,0.13957687500000002,0.206112875,0.13941387500000002,0.104108875,0,0,0,0,0,0,0,0
14,0,104.942072,37.439400,5.570911,61.931761,137359,12561,0.906361,0.299740,0.07689187500000001,0.07671387500000001,0.188750875,0.06843087500000002,0.13957687500000002,0.206112875,0.13941387500000002,0.104108875,0,1.0,0,0.08805031446540879,0,0,0.4834123222748815,0
