iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,prob1,prob2
0,0,101.387943,41.625000,16.560962,43.201981,171300,32550,1.000000,0.600000,0.5,0.5,0,1.0
1,0,76.878970,47.139300,29.735709,0.003961,197131,40000,1.150794,0.737327,0.46078,0.53922,0,0
2,0,86.919506,36.673800,7.043726,43.201981,152612,30366,0.890905,0.559742,0.46078,0.53922,0,1.0
3,0,121.688374,61.966500,59.717913,0.003961,255741,49186,1.492942,0.906654,0.421078,0.578922,0,0
4,0,83.149246,32.624700,7.322566,43.201981,124292,15543,0.725581,0.286507,0.421078,0.578922,0,1.0
5,0,82.347858,25.394700,13.750216,43.202941,111596,26947,0.651465,0.496719,0.373516,0.626484,0.0066006600660066805,1.0
6,0,99.677564,24.050400,15.619447,60.007717,107897,27729,0.629872,0.511134,0.352904,0.647096,0.4501607717041801,1.0
7,0,97.034726,58.486800,38.543965,0.003961,213978,19022,1.249142,0.350636,0.376856,0.623144,0,0
8,0,96.074580,55.304700,40.765918,0.003961,218622,34273,1.276252,0.631760,0.376856,0.623144,0,0
9,0,97.106089,22.253100,16.135528,58.717460,106888,32711,0.623981,0.602968,0.376856,0.623144,0.42328042328042326,1.0
10,0,83.937910,36.449100,4.286829,43.201981,147189,25692,0.859247,0.473585,0.403795,0.596205,0,1.0
11,0,83.224868,33.624000,6.398887,43.201981,151347,39267,0.883520,0.723816,0.384157,0.615843,0,1.0
12,0,69.730022,49.543500,20.182561,0.003961,178229,13084,1.040450,0.241180,0.378491,0.621509,0,0
13,0,74.960002,45.766500,29.189541,0.003961,196078,43523,1.144647,0.802267,0.378491,0.621509,0,0
14,0,93.301729,41.699400,8.400349,43.201981,155260,16262,0.906363,0.299760,0.378491,0.621509,0,1.0
15,0,67.498320,35.428800,15.497551,16.571969,169239,51143,0.987968,0.942728,0.35462,0.64538,0,0.4452080946926308
16,0,136.664729,69.513900,67.146868,0.003961,269967,38254,1.575989,0.705143,0.355206,0.644794,0,0
17,0,123.824933,63.215100,60.605872,0.003961,257435,46718,1.502831,0.861161,0.355206,0.644794,0,0
18,0,61.993836,47.280900,14.708864,0.004072,167530,9927,0.977992,0.182986,0.355206,0.644794,0,0.0009087021595040046
19,0,93.386681,54.614400,38.768320,0.003961,214709,32661,1.253409,0.602046,0.354491,0.645509,0,0
20,0,78.053574,44.490900,13.229328,20.333346,164716,16413,0.961565,0.302544,0.354491,0.645509,0,0.5235701156881825
21,0,60.371317,43.228800,17.136417,0.006100,172416,28320,1.006515,0.522028,0.332166,0.667834,0,0.012226888522672952
22,0,87.128946,38.768700,5.158265,43.201981,148900,19671,0.869235,0.362599,0.331609,0.668391,0,1.0
23,0,61.709141,40.122300,21.582880,0.003961,181181,47440,1.057682,0.874470,0.309747,0.690253,0,0
24,0,88.162196,55.181700,32.976535,0.003961,203205,19266,1.186252,0.355134,0.309747,0.690253,0,0
25,0,85.952507,36.832800,5.917727,43.201981,150397,27621,0.877974,0.509143,0.309747,0.690253,0,1.0
26,0,80.412578,36.812700,0.397898,43.201981,137966,15257,0.805406,0.281235,0.303302,0.696698,0,1.0
27,0,81.125685,54.345300,26.776424,0.003961,190834,9683,1.114034,0.178488,0.268201,0.731799,0,0
28,0,72.660821,48.753000,23.903860,0.003961,185618,23108,1.083584,0.425954,0.268201,0.731799,0,0
29,0,98.124021,54.636600,43.483460,0.003961,224006,41884,1.307682,0.772055,0.268201,0.731799,0,0
30,0,96.672240,54.627000,42.041279,0.003961,221164,39074,1.291092,0.720258,0.268201,0.731799,0,0
31,0,54.499507,38.619300,14.250850,1.629358,166777,38046,0.973596,0.701309,0.268201,0.731799,0,0.13156766030452494
32,0,61.991567,38.281500,11.309509,12.400558,160996,33391,0.939848,0.615502,0.268636,0.731364,0,0.35830369357045144
33,0,67.288670,39.429300,10.087870,17.771500,158590,27159,0.925803,0.500627,0.269055,0.730945,0,0.4701983214839365
34,0,99.117932,28.813800,12.863634,57.440498,113319,17273,0.661524,0.318396,0.267728,0.732272,0.39667705088265837,1.0
35,0,143.227554,75.759600,67.463992,0.003961,269215,16683,1.571600,0.307521,0.279019,0.720981,0,0
36,0,97.303575,55.213800,42.085814,0.003961,221230,37184,1.291477,0.685419,0.279019,0.720981,0,0
37,0,104.468978,59.450700,45.014317,0.003961,226790,28621,1.323935,0.527576,0.279019,0.720981,0,0
38,0,93.127621,58.888200,34.235460,0.003961,204988,8694,1.196661,0.160258,0.279019,0.720981,0,0
39,0,95.648783,30.021000,11.905306,53.722477,115209,15139,0.672557,0.279060,0.279019,0.720981,0.3192182410423452,1.0
40,0,84.376873,35.544300,5.042517,43.790056,128793,10312,0.751856,0.190083,0.271799,0.728201,0.10144927536231885,1.0
41,0,99.922133,27.747000,7.008778,65.166355,124928,32438,0.729294,0.597935,0.247007,0.752993,0.557632398753894,1.0
42,0,76.881123,24.912300,1.927472,50.041351,134952,51911,0.787811,0.956885,0.268813,0.731187,0.24252491694352163,1.0
43,0,97.568649,56.310000,41.254688,0.003961,219540,31840,1.281611,0.586912,0.282724,0.717276,0,0
44,0,105.397508,61.683300,43.710247,0.003961,223920,18309,1.307180,0.337493,0.282724,0.717276,0,0
45,0,127.254623,64.539000,62.711662,0.003961,261528,46398,1.526725,0.855263,0.282724,0.717276,0,0
46,0,104.723333,59.497800,45.221572,0.003961,227198,28872,1.326316,0.532203,0.282724,0.717276,0,0
47,0,116.877760,61.573500,55.300299,0.003961,247032,41787,1.442102,0.770267,0.282724,0.717276,0,0
48,0,89.056696,49.753200,39.299535,0.003961,215893,50049,1.260321,0.922562,0.282724,0.717276,0,0
49,0,93.525339,56.410200,37.111178,0.003961,211326,23292,1.233660,0.429346,0.282724,0.717276,0,0
50,0,84.833650,54.740700,30.088988,0.003961,197482,15013,1.152843,0.276737,0.282724,0.717276,0,0
51,0,73.207281,28.447800,1.557500,43.201981,135681,40855,0.792067,0.753088,0.282724,0.717276,0,1.0
52,0,105.521688,55.305600,50.212126,0.003961,237239,52887,1.384933,0.974876,0.281849,0.718151,0,0
53,0,121.168204,64.975800,56.188442,0.003961,248551,31965,1.450969,0.589217,0.281849,0.718151,0,0
54,0,85.197851,26.660100,10.433335,48.104416,118161,29294,0.689790,0.539982,0.281849,0.718151,0.2021390374331551,1.0
55,0,128.201184,65.356500,62.840723,0.003961,261735,43880,1.527933,0.808848,0.285921,0.714079,0,0
56,0,71.487869,47.466900,24.017008,0.003961,185876,27653,1.085090,0.509733,0.285921,0.714079,0,0
57,0,81.711239,37.813200,0.696058,43.201981,140121,14077,0.817986,0.259484,0.285921,0.714079,0,1.0
58,0,81.862947,19.918500,11.843328,50.101119,115391,48996,0.673619,0.903152,0.276168,0.723832,0.24377031419284945,1.0
59,0,97.944722,60.005700,37.935061,0.003961,212442,12423,1.240175,0.228995,0.285037,0.714963,0,0
60,0,67.711830,49.769100,17.938769,0.003961,173719,7822,1.014121,0.144184,0.285037,0.714963,0,0
61,0,72.518477,29.263200,0.053296,43.201981,138645,41101,0.809370,0.757622,0.285037,0.714963,0,1.0
62,0,94.251193,55.651800,38.595432,0.003961,214317,28811,1.251121,0.531078,0.284264,0.715736,0,0
