iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,weight11,weight12,weight13,weight14,weight15,weight16,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8,prob9,prob10,prob11,prob12,prob13,prob14,prob15,prob16
0,0,248.068993,39.070500,13.961388,195.037105,157675,27440,1.000000,0.599986,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0012305168170630987,0.3862212943632567,0,0.6474007103648692,1.0,1.0,0,0.6292352371732817,0,0,0,0,0,0,0,1.0
1,0,70.441777,44.319300,26.090789,0.031689,181452,33721,1.150798,0.737323,0.054663,0.066662,0.052773,0.091411,0.083218,0.070579,0.052266,0.065627,0.051897,0.051759,0.056599,0.053925,0.055262,0.055493,0.055493,0.082373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,494.301397,34.462200,5.201878,454.637318,140473,25599,0.890902,0.559732,0.054663,0.066662,0.052773,0.091411,0.083218,0.070579,0.052266,0.065627,0.051897,0.051759,0.056599,0.053925,0.055262,0.055493,0.055493,0.082373,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,0.8255481410867493,0,0,0.7458563535911602,1.0,1.0
3,0,111.913927,58.180500,53.701739,0.031689,235400,41465,1.492944,0.906648,0.0635759375,0.0790559375,0.0622689375,0.1024089375,0.09379693750000001,0.0696299375,0.03651193750000001,0.0657699375,0.0355359375,0.035169937500000005,0.07130393750000001,0.040900937500000005,0.0444369375,0.053950937500000004,0.059947937500000006,0.08573493750000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,584.322223,30.390900,8.011374,545.919949,114406,13103,0.725581,0.286502,0.0635759375,0.0790559375,0.0622689375,0.1024089375,0.09379693750000001,0.0696299375,0.03651193750000001,0.0657699375,0.0355359375,0.035169937500000005,0.07130393750000001,0.040900937500000005,0.0444369375,0.053950937500000004,0.059947937500000006,0.08573493750000001,1.0,1.0,1.0,1.0,1.0,1.0,0.3939393939393939,1.0,1.0,0.3793103448275862,1.0,0,0,1.0,1.0,1.0
5,0,629.843985,24.000900,13.926022,591.917063,102720,22717,0.651467,0.496716,0.06684893750000002,0.08842893750000001,0.06431493750000002,0.12162393750000002,0.10099693750000002,0.06857193750000001,0.02802093750000002,0.06292793750000002,0.025780937500000017,0.026124937500000018,0.07988393750000002,0.031877937500000016,0.03718493750000002,0.05108293750000002,0.05857993750000002,0.08774993750000001,1.0,1.0,1.0,1.0,1.0,1.0,0.9868421052631579,1.0,1.0,0.7446808510638299,1.0,0,0,1.0,1.0,1.0
6,0,636.373524,22.781400,15.645306,597.946818,99315,23377,0.629872,0.511147,0.0702079375,0.09362093749999999,0.06713193749999999,0.1269519375,0.10462793749999999,0.0690009375,0.02341693749999999,0.061864937499999995,0.020156937499999993,0.020871937499999993,0.08518393749999999,0.02745993749999999,0.03369693749999999,0.04923493749999999,0.05741993749999999,0.08915193749999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0,0,1.0,1.0,1.0
7,0,88.511684,54.276600,34.203395,0.031689,196958,16036,1.249139,0.350633,0.0734200625,0.0982070625,0.0698410625,0.1317070625,0.1079250625,0.0696300625,0.018856062500000003,0.0609230625,0.015190062500000002,0.0159050625,0.08984006250000001,0.0237350625,0.030804062500000003,0.0473920625,0.0560760625,0.0905480625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,87.981616,51.702000,36.247928,0.031689,201233,28893,1.276252,0.631757,0.0734200625,0.0982070625,0.0698410625,0.1317070625,0.1079250625,0.0696300625,0.018856062500000003,0.0609230625,0.015190062500000002,0.0159050625,0.08984006250000001,0.0237350625,0.030804062500000003,0.0473920625,0.0560760625,0.0905480625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,632.916124,21.243000,16.121753,595.551371,98386,27576,0.623980,0.602960,0.0734200625,0.0982070625,0.0698410625,0.1317070625,0.1079250625,0.0696300625,0.018856062500000003,0.0609230625,0.015190062500000002,0.0159050625,0.08984006250000001,0.0237350625,0.030804062500000003,0.0473920625,0.0560760625,0.0905480625,1.0,1.0,1.0,1.0,1.0,1.0,0.987012987012987,1.0,1.0,0.8202247191011236,1.0,0,0,1.0,1.0,1.0
10,0,495.402694,34.146900,2.665137,458.590657,135482,21659,0.859248,0.473583,0.076778,0.101614,0.072997,0.134675,0.110944,0.070586,0.014529,0.060455,0.010602,0.011248,0.094467,0.020323,0.028169,0.045726,0.054891,0.091996,0.02259654889071494,1.0,0.9989748846745259,0,1.0,1.0,0.9759036144578314,1.0,1.0,0.8736842105263158,0,0,0,1.0,0.8050847457627118,1.0
11,0,266.893496,31.861800,4.609121,230.422574,139309,33103,0.883520,0.723810,0.06849199999999998,0.10642299999999999,0.08442699999999999,0.12450699999999999,0.12054499999999999,0.07390999999999999,0.009603999999999986,0.06402199999999998,0.010601999999999986,0.011247999999999985,0.08836799999999999,0.011197999999999986,0.020556999999999985,0.048080999999999985,0.058459999999999984,0.09955599999999999,0.3753806002609831,0.03889739663093417,0.006701771182383909,0,0.30817120622568084,1.0,1.0,1.0,1.0,0.8131868131868132,0,0,0,0,0,0.07295173961840618
12,0,63.229436,45.906900,17.290847,0.031689,164053,11030,1.040450,0.241175,0.0710909375,0.10366193750000001,0.08188893750000001,0.12201993750000001,0.1206409375,0.07879493750000001,0.009603937500000005,0.0728189375,0.010601937500000005,0.012617937500000006,0.0866829375,0.011197937500000005,0.018573937500000005,0.0461499375,0.05652893750000001,0.09712593750000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,68.756601,43.137300,25.587612,0.031689,180482,36691,1.144646,0.802263,0.0710909375,0.10366193750000001,0.08188893750000001,0.12201993750000001,0.1206409375,0.07879493750000001,0.009603937500000005,0.0728189375,0.010601937500000005,0.012617937500000006,0.0866829375,0.011197937500000005,0.018573937500000005,0.0461499375,0.05652893750000001,0.09712593750000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
