iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
0,0,217.963312,75.843900,25.585543,116.533869,303100,50287,1.000000,0.599994,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0.9111814345991561,0,0.816401205337925,1.0,0,0
1,0,126.016060,81.155400,44.844816,0.015844,340901,70383,1.124715,0.839767,0.11182087499999999,0.11134587499999998,0.140386875,0.11116787499999999,0.13137887499999998,0.16046287499999998,0.11508587499999998,0.11835087499999998,0,0,0,0,0,0,0,0
2,0,131.309759,87.928200,43.365715,0.015844,337865,44771,1.114698,0.534180,0.11182087499999999,0.11134587499999998,0.140386875,0.11116787499999999,0.13137887499999998,0.16046287499999998,0.11508587499999998,0.11835087499999998,0,0,0,0,0,0,0,0
3,0,261.223359,72.661500,15.753937,172.807922,283795,41590,0.936308,0.496227,0.11182087499999999,0.11134587499999998,0.140386875,0.11116787499999999,0.13137887499999998,0.16046287499999998,0.11508587499999998,0.11835087499999998,0,0,1.0,0,1.0,1.0,1.0,0
4,0,276.265793,70.698300,12.481845,193.085648,277369,41708,0.915107,0.497635,0.097518125,0.09646112500000001,0.156027125,0.096065125,0.142047125,0.185658125,0.11416912500000001,0.112054125,0,1.0,1.0,0,1.0,0.5224938875305625,1.0,0
5,0,115.593075,77.703000,37.874231,0.015844,327237,68227,1.079634,0.814043,0.086762,0.095609,0.166501,0.084697,0.151055,0.192525,0.115435,0.107416,0,0,0,0,0,0,0,0
6,0,126.810502,89.398200,37.396458,0.015844,326034,28040,1.075665,0.334556,0.086762,0.095609,0.166501,0.084697,0.151055,0.192525,0.115435,0.107416,0,0,0,0,0,0,0,0
7,0,121.482052,83.916900,37.549308,0.015844,326514,46791,1.077248,0.558282,0.086762,0.095609,0.166501,0.084697,0.151055,0.192525,0.115435,0.107416,0,0,0,0,0,0,0,0
8,0,298.968045,72.438300,10.523803,216.005942,273514,32053,0.902389,0.382437,0.086762,0.095609,0.166501,0.084697,0.151055,0.192525,0.115435,0.107416,0,1.0,1.0,0,1.0,1.0,1.0,0
9,0,115.884699,88.526100,27.342755,0.015844,306065,10978,1.009782,0.130983,0.06954812499999999,0.087760125,0.180433125,0.06640812499999998,0.162615125,0.21968912499999999,0.11259412499999999,0.10095212499999999,0,0,0,0,0,0,0,0
10,0,134.028879,88.722300,45.290735,0.015844,341633,45892,1.127130,0.547556,0.06954812499999999,0.087760125,0.180433125,0.06640812499999998,0.162615125,0.21968912499999999,0.11259412499999999,0.10095212499999999,0,0,0,0,0,0,0,0
11,0,147.812421,100.404900,47.391677,0.015844,344038,9355,1.135064,0.111618,0.06954812499999999,0.087760125,0.180433125,0.06640812499999998,0.162615125,0.21968912499999999,0.11259412499999999,0.10095212499999999,0,0,0,0,0,0,0,0
12,0,84.602870,63.890700,20.696325,0.015844,293538,80569,0.968453,0.961301,0.06954812499999999,0.087760125,0.180433125,0.06640812499999998,0.162615125,0.21968912499999999,0.11259412499999999,0.10095212499999999,0,0,0,0,0,0,0,0
13,0,99.609352,75.961800,17.983242,5.664310,288157,34951,0.950699,0.417014,0.06954812499999999,0.087760125,0.180433125,0.06640812499999998,0.162615125,0.21968912499999999,0.11259412499999999,0.10095212499999999,0,0.21770334928229673,0,0,0,0,0,0
14,0,127.462715,89.946900,37.499971,0.015844,326207,26384,1.076236,0.314798,0.06911787499999998,0.09005487499999998,0.180015875,0.06595987499999999,0.162336875,0.219561875,0.11225287499999999,0.10069987499999998,0,0,0,0,0,0,0,0
15,0,98.405319,79.000800,18.129988,1.274532,288411,25075,0.951537,0.299180,0.06911787499999998,0.09005487499999998,0.180015875,0.06595987499999999,0.162336875,0.219561875,0.11225287499999999,0.10069987499999998,0,0.12240184757505779,0,0,0,0,0,0
16,0,96.418433,74.347800,22.054788,0.015844,296171,48345,0.977140,0.576823,0.06891812499999998,0.09111512499999999,0.179822125,0.065751125,0.16220912499999998,0.219505125,0.11209512499999999,0.100584125,0,0,0,0,0,0,0,0
17,0,354.659191,59.187600,3.679721,291.791870,260060,62768,0.858001,0.748910,0.06891812499999998,0.09111512499999999,0.179822125,0.065751125,0.16220912499999998,0.219505125,0.11209512499999999,0.100584125,0.8771929824561404,1.0,1.0,0.6814159292035398,1.0,1.0,1.0,0.3203883495145632
18,0,125.877074,88.885500,36.975730,0.015844,325229,28944,1.073009,0.345342,0.079015,0.088265,0.173298,0.072668,0.158985,0.217157,0.110506,0.100106,0,0,0,0,0,0,0,0
19,0,330.408100,62.163000,4.624134,263.620966,261919,54709,0.864134,0.652755,0.079015,0.088265,0.173298,0.072668,0.158985,0.217157,0.110506,0.100106,0.6611842105263158,1.0,1.0,0,1.0,1.0,0.9761904761904762,0.5546875
