iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,prob1,prob2
0,0,159.573906,83.250000,33.121925,43.201981,342600,65100,1.000000,0.600000,0.5,0.5,0,1.0
1,0,128.665592,73.781100,11.682512,43.201981,300493,54556,0.877096,0.502820,0.466845,0.533155,0,1.0
2,0,173.851526,97.728300,32.921246,43.201981,341744,15983,0.997501,0.147309,0.440715,0.559285,0,1.0
3,0,127.392765,84.320700,35.570656,7.501409,347404,66335,1.014022,0.611382,0.404365,0.595635,0,0.2562366737739873
4,0,169.116477,111.068400,58.044116,0.003961,390342,20114,1.139352,0.185382,0.403854,0.596146,0,0
5,0,146.531749,84.453000,18.876768,43.201981,314591,33081,0.918246,0.304894,0.403854,0.596146,0,1.0
6,0,145.692257,83.717700,18.772576,43.201981,314393,35334,0.917668,0.325659,0.359208,0.640792,0,1.0
7,0,121.849395,65.597700,13.049714,43.201981,303191,84532,0.884971,0.779097,0.334631,0.665369,0,1.0
8,0,120.363836,86.155800,34.199419,0.008617,344691,57505,1.006103,0.530000,0.332477,0.667523,0,0.020202290484855
9,0,125.937593,63.452100,19.283512,43.201981,315458,103951,0.920776,0.958074,0.33324,0.66676,0,1.0
10,0,123.542492,69.441600,10.898912,43.201981,298956,67484,0.872609,0.621972,0.297705,0.702295,0,1.0
11,0,111.629050,85.084500,26.528265,0.016285,329624,46009,0.962125,0.424046,0.258881,0.741119,0,0.03308178774512416
12,0,140.724619,88.093800,52.626858,0.003961,380891,87245,1.111766,0.804101,0.25943,0.74057,0,0
13,0,155.693146,100.458900,55.230285,0.003961,385764,50901,1.125989,0.469134,0.25943,0.74057,0,0
14,0,115.464281,80.885400,27.487501,7.091380,331542,61924,0.967723,0.570728,0.25943,0.74057,0,0.24769345634899476
15,0,111.370283,75.125100,28.084973,8.160210,332743,82326,0.971229,0.758765,0.285488,0.714512,0,0.26996248303754355
16,0,119.192944,61.067100,14.923864,43.201981,306882,103325,0.895744,0.952304,0.300861,0.699139,0,1.0
17,0,148.442235,90.684000,57.754274,0.003961,390939,88659,1.141095,0.817134,0.286303,0.713697,0,0
18,0,145.996823,102.252300,43.740562,0.003961,362887,22046,1.059215,0.203189,0.286303,0.713697,0,0
19,0,101.306086,83.884200,17.387398,0.034488,311669,32055,0.909717,0.295438,0.286303,0.713697,0,0.046954041545581804
20,0,139.827384,101.423400,38.400023,0.003961,352210,14132,1.028050,0.130249,0.285415,0.714585,0,0
21,0,155.654686,106.044000,49.606725,0.003961,374154,20674,1.092102,0.190544,0.285415,0.714585,0,0
22,0,118.390858,84.271800,34.086830,0.032227,344488,63582,1.005511,0.586009,0.285415,0.714585,0,0.04572905403623506
23,0,141.054215,84.625800,56.424454,0.003961,388389,106303,1.133651,0.979751,0.285874,0.714126,0,0
