iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,prob1,prob2
0,0,50.649580,5.328000,2.119600,43.201981,21926,4166,0.999982,0.599942,0.5,0.5,0,1.0
1,0,11.734295,7.495500,4.234834,0.003961,25934,949,1.182775,0.136665,0.546069,0.453931,0,0
2,0,13.428372,7.896600,5.527811,0.003961,28525,2203,1.300943,0.317252,0.384778,0.615222,0,0
3,0,13.014361,7.354200,5.656200,0.003961,28836,4322,1.315127,0.622408,0.542695,0.457305,0,0
4,0,15.348075,8.619300,6.724814,0.003961,30813,2082,1.405292,0.299827,0.415477,0.584523,0,0
5,0,48.290710,4.238400,0.850330,43.201981,19434,5306,0.886329,0.764113,0.535615,0.464385,0,1.0
6,0,50.161395,4.629000,2.330414,43.201981,22344,6914,1.019046,0.995680,0.478085,0.521915,0,1.0
7,0,18.433029,9.855300,8.573768,0.003961,34151,1300,1.557529,0.187212,0.590764,0.409236,0,0
8,0,48.149364,4.810800,0.136584,43.201981,18029,1993,0.822251,0.287010,0.448771,0.551229,0,1.0
9,0,47.260041,3.195300,0.862760,43.201981,16059,5408,0.732405,0.778802,0.526949,0.473051,0,1.0
10,0,47.591440,2.316300,2.073160,43.201981,13669,5948,0.623404,0.856567,0.460704,0.539296,0,1.0
11,0,33.021938,5.176500,2.775885,25.069553,23217,5962,1.058861,0.858583,0.588547,0.411453,0,0.6222410865874364
12,0,11.829463,6.558000,5.267502,0.003961,28097,6237,1.281423,0.898185,0.475465,0.524535,0,0
13,0,16.818357,8.276700,8.537696,0.003961,34484,6895,1.572716,0.992944,0.550229,0.449771,0,0
14,0,47.345531,3.727200,0.416350,43.201981,18580,6156,0.847380,0.886521,0.455246,0.544754,0,1.0
15,0,15.535799,8.053800,7.478037,0.003961,32401,5555,1.477716,0.799971,0.511557,0.488443,0,0
16,0,50.163848,5.214600,1.747268,43.201981,21195,3813,0.966643,0.549107,0.535258,0.464742,0,1.0
17,0,49.997144,5.625900,1.169264,43.201981,20054,1301,0.914605,0.187356,0.479645,0.520355,0,1.0
18,0,12.271693,6.607800,5.659932,0.003961,28868,6842,1.316586,0.985311,0.538273,0.461727,0,0
19,0,15.427921,7.985700,7.438260,0.003961,32326,5707,1.474296,0.821861,0.454094,0.545906,0,0
20,0,49.764501,4.548600,2.013921,43.201981,21722,6560,0.990678,0.944700,0.503398,0.496602,0,1.0
21,0,9.614073,5.661900,3.948212,0.003961,25517,6644,1.163757,0.956797,0.4796,0.5204,0,0
22,0,9.880247,5.876400,3.999886,0.003961,25616,6028,1.168272,0.868088,0.413521,0.586479,0,0
23,0,14.383580,8.379900,5.999719,0.003961,29353,1420,1.338706,0.204493,0.564868,0.435132,0,0
24,0,15.893011,8.921400,6.967650,0.003961,31188,1450,1.422395,0.208813,0.563599,0.436401,0,0
25,0,24.519258,4.740600,2.248217,17.530441,22182,6380,1.011657,0.918779,0.546286,0.453714,0,0.4651762682717111
26,0,48.747263,4.267200,1.278083,43.201981,15227,1003,0.694460,0.144441,0.417159,0.582841,0,1.0
27,0,47.950392,3.949500,0.798911,43.201981,19333,6168,0.881722,0.888249,0.538285,0.461715,0,1.0
28,0,15.490026,8.728500,6.757565,0.003961,30838,1743,1.406432,0.251008,0.477697,0.522303,0,0
29,0,14.207698,8.010000,6.193737,0.003961,29852,3152,1.361464,0.453917,0.525782,0.474218,0,0
30,0,47.309511,2.491800,1.615731,43.201981,14573,6267,0.664633,0.902506,0.576635,0.423365,0,1.0
31,0,13.393081,7.578600,5.810520,0.003961,29128,3866,1.328444,0.556740,0.506946,0.493054,0,0
32,0,9.787976,5.901000,3.801682,0.085294,25226,5556,1.150485,0.800115,0.573658,0.426342,0,0.06317539484621781
33,0,10.036306,6.502200,3.530145,0.003961,24677,3003,1.125447,0.432460,0.53809,0.46191,0,0
34,0,47.262590,2.094300,1.966309,43.201981,13881,6900,0.633072,0.993664,0.425013,0.574987,0,1.0
35,0,48.751689,4.283400,1.266308,43.201981,15250,972,0.695509,0.139977,0.590058,0.409942,0,1.0
36,0,14.364767,8.000100,6.360706,0.003961,30187,3520,1.376742,0.506912,0.605399,0.394601,0,0
37,0,15.688714,8.848500,6.836253,0.003961,30939,1444,1.411039,0.207949,0.570173,0.429827,0,0
38,0,11.058463,6.489600,4.564902,0.003961,26716,5084,1.218440,0.732143,0.51731,0.48269,0,0
39,0,50.660252,5.683500,1.774771,43.201981,21244,2299,0.968878,0.331077,0.559057,0.440943,0,1.0
40,0,12.875338,7.281300,5.590077,0.003961,28709,4438,1.309335,0.639113,0.515068,0.484932,0,0
41,0,12.004979,7.221900,4.779117,0.003961,27107,3034,1.236272,0.436924,0.498281,0.501719,0,0
42,0,12.593728,7.571400,5.018367,0.003961,27548,2310,1.256385,0.332661,0.453483,0.546517,0,0
43,0,15.654078,8.403300,7.246817,0.003961,31915,3904,1.455551,0.562212,0.483279,0.516721,0,0
44,0,49.235516,5.004600,1.028936,43.201981,19784,3102,0.902291,0.446717,0.445105,0.554895,0,1.0
45,0,67.240181,3.544500,1.956232,61.739450,13889,2074,0.633437,0.298675,0.531949,0.468051,0.4862385321100917,1.0
46,0,13.740997,7.267200,6.469836,0.003961,30445,6221,1.388509,0.895881,0.53014,0.46986,0,0
47,0,9.332248,6.045600,3.282687,0.003961,24203,4051,1.103829,0.583381,0.520279,0.479721,0,0
48,0,48.093113,3.985500,0.905632,43.201981,19543,6258,0.891300,0.901210,0.498261,0.501739,0,1.0
49,0,9.635991,5.808600,3.823430,0.003961,25270,5908,1.152492,0.850806,0.507504,0.492496,0,0
50,0,47.660330,2.995500,1.462849,43.201981,14874,4889,0.678360,0.704061,0.480322,0.519678,0,1.0
51,0,11.512361,5.779200,3.004264,2.728897,23660,4396,1.079065,0.633065,0.540105,0.459895,0,0.1562499999999999
52,0,11.901710,6.623400,5.274348,0.003961,28109,6031,1.281971,0.868520,0.440361,0.559639,0,0
53,0,31.504935,6.269400,2.407234,22.828301,22469,1571,1.024746,0.226238,0.483292,0.516708,0,0.5755483346872461
54,0,8.796378,5.622300,3.170117,0.003961,23988,5247,1.094024,0.755616,0.442387,0.557613,0,0
55,0,11.951094,6.919200,5.027933,0.003961,27615,4551,1.259441,0.655386,0.442921,0.557079,0,0
56,0,47.151850,3.349200,0.600670,43.201981,16576,5412,0.755984,0.779378,0.502377,0.497623,0,1.0
57,0,48.205679,4.502400,0.501298,43.201981,18747,3739,0.854997,0.538450,0.536459,0.463541,0,1.0
58,0,10.901486,6.986700,3.910825,0.003961,25399,2110,1.158375,0.303859,0.438064,0.561936,0,0
59,0,14.208775,7.371900,6.832914,0.003961,31157,6584,1.420981,0.948157,0.477847,0.522153,0,0
60,0,17.605152,9.058500,8.542691,0.003961,34434,4239,1.570436,0.610455,0.479849,0.520151,0,0
61,0,46.869853,3.189900,0.477973,43.201981,16818,6185,0.767021,0.890697,0.473558,0.526442,0,1.0
62,0,15.277860,4.995600,2.964081,7.318179,23588,6936,1.075781,0.998848,0.440891,0.559109,0,0.25241901556583923
63,0,16.616190,8.652000,7.960229,0.003961,33314,4474,1.519356,0.644297,0.532854,0.467146,0,0
64,0,22.690846,5.496000,2.297935,14.896910,22275,3955,1.015899,0.569556,0.474016,0.525984,0,0.4103110353642949
65,0,10.039536,6.406800,3.628775,0.003961,24875,3519,1.134477,0.506768,0.473138,0.526862,0,0
66,0,14.984996,8.649000,6.332035,0.003961,29903,1073,1.363790,0.154522,0.589471,0.410529,0,0
67,0,48.392839,3.785700,1.405158,43.201981,14984,2365,0.683377,0.340582,0.511536,0.488464,0,1.0
68,0,10.099025,6.410400,3.684664,0.003961,24985,3617,1.139494,0.520881,0.467345,0.532655,0,0
69,0,48.090197,3.027900,1.860316,43.201981,14087,3994,0.642468,0.575173,0.474393,0.525607,0,1.0
70,0,46.599522,3.239700,0.157841,43.201981,17449,6650,0.795799,0.957661,0.565707,0.434293,0,1.0
71,0,11.849633,7.225800,4.619872,0.003961,26790,2704,1.221815,0.389401,0.515894,0.484106,0,0
72,0,50.946387,5.839800,1.904607,43.201981,21496,2030,0.980371,0.292339,0.555752,0.444248,0,1.0
73,0,18.630525,6.342000,2.483099,9.805425,22614,1474,1.031359,0.212270,0.479284,0.520716,0,0.30423835501468743
74,0,18.445743,9.763500,8.678282,0.003961,34515,1970,1.574130,0.283698,0.534129,0.465871,0,0
75,0,47.740773,4.205700,0.333093,43.201981,18416,4397,0.839901,0.633209,0.440631,0.559369,0,1.0
76,0,48.734234,4.355700,1.176553,43.201981,15428,909,0.703627,0.130904,0.603791,0.396209,0,1.0
77,0,47.518651,3.974700,0.341970,43.201981,17086,3837,0.779243,0.552563,0.45125,0.54875,0,1.0
78,0,12.304637,7.197900,5.102776,0.003961,27750,3757,1.265598,0.541043,0.544152,0.455848,0,0
79,0,48.228355,4.256700,0.769675,43.201981,16241,2052,0.740705,0.295507,0.544879,0.455121,0,1.0
80,0,10.350088,6.567300,3.778827,0.003961,25165,3274,1.147703,0.471486,0.416148,0.583852,0,0
81,0,48.171592,3.915300,1.054311,43.201981,15679,2628,0.715074,0.378456,0.563943,0.436057,0,1.0
82,0,48.342755,4.206600,0.934175,43.201981,19599,5577,0.893854,0.803139,0.447593,0.552407,0,1.0
83,0,49.390481,4.684500,1.504001,43.201981,20719,5104,0.944934,0.735023,0.499892,0.500108,0,1.0
84,0,16.224683,9.024600,7.196122,0.003961,31640,1558,1.443009,0.224366,0.423066,0.576934,0,0
85,0,47.925389,2.649000,2.074408,43.201981,13665,4835,0.623221,0.696285,0.524583,0.475417,0,1.0
86,0,47.394692,3.321900,0.870812,43.201981,16043,4970,0.731675,0.715726,0.574213,0.425787,0,1.0
87,0,9.937354,6.505500,3.427893,0.003961,24475,2790,1.116234,0.401786,0.538944,0.461056,0,0
88,0,47.404095,3.271500,0.930614,43.201981,15925,5020,0.726293,0.722926,0.583041,0.416959,0,1.0
89,0,47.957914,4.589400,0.166534,43.201981,18088,2790,0.824942,0.401786,0.49046,0.50954,0,1.0
90,0,16.132102,8.276700,7.851441,0.003961,33127,5538,1.510827,0.797523,0.46504,0.53496,0,0
91,0,16.935120,9.189000,7.742159,0.003961,32760,2130,1.494089,0.306740,0.484628,0.515372,0,0
92,0,15.577085,7.985100,7.588023,0.003961,32622,6005,1.487796,0.864775,0.541304,0.458696,0,0
93,0,48.139242,3.334200,1.603062,43.201981,14595,3481,0.665636,0.501296,0.566672,0.433328,0,1.0
94,0,8.311729,5.822100,2.483325,0.006304,22635,3228,1.032317,0.464862,0.456977,0.543023,0,0.013036164844407061
95,0,10.596742,6.399900,4.192881,0.003961,25986,4653,1.185147,0.670075,0.512805,0.487195,0,0
96,0,12.840341,7.590300,5.246080,0.003961,28003,2702,1.277136,0.389113,0.577746,0.422254,0,0
97,0,12.322114,6.625500,5.692652,0.003961,28932,6847,1.319505,0.986031,0.486464,0.513536,0,0
98,0,17.668589,9.282900,8.381728,0.003961,34070,3127,1.553835,0.450317,0.54615,0.45385,0,0
99,0,47.770835,2.708700,1.860155,43.201981,14089,5060,0.642559,0.728687,0.483191,0.516809,0,1.0
100,0,8.856740,5.441400,3.411379,0.003961,24464,6326,1.115733,0.911002,0.504284,0.495716,0,0
101,0,48.344498,4.831800,0.310717,43.201981,17147,1041,0.782025,0.149914,0.449108,0.550892,0,1.0
102,0,11.503492,6.619500,4.880031,0.003961,27333,5268,1.246579,0.758641,0.473211,0.526789,0,0
103,0,11.185488,6.363900,4.817627,0.003961,27216,6003,1.241243,0.864487,0.412062,0.587938,0,0
104,0,47.677992,3.698100,0.777912,43.201981,16226,3899,0.740021,0.561492,0.514762,0.485238,0,1.0
105,0,11.402649,6.819900,4.578788,0.003961,26733,4000,1.219215,0.576037,0.470158,0.529842,0,0
106,0,67.007149,2.916900,2.257178,61.833071,13300,3577,0.606575,0.515121,0.452965,0.547035,0.4881889763779528,1.0
107,0,10.406675,6.468900,3.933814,0.003961,25474,3911,1.161796,0.563220,0.404501,0.595499,0,0
108,0,47.340729,1.980600,2.158149,43.201981,13502,6900,0.615787,0.993664,0.598658,0.401342,0,1.0
109,0,12.997012,7.800000,5.193051,0.003961,27860,1860,1.270614,0.267857,0.581533,0.418467,0,0
110,0,17.062849,9.301500,7.757388,0.003961,32731,1726,1.492767,0.248560,0.431516,0.568484,0,0
111,0,51.234022,6.029100,2.002941,43.201981,21683,1586,0.988899,0.228399,0.417258,0.582742,0,1.0
112,0,47.364382,3.944700,0.217701,43.201981,17331,4182,0.790417,0.602247,0.515761,0.484239,0,1.0
113,0,16.359407,9.128700,7.226746,0.003961,31603,1174,1.441322,0.169067,0.552585,0.447415,0,0
114,0,47.335371,2.938200,1.195190,43.201981,15403,5609,0.702487,0.807748,0.445772,0.554228,0,1.0
115,0,47.990802,3.926400,0.862421,43.201981,19458,6370,0.887423,0.917339,0.449879,0.550121,0,1.0
116,0,47.765242,2.412000,2.151262,43.201981,13514,5474,0.616335,0.788306,0.5481,0.4519,0,1.0
117,0,10.017122,6.015300,3.997861,0.003961,25610,5559,1.167998,0.800547,0.46988,0.53012,0,0
118,0,13.854176,7.956600,5.893615,0.003961,29256,2734,1.334282,0.393721,0.507475,0.492525,0,0
119,0,10.928388,6.463500,4.460927,0.003961,26512,4967,1.209136,0.715294,0.480376,0.519624,0,0
120,0,9.571426,5.946000,3.621465,0.003961,24871,5051,1.134295,0.727391,0.447991,0.552009,0,0
121,0,14.770454,8.152500,6.613993,0.003961,30677,3502,1.399090,0.504320,0.544822,0.455178,0,0
122,0,50.366902,5.754600,1.410322,43.201981,20525,1343,0.936086,0.193404,0.539435,0.460565,0,1.0
123,0,18.343400,9.584400,8.755038,0.003961,34763,2815,1.585440,0.405386,0.432641,0.567359,0,0
124,0,15.746721,8.040000,7.702760,0.003961,32846,6046,1.498012,0.870680,0.462535,0.537465,0,0
125,0,48.973489,4.557000,1.214508,43.201981,20150,4960,0.918984,0.714286,0.513148,0.486852,0,1.0
126,0,48.560417,5.110500,0.247937,43.201981,18248,1213,0.832239,0.174683,0.555408,0.444592,0,1.0
127,0,15.544944,8.521200,7.019783,0.003961,31443,3039,1.434025,0.437644,0.515137,0.484863,0,0
128,0,16.154175,8.161500,7.988714,0.003961,33405,6200,1.523506,0.892857,0.48749,0.51251,0,0
129,0,51.211131,6.182100,1.827050,43.201981,21317,710,0.972207,0.102247,0.482506,0.517494,0,1.0
130,0,11.151863,7.219800,3.928102,0.003961,25394,1328,1.158147,0.191244,0.493275,0.506725,0,0
131,0,47.897541,3.328800,1.366760,43.201981,15063,3967,0.686980,0.571285,0.499669,0.500331,0,1.0
132,0,9.362293,6.154200,3.204132,0.003961,24046,3532,1.096669,0.508641,0.551538,0.448462,0,0
133,0,48.248816,3.931500,1.115336,43.201981,15558,2453,0.709556,0.353255,0.5256,0.4744,0,1.0
134,0,11.795748,7.226100,4.565687,0.003961,26682,2595,1.216889,0.373704,0.524423,0.475577,0,0
135,0,13.332580,7.871400,5.457219,0.003961,28386,2148,1.294604,0.309332,0.479742,0.520258,0,0
136,0,48.719214,4.725600,0.791633,43.201981,19318,3566,0.881038,0.513537,0.490995,0.509005,0,1.0
137,0,14.238690,8.154300,6.080429,0.003961,29601,2420,1.350016,0.348502,0.493882,0.506118,0,0
138,0,51.107255,5.754600,2.150674,43.201981,21982,2800,1.002536,0.403226,0.483185,0.516815,0,1.0
139,0,49.375430,4.632900,1.540549,43.201981,20791,5348,0.948218,0.770161,0.395173,0.604827,0,1.0
140,0,18.156700,9.716400,8.436339,0.003961,33983,1595,1.549867,0.229695,0.550551,0.449449,0,0
141,0,14.496004,8.267400,6.224643,0.003961,29872,2314,1.362376,0.333237,0.551841,0.448159,0,0
142,0,49.323864,4.338600,1.783284,43.201981,21269,6807,0.970018,0.980271,0.548253,0.451747,0,1.0
143,0,74.807186,3.422400,2.184786,69.200000,13434,2026,0.612686,0.291763,0.579073,0.420927,0.6416666666666666,1.0
144,0,10.241298,5.925300,4.312037,0.003961,26229,6478,1.196229,0.932892,0.472263,0.527737,0,0
145,0,11.105118,6.551700,4.549456,0.003961,26684,4845,1.216980,0.697725,0.52686,0.47314,0,0
146,0,46.999570,3.197400,0.600189,43.201981,16577,5919,0.756029,0.852391,0.527083,0.472917,0,1.0
147,0,48.252421,4.629900,0.420540,43.201981,18588,3155,0.847745,0.454349,0.501499,0.498501,0,1.0
148,0,12.154643,6.822900,5.327782,0.003961,28209,5466,1.286531,0.787154,0.510154,0.489846,0,0
149,0,78.990760,3.471600,2.210069,73.309091,13381,1809,0.610269,0.260513,0.483013,0.516987,0.7272727272727273,1.0
150,0,10.126372,6.108000,4.014411,0.003961,25641,5281,1.169412,0.760513,0.487684,0.512316,0,0
151,0,17.942329,9.723300,8.215068,0.003961,33222,811,1.515160,0.116791,0.514053,0.485947,0,0
152,0,47.400247,3.256500,0.941766,43.201981,15903,5048,0.725290,0.726959,0.522532,0.477468,0,1.0
153,0,60.138565,3.150900,2.166612,54.821053,13477,2974,0.614647,0.428283,0.526676,0.473324,0.3421052631578948,1.0
154,0,48.306711,4.889400,0.215330,43.201981,18184,1886,0.829320,0.271601,0.434467,0.565533,0,1.0
155,0,48.738957,4.421400,1.115576,43.201981,15548,810,0.709100,0.116647,0.590998,0.409002,0,1.0
156,0,21.899908,6.006900,3.005748,12.887260,23659,3636,1.079019,0.523618,0.585039,0.414961,0,0.36844331641285955
157,0,47.236057,2.949300,1.084777,43.201981,15621,5790,0.712429,0.833813,0.454935,0.545065,0,1.0
158,0,18.975238,10.077900,8.893377,0.003961,34583,990,1.577231,0.142569,0.425602,0.574398,0,0
159,0,9.898226,6.586500,3.307764,0.003961,24233,2278,1.105197,0.328053,0.563927,0.436073,0,0
160,0,12.825740,7.322700,5.499079,0.003961,28527,4118,1.301034,0.593030,0.468423,0.531577,0,0
161,0,48.388853,4.475700,0.711172,43.201981,19160,4241,0.873832,0.610743,0.432242,0.567758,0,1.0
162,0,12.671944,7.260600,5.407383,0.003961,28349,4147,1.292916,0.597206,0.523997,0.476003,0,0
163,0,13.981093,7.292700,6.684431,0.003961,30867,6558,1.407755,0.944412,0.513897,0.486103,0,0
164,0,48.376546,5.021700,0.152865,43.201981,18061,1322,0.823710,0.190380,0.487085,0.512915,0,1.0
165,0,15.168050,7.889700,7.274388,0.003961,32007,5708,1.459747,0.822005,0.534718,0.465282,0,0
166,0,50.739576,5.922900,1.614695,43.201981,20921,1178,0.954147,0.169643,0.493512,0.506488,0,1.0
167,0,50.054089,5.298900,1.553208,43.201981,20813,3150,0.949221,0.453629,0.497348,0.502652,0,1.0
168,0,50.517601,5.745000,1.570620,43.201981,20841,1691,0.950498,0.243520,0.422888,0.577112,0,1.0
169,0,49.868516,5.052000,1.614535,43.201981,20935,4095,0.954785,0.589718,0.512808,0.487192,0,1.0
170,0,15.432945,8.677500,6.751484,0.003961,30848,1923,1.406888,0.276930,0.573023,0.426977,0,0
171,0,17.248098,8.853900,8.390237,0.003961,34152,4639,1.557574,0.668059,0.530801,0.469199,0,0
172,0,11.138801,7.201800,3.933040,0.003961,25409,1403,1.158831,0.202045,0.402691,0.597309,0,0
173,0,9.115362,5.523600,3.587801,0.003961,24810,6398,1.131513,0.921371,0.442144,0.557856,0,0
174,0,9.903586,5.984400,3.915225,0.003961,25448,5500,1.160610,0.792051,0.465385,0.534615,0,0
175,0,17.420472,9.483600,7.932911,0.003961,32980,1368,1.504123,0.197005,0.5167,0.4833,0,0
176,0,47.661179,4.452600,0.006599,43.201981,17773,2931,0.810575,0.422091,0.423951,0.576049,0,1.0
177,0,11.415135,7.184700,4.226474,0.003961,26008,2059,1.186150,0.296515,0.463847,0.536153,0,0
178,0,12.628105,7.470000,5.154144,0.003961,27832,2932,1.269337,0.422235,0.588011,0.411989,0,0
179,0,14.980389,8.672400,6.304028,0.003961,29776,868,1.357998,0.125000,0.542949,0.457051,0,0
180,0,15.866899,8.058000,7.804938,0.003961,33047,6187,1.507179,0.890985,0.495996,0.504004,0,0
181,0,9.288067,5.888400,3.395706,0.003961,24428,4800,1.114091,0.691244,0.479088,0.520912,0,0
182,0,18.246671,9.617100,8.625610,0.003961,34477,2420,1.572397,0.348502,0.463861,0.536139,0,0
183,0,51.580118,6.272700,2.105438,43.201981,21866,957,0.997245,0.137817,0.468054,0.531946,0,1.0
184,0,18.706604,9.987600,8.715043,0.003961,34205,913,1.559992,0.131480,0.430331,0.569669,0,0
185,0,11.384291,7.124400,4.255929,0.003961,26074,2326,1.189160,0.334965,0.431358,0.568642,0,0
186,0,47.999430,3.799500,0.997949,43.201981,15791,3126,0.720182,0.450173,0.51327,0.48673,0,1.0
187,0,10.369973,7.010100,3.355912,0.003961,24258,891,1.106338,0.128312,0.534715,0.465285,0,0
188,0,12.977895,6.320700,2.866047,3.791148,23374,2305,1.066021,0.331941,0.517898,0.482102,0,0.1787941787941787
189,0,48.114475,4.134000,0.778494,43.201981,16224,2444,0.739930,0.351959,0.430411,0.569589,0,1.0
190,0,17.228591,9.300900,7.923730,0.003961,33102,2099,1.509687,0.302275,0.512085,0.487915,0,0
191,0,12.131124,7.587600,4.539563,0.003961,26557,1265,1.211188,0.182172,0.46094,0.53906,0,0
192,0,47.966629,4.270200,0.494448,43.201981,16785,2551,0.765516,0.367368,0.419007,0.580993,0,1.0
193,0,16.320481,8.284500,8.032019,0.003961,33484,5869,1.527109,0.845190,0.481509,0.518491,0,0
194,0,12.807120,7.195800,5.607359,0.003961,28747,4761,1.311068,0.685628,0.514586,0.485414,0,0
195,0,48.107004,4.197000,0.708024,43.201981,19154,5164,0.873559,0.743664,0.550155,0.449845,0,1.0
196,0,17.185732,8.836500,8.345271,0.003961,34064,4609,1.553561,0.663738,0.512343,0.487657,0,0
197,0,15.372975,7.790400,7.578614,0.003961,32612,6644,1.487339,0.956797,0.517605,0.482395,0,0
198,0,12.621599,7.540200,5.077438,0.003961,27671,2537,1.261995,0.365351,0.576587,0.423413,0,0
199,0,17.572048,9.448500,8.119587,0.003961,33455,1960,1.525786,0.282258,0.512671,0.487329,0,0
200,0,48.735665,4.473300,1.060384,43.201981,15657,746,0.714071,0.107431,0.589241,0.410759,0,1.0
201,0,17.459056,9.048900,8.406195,0.003961,34161,3998,1.557985,0.575749,0.443073,0.556927,0,0
202,0,48.980926,5.022600,0.756346,43.201981,19248,2506,0.877846,0.360887,0.608266,0.391734,0,1.0
203,0,47.346377,2.458800,1.685596,43.201981,14435,6239,0.658339,0.898474,0.493041,0.506959,0,1.0
204,0,14.085017,7.822200,6.258856,0.003961,30000,3926,1.368214,0.565380,0.522187,0.477813,0,0
205,0,47.165353,3.014400,0.948972,43.201981,15889,5841,0.724652,0.841158,0.527919,0.472081,0,1.0
206,0,11.088346,6.404100,4.680285,0.003961,26945,5598,1.228884,0.806164,0.463601,0.536399,0,0
207,0,9.102164,6.132600,2.965603,0.003961,23577,3135,1.075279,0.451469,0.494788,0.505212,0,0
208,0,49.046186,4.800300,1.043906,43.201981,19814,3813,0.903660,0.549107,0.490193,0.509807,0,1.0
209,0,14.899474,8.539500,6.356013,0.003961,30054,1589,1.370676,0.228831,0.465498,0.534502,0,0
210,0,48.648172,4.417200,1.028991,43.201981,15723,999,0.717081,0.143865,0.555574,0.444426,0,1.0
211,0,50.698476,5.192700,2.303795,43.201981,22289,4980,1.016537,0.717166,0.445384,0.554616,0,1.0
212,0,83.355199,3.296100,2.248572,77.810526,13310,2323,0.607031,0.334533,0.470959,0.529041,0.8210526315789474,1.0
213,0,9.548181,6.278400,3.265820,0.003961,24164,3236,1.102050,0.466014,0.505727,0.494273,0,0
214,0,16.907239,8.327400,8.575878,0.003961,34557,6799,1.576045,0.979119,0.515849,0.484151,0,0
215,0,8.840532,5.990100,2.846471,0.003961,23346,3379,1.064744,0.486607,0.44776,0.55224,0,0
