iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,prob1,prob2
0,0,58.930237,11.068800,4.659456,43.201981,46054,9158,0.999991,0.599974,0.5,0.5,0,1.0
1,0,28.149121,15.206400,12.938760,0.003961,62255,11567,1.351771,0.757796,0.53882,0.46118,0,0
2,0,60.364213,12.433500,4.728732,43.201981,46169,4724,1.002488,0.309486,0.480956,0.519044,0,1.0
3,0,60.083870,12.635400,4.246490,43.201981,45209,3091,0.981643,0.202503,0.511802,0.488198,0,1.0
4,0,97.835886,8.897400,2.538486,86.400000,31868,2210,0.691964,0.144785,0.483297,0.516703,1.0,1.0
5,0,96.785761,8.519700,1.866061,86.400000,33213,4814,0.721169,0.315383,0.427915,0.572085,1.0,1.0
6,0,25.401482,13.694700,11.702821,0.003961,59864,14215,1.299854,0.931276,0.55003,0.44997,0,0
7,0,34.743620,17.780700,16.958958,0.003961,70065,10796,1.521353,0.707285,0.495682,0.504318,0,0
8,0,97.430009,9.379200,1.793913,86.256896,40427,9163,0.877810,0.600301,0.567085,0.432915,0.9970186725247137,1.0
9,0,28.019888,15.139800,12.876127,0.003961,62134,11668,1.349144,0.764413,0.550143,0.449857,0,0
10,0,20.097995,12.630600,7.463434,0.003961,51546,9444,1.119242,0.618711,0.510845,0.489155,0,0
11,0,31.943804,16.838700,15.101143,0.003961,66446,10317,1.442772,0.675904,0.498436,0.501564,0,0
12,0,96.378555,8.550900,1.427655,86.400000,34080,5577,0.739994,0.365369,0.593305,0.406695,1.0,1.0
13,0,27.571264,16.336500,11.230803,0.003961,58757,4302,1.275817,0.281840,0.569443,0.430557,0,0
14,0,26.914747,16.156800,10.753986,0.003961,57819,3963,1.255450,0.259631,0.491668,0.508332,0,0
15,0,30.252365,16.407300,13.841104,0.003961,63977,9286,1.389162,0.608360,0.547768,0.452232,0,0
16,0,18.375975,12.216600,6.155414,0.003961,48981,8259,1.063547,0.541077,0.478801,0.521199,0,0
17,0,94.709520,8.194800,0.114720,86.400000,37122,9806,0.806047,0.642427,0.499531,0.500469,1.0,1.0
18,0,38.274626,19.598400,18.672265,0.003961,73286,7958,1.591292,0.521357,0.521528,0.478472,0,0
19,0,25.278748,14.802900,10.471887,0.003961,57403,8060,1.246417,0.528040,0.44765,0.55235,0,0
20,0,20.178918,13.612500,6.562457,0.003961,49735,4360,1.079919,0.285639,0.557315,0.442685,0,0
