iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,prob1,prob2,prob3,prob4
0,0,58.353137,10.780800,4.366396,43.205942,44518,8582,0.999991,0.599972,0.25,0.25,0.25,0.25,0,1.0,0,0
1,0,184.049037,6.859200,4.389837,172.800000,27247,4383,0.612039,0.306418,0.35644075000000003,0.16801775000000002,0.16368075,0.31186075,1.0,1.0,1.0,1.0
2,0,30.604305,15.672000,14.924383,0.007922,65182,12942,1.464159,0.904782,0.31594200000000006,0.16303800000000002,0.3022250000000001,0.21879500000000002,0,0,0,0
3,0,141.624197,9.488700,2.533517,129.601981,40921,9292,0.919193,0.649609,0.213725,0.197527,0.169559,0.419189,1.0,1.0,1.0,0
4,0,26.649874,15.356400,11.285552,0.007922,58000,6812,1.302832,0.476230,0.245852,0.210271,0.214806,0.329071,0,0,0,0
5,0,29.236144,16.920000,12.308221,0.007922,59782,3382,1.342860,0.236437,0.33629725,0.14361525,0.33742225000000003,0.18266525,0,0,0,0
6,0,184.335339,10.666200,0.869139,172.800000,37645,2091,0.845605,0.146183,0.25706,0.238285,0.253775,0.25088,1.0,1.0,1.0,1.0
7,0,27.665702,14.482800,13.174980,0.007922,61775,13499,1.387628,0.943722,0.31981125,0.28432925,0.21961125,0.17624825,0,0,0,0
8,0,27.561174,15.493200,12.060052,0.007922,59528,7884,1.337155,0.551174,0.29421,0.258254,0.211142,0.236394,0,0,0,0
9,0,141.959307,7.038600,0.788485,134.132222,37489,14027,0.842101,0.980635,0.236488,0.206271,0.301577,0.255664,1.0,1.0,0.19436345966958213,1.0
10,0,139.425350,8.035500,1.787870,129.601981,39456,12671,0.886285,0.885836,0.269951,0.239495,0.287148,0.203406,1.0,1.0,0.0,1.0
11,0,19.630830,12.675000,6.947908,0.007922,49564,7314,1.113337,0.511326,0.170307,0.410226,0.225239,0.194228,0,0,0,0
12,0,79.768285,12.158700,4.050877,63.558708,43872,3343,0.985480,0.233711,0.417868,0.185666,0.212456,0.18401,0,1.0,0,0.5240572171651495
13,0,20.415861,13.108800,7.299139,0.007922,50242,6546,1.128567,0.457634,0.19796424999999998,0.19692225,0.41692225,0.18819124999999998,0,0,0,0
14,0,169.376476,9.836700,2.326468,157.213308,40513,7724,0.910028,0.539989,0.29541,0.298888,0.237302,0.1684,0.8117757594738491,1.0,0.8635014836795252,1.0
15,0,34.660958,18.887700,15.765336,0.007922,66338,3379,1.490125,0.236228,0.28734675,0.24129374999999997,0.32769875,0.14366074999999998,0,0,0,0
16,0,136.557672,10.923300,1.690852,123.943520,39258,2847,0.881838,0.199035,0.35965774999999994,0.18681574999999997,0.27952875,0.17399774999999998,0.8820315011250401,1.0,0.018536585365853675,1.0
17,0,32.012765,16.556700,15.448143,0.007922,66173,10984,1.486419,0.767897,0.273864,0.302794,0.196797,0.226545,0,0,0,0
18,0,22.894900,12.891900,9.995078,0.007922,55555,12582,1.247911,0.879614,0.386016,0.192796,0.182002,0.239186,0,0,0,0
19,0,19.482099,13.520700,5.953476,0.007922,47535,2466,1.067761,0.172399,0.24147,0.230653,0.295564,0.232313,0,0,0,0
20,0,180.734433,8.529600,0.400880,171.803953,35146,6714,0.789471,0.469379,0.154594,0.186862,0.352337,0.306207,1.0,1.0,0.9792490118577075,1.0
21,0,183.257135,9.972600,0.484535,172.800000,36890,3648,0.828646,0.255034,0.19676625000000003,0.25402725000000004,0.17611625000000003,0.37309025,1.0,1.0,1.0,1.0
22,0,26.464395,15.367800,11.088673,0.007922,57607,6381,1.294004,0.446099,0.408489,0.204907,0.22285,0.163754,0,0,0,0
23,0,33.067267,16.557900,16.501444,0.007922,68256,13063,1.533209,0.913241,0.25404225,0.27972825,0.24223425000000004,0.22399525000000003,0,0,0,0
24,0,22.454798,12.453600,9.993275,0.007922,55559,14047,1.248001,0.982033,0.20335225,0.16469825000000002,0.31991225,0.31203725000000004,0,0,0,0
25,0,34.531165,17.439300,17.083942,0.007922,69357,11226,1.557940,0.784815,0.22616175000000002,0.20352975,0.30076975,0.26953875,0,0,0,0
26,0,27.361774,14.255700,13.098152,0.007922,61630,14111,1.384371,0.986507,0.311767,0.348602,0.174776,0.164855,0,0,0,0
27,0,138.171298,7.335900,0.719434,130.115965,37353,12900,0.839046,0.901846,0.195301,0.15392,0.322087,0.328692,1.0,1.0,0.09835294117647053,1.0
28,0,31.786888,18.060600,13.718366,0.007922,62079,1877,1.394457,0.131222,0.19197825000000002,0.19547225000000001,0.36225625000000006,0.25029325,0,0,0,0
29,0,143.359821,10.924800,2.833040,129.601981,41503,5087,0.932266,0.355635,0.180551,0.270682,0.356354,0.192413,1.0,1.0,0,1.0
30,0,100.272832,10.157700,3.711171,86.403961,43234,9375,0.971149,0.655411,0.357506,0.208255,0.177861,0.256378,0,1.0,1.0,0
31,0,33.238957,18.520800,14.710234,0.007922,64108,2372,1.440034,0.165828,0.25405700000000003,0.25891600000000004,0.28584200000000004,0.20118500000000006,0,0,0,0
32,0,33.099141,16.402500,16.688719,0.007922,68633,13958,1.541677,0.975811,0.21189925,0.15675525,0.33012624999999995,0.30121925000000005,0,0,0,0
33,0,29.227529,16.404300,12.815306,0.007922,60946,6265,1.369007,0.437989,0.32630325,0.24850624999999998,0.18860224999999997,0.23658824999999997,0,0,0,0
34,0,181.634555,5.769300,3.065255,172.800000,29889,10658,0.671385,0.745106,0.217444,0.29908,0.299686,0.18379,1.0,1.0,1.0,1.0
35,0,24.217178,15.179400,9.029856,0.007922,53470,2872,1.201076,0.200783,0.235441,0.269873,0.263344,0.231342,0,0,0,0
36,0,19.104695,12.633900,6.462873,0.007922,48610,6497,1.091908,0.454209,0.19471974999999997,0.27596475,0.25153574999999995,0.27777975,0,0,0,0
37,0,183.683434,8.166000,2.717434,172.800000,30562,3342,0.686503,0.233641,0.149886,0.294962,0.320693,0.234459,1.0,1.0,1.0,1.0
38,0,21.709089,13.343700,8.357467,0.007922,52320,7841,1.175244,0.548168,0.229797,0.337779,0.179939,0.252485,0,0,0,0
39,0,184.163233,9.894600,1.468633,172.800000,38826,5844,0.872134,0.408557,0.262338,0.365656,0.184883,0.187123,1.0,1.0,1.0,1.0
40,0,16.994255,11.592900,5.393433,0.007922,46528,7885,1.045141,0.551244,0.20553575000000002,0.26760075,0.21679275000000003,0.31007075,0,0,0,0
41,0,184.873479,7.736100,4.337379,172.800000,27273,1486,0.612623,0.103887,0.346153,0.193037,0.232422,0.228388,1.0,1.0,1.0,1.0
42,0,143.696066,9.305700,1.011797,133.378570,37928,6909,0.851962,0.483012,0.17229575000000003,0.35889475000000004,0.26499475,0.20381475000000002,1.0,1.0,0.1785714285714286,1.0
43,0,182.592557,9.075900,0.716657,172.800000,34523,4270,0.775477,0.298518,0.215773,0.259741,0.284859,0.239627,1.0,1.0,1.0,1.0
44,0,28.601107,16.275300,12.317885,0.007922,59963,5712,1.346926,0.399329,0.262805,0.340255,0.202311,0.194629,0,0,0,0
45,0,18.806031,11.274000,7.524109,0.007922,50720,13140,1.139304,0.918624,0.188871,0.321682,0.250983,0.238464,0,0,0,0
46,0,182.819180,9.552000,0.467180,172.800000,36856,5016,0.827882,0.350671,0.302721,0.266104,0.233318,0.197857,1.0,1.0,1.0,1.0
47,0,20.505846,11.862900,8.635024,0.007922,52897,13354,1.188205,0.933585,0.224471,0.281914,0.324773,0.168842,0,0,0,0
48,0,180.548676,7.339500,0.409176,172.800000,36742,12277,0.825322,0.858291,0.18272175000000002,0.36534175,0.24126675000000003,0.21066975000000002,1.0,1.0,1.0,1.0
49,0,18.727023,11.813400,6.905701,0.007922,49498,10120,1.111855,0.707494,0.19027474999999996,0.36942974999999995,0.19574374999999997,0.24455174999999996,0,0,0,0
50,0,25.810300,14.163000,11.639378,0.007922,58760,11550,1.319904,0.807466,0.303369,0.159921,0.175663,0.361047,0,0,0,0
51,0,180.968934,5.575200,2.593734,172.800000,30821,12237,0.692320,0.855495,0.352113,0.183532,0.198455,0.2659,1.0,1.0,1.0,1.0
52,0,35.077713,18.934800,16.134991,0.007922,67144,4028,1.508230,0.281600,0.193634,0.159598,0.275959,0.370809,0,0,0,0
53,0,30.977249,16.666200,14.303126,0.007922,63892,8338,1.435182,0.582914,0.308668,0.203417,0.31667,0.171245,0,0,0,0
54,0,26.847156,15.293400,11.545833,0.007922,58522,7544,1.314558,0.527405,0.263729,0.182152,0.355129,0.19899,0,0,0,0
55,0,27.660375,15.347400,12.305053,0.007922,60023,8865,1.348274,0.619757,0.33146025,0.18621525,0.23697225,0.24535225,0,0,0,0
56,0,34.324037,17.393100,16.923015,0.007922,69041,11064,1.550842,0.773490,0.144146,0.298571,0.282255,0.275028,0,0,0,0
57,0,97.922951,8.481000,3.037990,86.403961,41915,13645,0.941521,0.953929,0.28050825,0.30709125000000004,0.13438225,0.27801825,0,1.0,1.0,0
58,0,182.272281,9.387000,0.085281,172.800000,36104,4814,0.810991,0.336549,0.32163425,0.20656525,0.27168024999999996,0.20012025,1.0,1.0,1.0,1.0
59,0,180.707761,7.164900,0.742861,172.800000,34472,10589,0.774332,0.740282,0.261833,0.263087,0.252352,0.222728,1.0,1.0,1.0,1.0
60,0,182.057645,8.948100,0.309545,172.800000,35326,5499,0.793515,0.384438,0.275491,0.269854,0.26932,0.185335,1.0,1.0,1.0,1.0
61,0,141.163663,10.148700,1.412982,129.601981,38716,4887,0.869663,0.341653,0.251581,0.188007,0.344021,0.216391,1.0,1.0,0,1.0
62,0,26.269277,14.571600,11.689755,0.007922,58845,10273,1.321813,0.718191,0.212277,0.260431,0.319412,0.20788,0,0,0,0
63,0,33.873309,18.342900,15.522486,0.007922,66077,4934,1.484263,0.344938,0.20892,0.367246,0.231667,0.192167,0,0,0,0
64,0,183.594379,7.963800,2.830579,172.800000,30340,3794,0.681516,0.265240,0.195563,0.1825,0.357098,0.264839,1.0,1.0,1.0,1.0
65,0,182.095729,9.996900,1.628926,170.469903,39141,5818,0.879209,0.406739,0.182606,0.337416,0.204097,0.275881,1.0,1.0,1.0,0.9514563106796117
66,0,16.643289,11.737200,4.878393,0.027696,45513,6389,1.022341,0.446658,0.29128275,0.23454874999999997,0.24165674999999998,0.23251174999999996,0,0.04014715291106852,0,0
67,0,182.098063,8.272500,1.025563,172.800000,33914,6339,0.761797,0.443163,0.173823,0.348686,0.191969,0.285522,1.0,1.0,1.0,1.0
68,0,180.558239,4.725900,3.032339,172.800000,29956,14203,0.672890,0.992939,0.293088,0.234125,0.28176,0.191027,1.0,1.0,1.0,1.0
69,0,20.581538,12.097200,8.476416,0.007922,52582,12258,1.181130,0.856963,0.170805,0.311783,0.247299,0.270113,0,0,0,0
70,0,19.814739,11.723100,8.083716,0.007922,51815,12738,1.163901,0.890520,0.183327,0.372934,0.270984,0.172755,0,0,0,0
71,0,27.485768,16.569300,10.908546,0.007922,56725,1494,1.274192,0.104446,0.257541,0.338951,0.239249,0.164259,0,0,0,0
72,0,183.323919,9.552900,0.971019,172.800000,34019,2176,0.764156,0.152125,0.37985625,0.16605525,0.28283424999999995,0.17125424999999997,1.0,1.0,1.0,1.0
73,0,180.523877,4.788300,2.935577,172.800000,30147,14186,0.677181,0.991751,0.19792524999999997,0.14234724999999998,0.34780425,0.31192325,1.0,1.0,1.0,1.0
74,0,36.606852,19.662900,16.936030,0.007922,68415,2872,1.536780,0.200783,0.23714574999999996,0.24209474999999997,0.24170574999999997,0.27905375,0,0,0,0
75,0,59.871658,12.431100,4.234560,43.205998,44220,2783,0.993297,0.194561,0.183256,0.37403,0.208464,0.23425,1.0,0,0.0004708097928437516,0
76,0,180.878550,7.267200,0.811350,172.800000,37534,13310,0.843112,0.930509,0.258771,0.319855,0.185686,0.235688,1.0,1.0,1.0,1.0
77,0,36.126267,19.165500,16.952845,0.007922,68810,4925,1.545653,0.344309,0.32749875,0.24676075000000003,0.23239675,0.19334375,0,0,0,0
78,0,183.268101,9.889200,0.605450,172.773451,37128,4164,0.833992,0.291107,0.25526424999999997,0.30183725,0.24088824999999997,0.20201024999999997,1.0,1.0,0.9994469026548672,1.0
79,0,180.652533,6.532500,1.320033,172.800000,33334,11559,0.748769,0.808096,0.30075375,0.25318575,0.15180074999999996,0.29425975,1.0,1.0,1.0,1.0
80,0,181.705055,8.247000,0.658055,172.800000,34639,7149,0.778083,0.499790,0.220607,0.331476,0.259173,0.188744,1.0,1.0,1.0,1.0
81,0,36.387300,19.594800,16.784578,0.007922,68108,2792,1.529884,0.195190,0.25397800000000004,0.251138,0.333391,0.16149300000000003,0,0,0,0
82,0,99.059517,9.365100,4.484807,85.209610,44758,13541,1.005382,0.946658,0.274427,0.212748,0.349865,0.16296,0,1.0,0,0.9751176866173503
83,0,141.970689,9.100800,1.178411,131.691478,38256,7920,0.859330,0.553691,0.18995225000000002,0.21446525,0.21044025,0.38514225,1.0,1.0,1.0,0.1423052157115261
84,0,181.107732,5.539800,2.767932,172.800000,30477,12011,0.684593,0.839695,0.28359625,0.37571525,0.17254925,0.16813925,1.0,1.0,1.0,1.0
85,0,183.969453,10.516800,0.652653,172.800000,37220,2164,0.836059,0.151286,0.22643775000000002,0.37575375,0.17186675,0.22594175000000002,1.0,1.0,1.0,1.0
86,0,178.300641,9.181800,0.281632,168.837209,35381,4775,0.794750,0.333823,0.34611325,0.21026925,0.27486825,0.16874925,1.0,1.0,0.9174418604651162,1.0
87,0,30.798469,17.192700,13.597847,0.007922,62397,5088,1.401600,0.355705,0.30528,0.343248,0.204419,0.147053,0,0,0,0
88,0,22.335510,12.921900,9.405688,0.007922,54395,11322,1.221854,0.791527,0.202274,0.227331,0.281589,0.288806,0,0,0,0
89,0,181.432974,5.078700,3.554274,172.800000,28924,11995,0.649709,0.838577,0.196952,0.222975,0.238658,0.341415,1.0,1.0,1.0,1.0
90,0,180.968925,6.649200,1.519725,172.800000,32940,10776,0.739919,0.753356,0.245313,0.267864,0.203895,0.282928,1.0,1.0,1.0,1.0
91,0,182.633694,7.847700,1.985994,172.800000,39846,13687,0.895046,0.956865,0.255579,0.37211,0.184234,0.188077,1.0,1.0,1.0,1.0
92,0,17.105400,11.040900,5.115452,0.949048,45988,9185,1.033011,0.642128,0.213678,0.305585,0.166642,0.314095,0,0,0.11352099676972771,0
93,0,30.031183,17.315400,12.707861,0.007922,60442,2724,1.357686,0.190436,0.12983,0.330831,0.243835,0.295504,0,0,0,0
94,0,183.765134,6.432000,4.533134,172.800000,26971,5531,0.605839,0.386675,0.274254,0.282042,0.142661,0.301043,1.0,1.0,1.0,1.0
95,0,181.856803,7.255200,1.801603,172.800000,32383,8199,0.727407,0.573196,0.293995,0.233116,0.211854,0.261035,1.0,1.0,1.0,1.0
96,0,32.321277,17.475000,14.838355,0.007922,64868,6618,1.457105,0.462668,0.169099,0.162861,0.258452,0.409588,0,0,0,0
97,0,33.326849,17.644800,15.674127,0.007922,66527,7711,1.494371,0.539080,0.19211925,0.26101125,0.28825724999999996,0.25861225,0,0,0,0
98,0,17.165341,12.385200,4.772219,0.007922,45286,4002,1.017242,0.279782,0.339045,0.19384,0.267837,0.199278,0,0,0,0
99,0,183.657782,7.215900,3.641882,172.800000,28735,4682,0.645463,0.327321,0.19626,0.2132,0.210326,0.380214,1.0,1.0,1.0,1.0
100,0,34.921166,9.587100,4.912494,20.421571,45598,13641,1.024251,0.953649,0.381904,0.16942,0.207995,0.240681,0,0.5253256150506513,0,0
101,0,31.533243,16.319100,15.206221,0.007922,65708,11311,1.475974,0.790758,0.241809,0.276129,0.29175,0.190312,0,0,0,0
102,0,184.161001,9.837000,1.524001,172.800000,38935,6145,0.874582,0.429600,0.259661,0.34809,0.202041,0.190208,1.0,1.0,1.0,1.0
103,0,32.677098,17.439000,15.230176,0.007922,65662,7532,1.474941,0.526566,0.157303,0.329236,0.258223,0.255238,0,0,0,0
104,0,33.484965,17.663700,15.813343,0.007922,66804,7925,1.500593,0.554041,0.18216,0.282631,0.362317,0.172892,0,0,0,0
105,0,34.119818,18.031200,16.080696,0.007922,67291,7187,1.511532,0.502447,0.20650324999999997,0.13538424999999998,0.31668925,0.34142324999999996,0,0,0,0
106,0,100.223326,10.380300,3.439065,86.403961,42698,8097,0.959109,0.566065,0.276103,0.229302,0.278729,0.215866,0,1.0,0,1.0
107,0,187.014806,11.454600,2.760206,172.800000,41352,3170,0.928874,0.221616,0.25205325,0.32656625000000006,0.17319125000000002,0.24818925,1.0,1.0,1.0,1.0
108,0,19.157871,13.374900,5.775049,0.007922,47198,2615,1.060191,0.182816,0.348689,0.171522,0.246613,0.233176,0,0,0,0
109,0,184.021438,8.107200,3.114238,172.800000,29768,2744,0.668667,0.191834,0.287991,0.327328,0.167423,0.217258,1.0,1.0,1.0,1.0
110,0,183.763287,9.996900,0.966387,172.800000,37838,4515,0.849941,0.315646,0.22540525,0.30912724999999996,0.23685625000000002,0.22861125000000002,1.0,1.0,1.0,1.0
111,0,178.809103,10.296300,2.002728,166.510075,39875,5554,0.895697,0.388283,0.328673,0.22614900000000002,0.25305900000000003,0.19211900000000004,0.9596485519036771,1.0,0.9093113482056256,1.0
112,0,34.151884,18.067800,16.076162,0.007922,67276,7050,1.511195,0.492869,0.180572,0.210361,0.3882,0.220867,0,0,0,0
113,0,183.178008,6.052800,4.325208,172.800000,27391,7215,0.615274,0.504404,0.188506,0.257617,0.297863,0.256014,1.0,1.0,1.0,1.0
114,0,185.671625,11.182800,1.688825,172.800000,39250,1974,0.881658,0.138003,0.327941,0.157429,0.224125,0.290505,1.0,1.0,1.0,1.0
115,0,181.923362,5.268600,3.854762,172.800000,28329,10767,0.636344,0.752727,0.34998975,0.17319074999999998,0.29967974999999997,0.17713974999999996,1.0,1.0,1.0,1.0
116,0,182.788117,6.469200,3.518917,172.800000,28988,7424,0.651146,0.519016,0.214155,0.276104,0.312513,0.197228,1.0,1.0,1.0,1.0
117,0,183.589336,10.452000,0.337336,172.800000,36600,1760,0.822132,0.123043,0.29799775,0.15053475000000002,0.19020575,0.36126175000000005,1.0,1.0,1.0,1.0
118,0,32.052056,17.196300,14.847834,0.007922,64925,7604,1.458386,0.531600,0.250399,0.251107,0.227206,0.271288,0,0,0,0
119,0,58.866597,11.546700,4.113955,43.205942,44013,5524,0.988647,0.386186,0.144932,0.305041,0.278078,0.271949,1.0,0,0,0
120,0,181.580420,6.652800,2.127620,172.800000,31740,9564,0.712964,0.668624,0.334843,0.233886,0.167913,0.263358,1.0,1.0,1.0,1.0
121,0,32.824812,18.454200,14.362690,0.007922,63088,1574,1.417122,0.110039,0.190355,0.28418,0.300947,0.224518,0,0,0,0
122,0,29.662209,16.597200,13.057087,0.007922,61406,6082,1.379340,0.425196,0.173869,0.333303,0.169177,0.323651,0,0,0,0
123,0,26.896328,16.362300,10.526106,0.007922,56007,1466,1.258064,0.102489,0.247642,0.269685,0.234152,0.248521,0,0,0,0
124,0,22.701749,14.300400,8.393427,0.007922,52335,4667,1.175581,0.326272,0.39405,0.174373,0.269155,0.162422,0,0,0,0
125,0,22.773372,12.693900,10.071550,0.007922,55709,13396,1.251370,0.936521,0.22075600000000004,0.21253000000000002,0.363436,0.20327800000000001,0,0,0,0
126,0,144.358883,11.367600,3.389303,129.601981,42591,4699,0.956706,0.328510,0.19844300000000004,0.27161500000000005,0.35641100000000003,0.17353100000000002,1.0,1.0,0,1.0
127,0,184.017228,9.846300,1.601808,172.569120,39088,6267,0.878019,0.438129,0.315376,0.164396,0.262586,0.257642,1.0,1.0,0.9951899951899952,1.0
128,0,161.186135,11.561700,2.507861,147.116574,40852,2313,0.917643,0.161703,0.285555,0.268972,0.202432,0.243041,0.4649286157666046,1.0,1.0,1.0
129,0,182.995336,9.094500,1.100836,172.800000,33764,3449,0.758428,0.241121,0.232002,0.268752,0.294762,0.204484,1.0,1.0,1.0,1.0
130,0,24.722378,14.300400,10.414056,0.007922,56339,8671,1.265522,0.606194,0.25911875,0.21179175000000003,0.31108775,0.21800175000000002,0,0,0,0
131,0,142.475994,11.175900,1.869717,129.430377,39606,2353,0.889655,0.164499,0.23015875000000002,0.16556575,0.23857875000000003,0.36569675,1.0,1.0,0.9964249233912156,0
132,0,181.569254,4.671300,4.097954,172.800000,27850,12279,0.625584,0.858431,0.448867,0.184973,0.19147,0.17469,1.0,1.0,1.0,1.0
133,0,29.166936,15.711900,13.447113,0.007922,62262,9889,1.398568,0.691345,0.289327,0.21105000000000002,0.24855800000000003,0.251065,0,0,0,0
134,0,179.828487,6.280500,0.747987,172.800000,34462,13527,0.774107,0.945680,0.18816500000000003,0.38874600000000004,0.25616300000000003,0.16692600000000002,1.0,1.0,1.0,1.0
135,0,181.379690,5.131200,3.448490,172.800000,29133,12029,0.654404,0.840954,0.25402824999999996,0.22747525,0.18401824999999997,0.33447825,1.0,1.0,1.0,1.0
136,0,26.768402,15.245100,11.515379,0.007922,58465,7648,1.313277,0.534676,0.21247,0.212427,0.385241,0.189862,0,0,0,0
137,0,23.559617,14.899800,8.651894,0.007922,52763,3097,1.185195,0.216513,0.266172,0.256069,0.143345,0.334414,0,0,0,0
138,0,182.336046,9.347700,0.188346,172.800000,36307,5148,0.815550,0.359899,0.284571,0.21046,0.267243,0.237726,1.0,1.0,1.0,1.0
139,0,143.352436,11.242500,2.507955,129.601981,40860,3385,0.917823,0.236647,0.168597,0.274703,0.325748,0.230952,1.0,1.0,0,1.0
140,0,30.415146,16.850100,13.557124,0.007922,62377,6210,1.401151,0.434144,0.282522,0.283773,0.250572,0.183133,0,0,0,0
141,0,18.735545,12.034800,6.692823,0.007922,49076,8960,1.102376,0.626398,0.229676,0.342025,0.270218,0.158081,0,0,0,0
142,0,182.043142,11.901600,3.391681,166.749861,42582,2910,0.956503,0.203440,0.2173,0.402133,0.202795,0.177772,1.0,0.8739554317548747,1.0,1.0
143,0,183.234569,9.640500,0.794069,172.800000,34369,2234,0.772018,0.156180,0.354497,0.179262,0.242269,0.223972,1.0,1.0,1.0,1.0
144,0,28.859058,15.598800,13.252335,0.007922,61883,9887,1.390054,0.691205,0.30371325000000005,0.17952825,0.35294225,0.16381625,0,0,0,0
145,0,179.785655,6.678600,0.307055,172.800000,35331,13069,0.793627,0.913661,0.25830525,0.26909924999999996,0.26939525,0.20320024999999997,1.0,1.0,1.0,1.0
146,0,28.996591,15.714300,13.274369,0.007922,61920,9539,1.390886,0.666876,0.20164825,0.32642925,0.26126525,0.21065725000000002,0,0,0,0
147,0,32.118765,17.002200,15.108643,0.007922,65466,8792,1.470538,0.614653,0.143953,0.2943,0.30995,0.251797,0,0,0,0
148,0,98.398075,10.023900,1.970214,86.403961,39812,6399,0.894282,0.447357,0.178778,0.164783,0.311588,0.344851,1.0,1.0,0,0
149,0,27.555669,15.101100,12.446647,0.007922,60316,9979,1.354856,0.697637,0.282102,0.364072,0.184387,0.169439,0,0,0,0
150,0,31.405169,16.164300,15.232947,0.007922,65769,11888,1.477344,0.831096,0.21499,0.297087,0.32224,0.165683,0,0,0,0
