iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,prob1,prob2
0,0,40.395898,10.763400,4.835746,24.796752,43001,7123,0.999986,0.599983,0.5,0.5,0.616557734204793,0
1,0,25.698759,14.979000,10.715798,0.003961,54382,4452,1.264651,0.375000,0.423873,0.576127,0,0
2,0,16.309781,11.867400,4.374187,0.068193,42052,2494,0.977917,0.210074,0.435054,0.564946,0.05916552667578656,0
3,0,51.187955,7.584900,0.401075,43.201981,34294,9011,0.797505,0.759013,0.471827,0.528173,1.0,0
4,0,26.765392,14.064900,12.696531,0.003961,58390,11507,1.357856,0.969255,0.441709,0.558291,0,0
5,0,31.376646,15.747000,15.625685,0.003961,64097,11607,1.490572,0.977679,0.458763,0.541237,0,0
6,0,20.570481,12.840000,7.726520,0.003961,48633,5833,1.130958,0.491324,0.42303,0.57697,0,0
7,0,25.415479,13.827000,11.584518,0.003961,56206,10116,1.307068,0.852089,0.463644,0.536356,0,0
8,0,54.836712,8.993100,2.641631,43.201981,38701,8724,0.899990,0.734838,0.482706,0.517294,1.0,0
9,0,51.530733,5.192400,3.136352,43.201981,27316,10008,0.635232,0.842992,0.554203,0.445797,1.0,0
10,0,17.092625,11.437200,5.651464,0.003961,44593,6469,1.037008,0.544896,0.5724,0.4276,0,0
11,0,35.831361,18.199200,17.628200,0.003961,67842,7178,1.577662,0.604616,0.443661,0.556339,0,0
12,0,52.417339,6.025200,3.153269,43.238870,27279,7195,0.634372,0.606048,0.525528,0.474472,1.0,0.04999999999999993
13,0,20.910256,12.293700,8.612595,0.003961,50400,9421,1.172049,0.793548,0.454603,0.545397,0,0
14,0,30.427715,15.653100,14.770654,0.003961,62410,10233,1.451341,0.861944,0.507916,0.492084,0,0
15,0,20.600931,12.280200,8.316770,0.003961,49818,8884,1.158515,0.748315,0.422091,0.577909,0,0
16,0,24.271929,14.543400,9.724568,0.003961,52447,3969,1.219652,0.334316,0.603353,0.396647,0,0
17,0,51.986217,7.770600,1.013636,43.201981,35500,9598,0.825551,0.808457,0.518663,0.481337,1.0,0
18,0,32.789060,17.597100,15.187999,0.003961,62942,4285,1.463713,0.360933,0.423059,0.576941,0,0
19,0,17.256349,12.150900,5.101488,0.003961,43475,2972,1.011009,0.250337,0.479205,0.520795,0,0
20,0,60.089024,7.194900,3.714722,49.179402,26126,2143,0.607559,0.180509,0.495053,0.504947,1.0,0.22456140350877196
21,0,20.646118,13.470000,7.172157,0.003961,47452,2552,1.103494,0.214960,0.515441,0.484559,0,0
22,0,66.043491,7.550400,3.534951,54.958140,26449,1281,0.615070,0.107901,0.570428,0.429572,1.0,0.3449612403100776
23,0,51.387235,6.700800,1.484454,43.201981,30577,8241,0.711067,0.694154,0.485952,0.514048,1.0,0
24,0,49.929695,6.197400,0.530315,43.201981,32459,11801,0.754832,0.994020,0.49809,0.50191,1.0,0
25,0,33.005309,17.013600,15.987748,0.003961,64712,8000,1.504874,0.673854,0.502065,0.497935,0,0
26,0,35.191174,17.827800,17.359412,0.003961,67360,7934,1.566453,0.668295,0.466457,0.533543,0,0
27,0,33.783454,17.635500,16.143993,0.003961,64926,6141,1.509851,0.517268,0.463825,0.536175,0,0
28,0,28.890384,16.117200,12.769223,0.003961,58342,4618,1.356740,0.388982,0.505238,0.494762,0,0
29,0,16.895953,11.353800,5.538192,0.003961,44372,6526,1.031869,0.549697,0.402658,0.597342,0,0
30,0,25.975523,15.570600,10.400962,0.003961,53325,1423,1.240070,0.119862,0.44322,0.55678,0,0
31,0,51.990802,8.132400,0.656421,43.201981,32210,5102,0.749042,0.429751,0.532316,0.467684,1.0,0
