iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,prob1,prob2,prob3,prob4
0,0,98.080226,10.291200,4.301609,83.487416,40640,6336,1.000000,0.600000,0.25,0.25,0.25,0.25,1.0,0,0.9392386530014641,0
1,0,19.954728,12.990000,6.956805,0.007922,45717,2417,1.124926,0.228883,0.35489,0.214678,0.193142,0.23729,0,0,0,0
2,0,126.043476,9.335700,2.945796,113.761981,37984,6865,0.934646,0.650095,0.258727,0.151619,0.313443,0.276211,1.0,0.6699999999999999,1.0,0
3,0,139.086069,7.596600,1.887489,129.601981,28463,3141,0.700369,0.297443,0.213618,0.366749,0.224028,0.195605,1.0,1.0,1.0,0
4,0,19.749073,12.337200,7.403951,0.007922,46689,5565,1.148844,0.526989,0.18990624999999997,0.38648325,0.20184424999999998,0.22176624999999997,0,0,0,0
5,0,28.019346,14.844600,13.166823,0.007922,57946,8464,1.425837,0.801515,0.245537,0.304115,0.167947,0.282401,0,0,0,0
6,0,26.572431,14.178900,12.385609,0.007922,56441,9178,1.388804,0.869129,0.31392125,0.26162325,0.19568524999999998,0.22877024999999998,0,0,0,0
7,0,138.381396,7.304400,1.475016,129.601981,29282,4934,0.720522,0.467235,0.321655,0.240619,0.230854,0.206872,1.0,1.0,1.0,0
8,0,35.129422,18.203700,16.917799,0.007922,64916,4237,1.597343,0.401231,0.37710374999999996,0.21275474999999996,0.19951674999999996,0.21062474999999997,0,0,0,0
9,0,17.589619,11.096100,6.485597,0.007922,44921,7934,1.105340,0.751326,0.142807,0.292184,0.281771,0.283238,0,0,0,0
10,0,19.527972,11.976600,7.543450,0.007922,46980,7058,1.156004,0.668371,0.208702,0.233104,0.223718,0.334476,0,0,0,0
11,0,16.837574,11.562600,5.267052,0.007922,42505,3963,1.045891,0.375284,0.24878,0.156725,0.350685,0.24381,0,0,0,0
12,0,146.640549,6.726600,2.113921,137.800028,28020,5598,0.689469,0.530114,0.30396325,0.24027525,0.30991725000000003,0.14584425,1.0,1.0,1.0,0.27083333333333337
13,0,21.158804,13.273500,7.877382,0.007922,47541,3296,1.169808,0.312121,0.145789,0.223581,0.326875,0.303755,0,0,0,0
14,0,137.195364,4.892700,2.700683,129.601981,26865,10556,0.661048,0.999621,0.20303524999999997,0.25466825,0.27702525,0.26527124999999996,1.0,1.0,1.0,0
15,0,15.360540,10.956900,4.395718,0.007922,40811,4288,1.004208,0.406061,0.353532,0.186438,0.249219,0.210811,0,0,0,0
16,0,27.314711,14.536500,12.770289,0.007922,57181,8726,1.407013,0.826326,0.26994225,0.21873225,0.22183324999999998,0.28949225,0,0,0,0
17,0,136.634067,6.925500,0.106587,129.601981,31982,8897,0.786959,0.842519,0.252198,0.231029,0.187714,0.329059,1.0,1.0,1.0,0
18,0,29.649712,15.169800,14.471990,0.007922,60512,9946,1.488976,0.941856,0.30159925,0.24639224999999998,0.20319524999999997,0.24881324999999999,0,0,0,0
19,0,134.107460,8.333100,1.505713,124.268647,29211,1434,0.718775,0.135795,0.230631,0.273875,0.257321,0.238173,1.0,0.8888888888888888,1.0,0
20,0,16.395382,11.714400,4.673059,0.007922,41311,2263,1.016511,0.214299,0.30965,0.22536300000000004,0.21267500000000003,0.252312,0,0,0,0
21,0,24.962014,14.582400,10.371691,0.007922,52367,3759,1.288558,0.355966,0.19545,0.239673,0.17833,0.386547,0,0,0,0
22,0,139.446282,6.384300,3.457649,129.604333,25353,4072,0.623844,0.385606,0.16088924999999998,0.22896624999999998,0.29654025,0.31360425,1.0,1.0,1.0,0.013071895424836555
23,0,26.971658,15.467400,11.496335,0.007922,54428,2870,1.339272,0.271780,0.315004,0.192758,0.225964,0.266274,0,0,0,0
24,0,25.344484,14.332200,11.004362,0.007922,53686,5912,1.321014,0.559848,0.181707,0.304604,0.247713,0.265976,0,0,0,0
