iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
0,0,100.450139,10.116900,3.916138,86.417102,40318,6595,0.999990,0.599982,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,1.0,0,0.02156334231805923,0,1.0,0
1,0,141.758083,9.403200,1.721630,130.633253,36010,4666,0.893141,0.424491,0.20682199999999998,0.20457499999999998,0.038496999999999976,0.21919499999999997,0.04189999999999997,0.18135099999999998,0.06737399999999998,0.040285999999999975,0,0,1.0,0,1.0,0,1.0,0.1159420289855072
2,0,181.767615,8.755200,0.204492,172.807922,32221,3037,0.799164,0.276292,0.282065875,0.08656087500000001,0.086030875,0.04957887500000001,0.111701875,0.12354287500000001,0.063674875,0.196843875,0,0,1.0,0,1.0,1.0,1.0,0
3,0,27.769919,15.886200,11.867875,0.015844,55513,2559,1.376865,0.232806,0.07922812500000001,0.07581212500000001,0.050899125,0.258557125,0.24038112500000003,0.067872125,0.175133125,0.052117125,0,0,0,0,0,0,0,0
4,0,141.098302,8.078400,1.633783,131.386119,35840,8912,0.888924,0.810771,0.057111,0.061007,0.09533,0.076917,0.054732,0.09611,0.28024,0.278553,0.1351351351351351,0,1.0,0,1.0,0,1.0,0
5,0,27.932276,15.547500,12.368932,0.015844,56709,4884,1.406529,0.444323,0.092125,0.060896,0.072046,0.130766,0.147348,0.265993,0.13307,0.097756,0,0,0,0,0,0,0,0
6,0,24.889552,14.303100,10.570608,0.015844,53268,5591,1.321183,0.508643,0.25014587499999996,0.09447587500000001,0.03601187500000001,0.12449887500000001,0.125708875,0.21129587500000002,0.092107875,0.065754875,0,0,0,0,0,0,0,0
7,0,32.720874,16.628400,16.076629,0.015844,64024,8596,1.587960,0.782023,0.196418,0.157152,0.179807,0.04987,0.054276,0.092959,0.163571,0.105947,0,0,0,0,0,0,0,0
8,0,20.485854,12.793200,7.676810,0.015844,47641,4997,1.181619,0.454603,0.054712,0.087868,0.250666,0.241796,0.170665,0.10711,0.045547,0.041636,0,0,0,0,0,0,0,0
9,0,19.332463,12.279300,7.037319,0.015844,46406,5475,1.150988,0.498090,0.152932,0.090667,0.037803,0.08373,0.23747,0.209353,0.103133,0.084912,0,0,0,0,0,0,0,0
10,0,27.677282,15.137400,12.524037,0.015844,57083,6625,1.415805,0.602711,0.08345124999999999,0.12500424999999998,0.15214024999999998,0.07850425,0.058893249999999994,0.12007525,0.13532224999999998,0.24660925,0,0,0,0,0,0,0,0
11,0,181.846277,8.119500,0.721624,173.005153,34045,6980,0.844404,0.635007,0.071869,0.214286,0.302376,0.063851,0.091704,0.059895,0.095588,0.100431,0.07894736842105265,0,1.0,0,1.0,1.0,1.0,0
12,0,183.709700,9.957000,0.944778,172.807922,34479,1289,0.855168,0.117267,0.31384,0.084816,0.132378,0.07049,0.099495,0.093689,0.074052,0.13124,0,0,1.0,0,1.0,1.0,1.0,0
13,0,24.795927,14.618400,10.161683,0.015844,52389,3661,1.299382,0.333060,0.078017125,0.06826512500000001,0.113941125,0.079802125,0.062688125,0.06249612500000001,0.385945125,0.14884512500000002,0,0,0,0,0,0,0,0
14,0,18.075662,11.289900,6.769917,0.015844,45911,8278,1.138711,0.753093,0.12396887499999998,0.187511875,0.19982087499999998,0.13035287499999998,0.07883387499999998,0.11741687499999998,0.054211874999999986,0.10788287499999999,0,0,0,0,0,0,0,0
15,0,241.355144,4.936500,3.168194,233.250450,26373,9918,0.654118,0.902293,0.07915,0.049667,0.232355,0.180399,0.255265,0.094789,0.05131,0.057065,0.6739130434782609,0.6666666666666666,1.0,0,1.0,1.0,1.0,0.21875
16,0,166.384712,9.313200,0.263590,156.807922,33143,2099,0.822032,0.190957,0.197821,0.097091,0.049551,0.066218,0.203791,0.179882,0.035816,0.16983,0,0,1.0,0,1.0,0.6666666666666666,1.0,0
17,0,31.026442,16.445400,14.565197,0.015844,61009,6191,1.513180,0.563228,0.07824187500000002,0.06945687500000002,0.10142987500000002,0.18303687500000002,0.165854875,0.137697875,0.15326087500000002,0.111020875,0,0,0,0,0,0,0,0
18,0,32.198148,16.902600,15.279703,0.015844,62377,6035,1.547110,0.549036,0.054079125000000006,0.22517712499999998,0.230303125,0.15400512500000002,0.05468412500000001,0.038516125000000005,0.101104125,0.14213112500000002,0,0,0,0,0,0,0,0
19,0,22.122674,13.707300,8.399530,0.015844,48978,3287,1.214780,0.299036,0.11141,0.073532,0.15988,0.084425,0.181007,0.068132,0.155699,0.165915,0,0,0,0,0,0,0,0
20,0,14.623258,9.517500,5.089914,0.015844,42630,10905,1.057334,0.992085,0.078144,0.054375,0.132209,0.172321,0.216563,0.078765,0.171247,0.096376,0,0,0,0,0,0,0,0
21,0,26.686762,15.383700,11.287218,0.015844,54506,3227,1.351889,0.293577,0.229436125,0.090708125,0.047233125,0.071535125,0.152852125,0.16702012500000002,0.18658712500000002,0.05462812500000001,0,0,0,0,0,0,0,0
22,0,182.351036,8.685000,0.858114,172.807922,30930,1980,0.767144,0.180131,0.14093,0.11839900000000002,0.09582600000000001,0.141835,0.07178200000000001,0.040161000000000016,0.20426300000000003,0.18680400000000003,0,0,1.0,0,1.0,1.0,1.0,0
23,0,15.537380,11.308200,4.176447,0.052734,40801,3107,1.011970,0.282660,0.196947,0.057843,0.064731,0.102261,0.181055,0.197689,0.127819,0.071655,0,0,0.050000000000000044,0,0,0,0,0
24,0,155.070793,7.275000,0.229397,147.566396,32172,7922,0.797948,0.720706,0.17220200000000002,0.06749900000000002,0.182572,0.19134400000000001,0.07749600000000001,0.19556400000000002,0.04449900000000001,0.06882400000000001,0,0.4444444444444444,1.0,0,1.0,0.1266666666666666,1.0,0
25,0,17.454720,12.033000,5.405876,0.015844,43188,3078,1.071173,0.280022,0.19001812499999998,0.07312212500000001,0.19617012500000003,0.076944125,0.159384125,0.114470125,0.045780125000000005,0.144111125,0,0,0,0,0,0,0,0
26,0,35.358896,18.689400,16.653651,0.015844,64067,1769,1.589026,0.160935,0.06775187500000002,0.19902287500000002,0.106703875,0.14468587500000002,0.086071875,0.113714875,0.05600487500000001,0.226043875,0,0,0,0,0,0,0,0
27,0,17.931974,12.120600,5.795529,0.015844,43956,3554,1.090222,0.323326,0.179787,0.069944,0.073383,0.075791,0.221291,0.067634,0.135526,0.176644,0,0,0,0,0,0,0,0
28,0,251.545358,5.357100,3.925053,242.263206,24871,7014,0.616865,0.638100,0.23994700000000002,0.07425100000000001,0.06650500000000001,0.12465300000000001,0.24427700000000002,0.12661300000000003,0.07062100000000002,0.053133000000000014,0.7674418604651163,0.681159420289855,1.0,0,1.0,1.0,1.0,0.29850746268656714
29,0,23.008200,13.446300,9.546055,0.015844,51303,6482,1.272446,0.589702,0.23737287499999998,0.06456487499999998,0.173520875,0.15924587499999998,0.07883287499999998,0.05940887499999998,0.12729087499999997,0.09976287499999999,0,0,0,0,0,0,0,0
30,0,24.023735,14.182200,9.825691,0.015844,51788,4514,1.284476,0.410662,0.09408400000000001,0.14549,0.183743,0.09939800000000001,0.08186100000000002,0.10888000000000002,0.220868,0.06567600000000001,0,0,0,0,0,0,0,0
31,0,32.107842,17.304900,14.787097,0.015844,61199,3516,1.517893,0.319869,0.10454887499999999,0.19215787499999998,0.05101387499999998,0.03898287499999998,0.10063287499999998,0.15205387499999998,0.21558087499999998,0.14502887499999997,0,0,0,0,0,0,0,0
32,0,13.997433,10.519800,3.461789,0.015844,39419,4353,0.977693,0.396015,0.038736,0.047534,0.222811,0.121087,0.161797,0.275731,0.04149,0.090814,0,0,0,0,0,0,0,0
33,0,33.720398,10.629300,3.769952,19.321146,40023,4592,0.992673,0.417758,0.21672712499999996,0.058585124999999974,0.10774812499999997,0.06975712499999998,0.18889212499999997,0.10050812499999998,0.135642125,0.12214012499999997,0,0,0.486090775988287,0,0,0,0.10825439783491198,0
34,0,30.460531,16.571100,13.873586,0.015844,59555,4318,1.477117,0.392831,0.050643125000000004,0.128048125,0.278288125,0.123551125,0.174834125,0.077294125,0.055486125000000004,0.111855125,0,0,0,0,0,0,0,0
35,0,243.593030,6.023700,1.846332,235.722999,28983,8904,0.718853,0.810044,0.088760125,0.03211912499999999,0.140655125,0.10050312499999998,0.134998125,0.20029012499999999,0.218367125,0.084307125,0.7346938775510204,0.7761194029850746,1.0,0,1.0,1.0,1.0,0
36,0,33.832312,18.064800,15.751668,0.015844,62807,2591,1.557775,0.235717,0.13142712499999998,0.045229125,0.052250125,0.21422012499999998,0.14934512500000002,0.050165125000000005,0.136007125,0.22135612500000001,0,0,0,0,0,0,0,0
37,0,19.896812,11.742900,8.138067,0.015844,48593,9450,1.205231,0.859716,0.101652125,0.169278125,0.26564912500000004,0.18180612499999999,0.05776812499999999,0.06813712499999999,0.05779412499999999,0.09791512499999999,0,0,0,0,0,0,0,0
38,0,140.823106,8.278200,2.935003,129.609903,38399,10805,0.952394,0.982988,0.12183000000000001,0.09346000000000002,0.05060000000000001,0.18004600000000004,0.04985500000000001,0.11833800000000001,0.278225,0.10764600000000002,0,0,1.0,0,1.0,0,1.0,0
39,0,28.666529,16.257300,12.393385,0.015844,56430,2239,1.399609,0.203694,0.131425,0.151073,0.076811,0.205895,0.121543,0.13408,0.085426,0.093747,0,0,0,0,0,0,0,0
40,0,245.355863,5.534400,3.017502,236.803961,26669,8221,0.661460,0.747908,0.134644875,0.05274687500000001,0.12886887500000002,0.26555787500000005,0.17923587500000002,0.04876287500000001,0.10269787500000001,0.087484875,0.8666666666666667,0.6666666666666666,1.0,0,1.0,1.0,1.0,0
41,0,228.808311,8.218500,2.042069,218.547742,28568,1173,0.708560,0.106714,0.243957875,0.043255874999999985,0.170665875,0.04222287499999998,0.24475287499999998,0.12953987499999997,0.06480087499999998,0.06080387499999998,0,0.8387096774193549,1.0,0,1.0,1.0,1.0,0.3142857142857143
42,0,28.387363,15.953700,12.417819,0.015844,56694,3515,1.406157,0.319778,0.18280712500000001,0.199763125,0.051653125000000015,0.05657412500000002,0.07701412500000002,0.07750912500000001,0.10188012500000002,0.252799125,0,0,0,0,0,0,0,0
43,0,178.789455,10.814400,2.714302,165.260752,37936,1888,0.940910,0.171761,0.14541700000000002,0.10836400000000002,0.256314,0.14204700000000003,0.09533500000000002,0.07511600000000002,0.12252200000000002,0.05488500000000002,0,0,1.0,0,1.0,0.8427672955974843,1.0,0
44,0,17.590673,11.919600,5.655228,0.015844,43692,3960,1.083674,0.360262,0.071518,0.045115,0.309992,0.152685,0.06341,0.055528,0.084741,0.217011,0,0,0,0,0,0,0,0
45,0,206.367475,8.430900,0.392172,197.544403,31851,3748,0.789987,0.340975,0.103926,0.064246,0.227715,0.196461,0.059479,0.1071,0.034552,0.206521,0,0.6153846153846154,1.0,0,1.0,1.0,1.0,0
46,0,215.072488,7.249500,1.417047,206.405942,29829,5664,0.739836,0.515284,0.06058087500000001,0.112102875,0.12096287500000001,0.07153587500000001,0.227380875,0.17815687500000002,0.131801875,0.097477875,0.8,0,1.0,0,1.0,1.0,1.0,0
47,0,141.729579,9.772200,2.347476,129.609903,37238,4664,0.923598,0.424309,0.144301,0.066646,0.117747,0.130466,0.129268,0.282937,0.041757,0.086878,0,0,1.0,0,1.0,0,1.0,0
48,0,19.594669,10.060200,4.342183,5.192287,41156,7622,1.020775,0.693413,0.086128,0.110515,0.2401,0.239567,0.178693,0.047648,0.044406,0.052943,0,0,0,0,0,0,0.20785804816223075,0
49,0,175.168126,7.099800,0.806331,167.261995,34212,10546,0.848546,0.959425,0.039763,0.212641,0.046437,0.110539,0.074932,0.124861,0.172123,0.218704,0.8541666666666667,0,1.0,0,1.0,0.1273885350318471,1.0,0
50,0,19.201422,11.317200,7.868378,0.015844,48071,10347,1.192284,0.941321,0.11302212499999999,0.11687112499999999,0.09306712499999999,0.063990125,0.344758125,0.14760512499999998,0.06434612499999999,0.05634012499999999,0,0,0,0,0,0,0,0
