iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,prob1,prob2,prob3,prob4
0,0,122.298043,9.322500,2.668036,110.307507,37370,6295,1.000000,0.599981,0.25,0.25,0.25,0.25,0,1.0,0.5980317940953823,1.0
1,0,17.975266,12.245100,5.722244,0.007922,43277,2460,1.158068,0.234464,0.299808,0.162653,0.310581,0.226958,0,0,0,0
2,0,182.438369,5.700900,3.937469,172.800000,24340,5337,0.651325,0.508673,0.274779,0.213069,0.290999,0.221153,1.0,1.0,1.0,1.0
3,0,56.298335,9.190500,2.066902,45.040933,36189,5554,0.968397,0.529356,0.23429725,0.30185025,0.30054824999999996,0.16330425,0,0.13650239860444835,0,1.0
4,0,22.383691,13.775100,8.600669,0.007922,48840,2923,1.306931,0.278593,0.20885125000000004,0.27179825,0.25733325,0.26201725000000003,0,0,0,0
5,0,17.814469,11.301600,6.504947,0.007922,44886,7214,1.201124,0.687571,0.161273,0.212185,0.263652,0.36289,0,0,0,0
6,0,181.375526,8.237100,0.338426,172.800000,31457,4000,0.841771,0.381243,0.20026625,0.15405325,0.34067725000000004,0.30500325000000006,1.0,1.0,1.0,1.0
7,0,31.414969,17.226900,14.180146,0.007922,58717,1294,1.571234,0.123332,0.218241,0.344079,0.239728,0.197952,0,0,0,0
8,0,29.573474,16.147500,13.418052,0.007922,58187,4362,1.557051,0.415745,0.15860124999999997,0.24878124999999998,0.26527524999999996,0.32734225,0,0,0,0
9,0,23.801657,14.522400,9.271335,0.007922,49868,1460,1.334439,0.139154,0.16618574999999997,0.35301974999999997,0.28218075,0.19861374999999998,0,0,0,0
10,0,180.059417,7.089900,0.169517,172.800000,31790,8157,0.850682,0.777449,0.175734,0.287787,0.249463,0.287016,1.0,1.0,1.0,1.0
11,0,23.810549,14.530800,9.271827,0.007922,49854,1418,1.334065,0.135151,0.17587175000000002,0.27497575,0.32455575000000003,0.22459675,0,0,0,0
12,0,17.868427,11.253000,6.607505,0.007922,45089,7579,1.206556,0.722360,0.20118374999999997,0.40151974999999995,0.24564474999999997,0.15165174999999997,0,0,0,0
13,0,140.582911,9.627600,1.353331,129.601981,34784,2692,0.930800,0.256576,0.38355924999999996,0.20027324999999999,0.20170824999999998,0.21445925,0,1.0,1.0,1.0
14,0,14.648793,9.839100,4.801771,0.007922,41560,8763,1.112122,0.835208,0.198801,0.324484,0.173155,0.30356,0,0,0,0
15,0,182.177728,7.786800,1.590928,172.800000,28982,3026,0.775542,0.288410,0.24533424999999998,0.33862325,0.28573925,0.13030324999999998,1.0,1.0,1.0,1.0
16,0,20.136467,12.501900,7.626645,0.007922,47051,5378,1.259058,0.512581,0.237993,0.232173,0.30135,0.228484,0,0,0,0
17,0,21.027476,12.837300,8.182254,0.007922,48130,5339,1.287931,0.508864,0.131092,0.262653,0.315159,0.291096,0,0,0,0
18,0,18.466528,11.833800,6.624806,0.007922,45105,5659,1.206984,0.539363,0.18148424999999999,0.34299525,0.31670125,0.15881924999999997,0,0,0,0
19,0,15.180075,11.428800,3.743353,0.007922,39402,1306,1.054375,0.124476,0.26321324999999995,0.29765825,0.20695725,0.23217125,0,0,0,0
20,0,182.985307,6.232200,3.953107,172.800000,24295,3521,0.650120,0.335589,0.25698525,0.30741225,0.27386225,0.16174024999999997,1.0,1.0,1.0,1.0
21,0,180.910800,5.569800,2.541000,172.800000,27111,8545,0.725475,0.814430,0.26407475,0.23130575000000003,0.29244175,0.21217775000000003,1.0,1.0,1.0,1.0
22,0,19.295086,11.423400,7.863764,0.007922,47557,9479,1.272598,0.903450,0.289718,0.277407,0.208883,0.223992,0,0,0,0
23,0,181.895792,8.994300,0.101492,172.800000,31924,1943,0.854268,0.185189,0.20098674999999996,0.20808674999999996,0.32980275,0.26112375,1.0,1.0,1.0,1.0
24,0,30.148207,16.477800,13.662485,0.007922,58582,3656,1.567621,0.348456,0.183068,0.309471,0.344634,0.162827,0,0,0,0
25,0,137.617980,7.647600,0.368399,129.601981,31398,5906,0.840193,0.562905,0.336897,0.163204,0.344327,0.155572,0,1.0,1.0,1.0
26,0,31.395344,17.168700,14.218722,0.007922,59256,2027,1.585657,0.193195,0.21176875000000003,0.32527675,0.31054475000000004,0.15240975,0,0,0,0
27,0,26.728331,14.390700,12.329709,0.007922,56248,8279,1.505165,0.789077,0.151676,0.181166,0.349354,0.317804,0,0,0,0
28,0,21.154465,13.065300,8.081243,0.007922,47909,4358,1.282018,0.415364,0.33122674999999996,0.18467674999999997,0.30654875,0.17754774999999998,0,0,0,0
29,0,16.672300,11.233500,5.430878,0.007922,42773,5328,1.144581,0.507815,0.199523,0.289298,0.175716,0.335463,0,0,0,0
30,0,25.982771,14.370900,11.603949,0.007922,54808,6905,1.466631,0.658120,0.191679,0.296766,0.205319,0.306236,0,0,0,0
31,0,183.830584,9.789900,1.240684,172.800000,34561,1928,0.924833,0.183759,0.188372,0.28165,0.233218,0.29676,1.0,1.0,1.0,1.0
32,0,25.131533,13.406400,11.717211,0.007922,55088,10400,1.474124,0.991231,0.25051500000000004,0.23783100000000001,0.28606300000000007,0.22559100000000004,0,0,0,0
33,0,32.086930,17.461200,14.617807,0.007922,59520,1316,1.592721,0.125429,0.21823924999999997,0.26578625,0.24394524999999997,0.27202925,0,0,0,0
34,0,22.059937,13.728900,8.323115,0.007922,48273,2510,1.291758,0.239230,0.20014225,0.29903325000000003,0.17919325,0.32163125000000004,0,0,0,0
35,0,181.530037,5.940600,2.789437,172.800000,26618,6816,0.712283,0.649638,0.185521,0.232025,0.297424,0.28503,1.0,1.0,1.0,1.0
36,0,181.276537,8.067600,0.408937,172.800000,31318,4426,0.838052,0.421845,0.145342,0.298101,0.299422,0.257135,1.0,1.0,1.0,1.0
37,0,182.860630,6.296100,3.764530,172.800000,24672,3685,0.660209,0.351220,0.297552,0.228134,0.178176,0.296138,1.0,1.0,1.0,1.0
38,0,136.466183,6.416100,0.448102,129.601981,31241,9854,0.835991,0.939192,0.431646,0.17740600000000004,0.18936400000000003,0.20158400000000004,0,1.0,1.0,1.0
39,0,14.819350,11.009700,3.801728,0.007922,39568,2869,1.058817,0.273446,0.16344625000000002,0.31523725,0.16661325000000002,0.35470325,0,0,0,0
40,0,181.144235,5.301300,3.042935,172.800000,26119,8448,0.698930,0.805185,0.38639025,0.22326824999999997,0.17987625,0.21046525,1.0,1.0,1.0,1.0
41,0,22.676177,12.966600,9.701654,0.007922,51129,7907,1.368183,0.753622,0.224783,0.370666,0.24355,0.161001,0,0,0,0
42,0,181.151708,5.741700,2.610008,172.800000,26974,7835,0.721809,0.746759,0.227894,0.350787,0.197152,0.224167,1.0,1.0,1.0,1.0
43,0,20.443322,13.067100,7.368300,0.007922,46472,2915,1.243564,0.277831,0.328556,0.180111,0.274316,0.217017,0,0,0,0
44,0,140.755528,9.316800,0.767005,130.671723,33633,2577,0.900000,0.245616,0.228586,0.166359,0.29008,0.314975,0.11726546906187629,1.0,1.0,1.0
45,0,139.235757,8.844300,0.789476,129.601981,33678,4197,0.901204,0.400019,0.26332325,0.34898725,0.13103025000000004,0.25665925000000006,0,1.0,1.0,1.0
46,0,54.369398,8.661300,2.278618,43.429480,36607,7736,0.979583,0.737324,0.23316625000000002,0.30644925,0.32552024999999996,0.13486425000000002,0,0.08130081300813008,0,1.0
47,0,56.758916,7.859100,2.030746,46.869071,36121,9924,0.966577,0.945864,0.16597325,0.33371625,0.32974624999999996,0.17056424999999997,0.17571721311475408,0.041945560017849215,0.0,1.0
48,0,27.736565,15.608700,12.119943,0.007922,55635,3606,1.488761,0.343690,0.283883,0.185046,0.262862,0.268209,0,0,0,0
49,0,99.080585,10.123200,2.553424,86.403961,37137,3393,0.993765,0.323389,0.216301,0.377032,0.21924,0.187427,0,0,1.0,1.0
50,0,19.280169,12.797700,6.474547,0.007922,44694,2035,1.195986,0.193957,0.22190624999999997,0.30892224999999995,0.20357825,0.26559325,0,0,0,0
51,0,23.533682,13.311900,10.213860,0.007922,52124,7751,1.394809,0.738753,0.19181674999999995,0.23077474999999997,0.27938775,0.29802074999999995,0,0,0,0
52,0,17.072068,10.517100,6.547046,0.007922,44983,9926,1.203720,0.946054,0.271512,0.225871,0.264253,0.238364,0,0,0,0
53,0,17.821287,12.304500,5.508865,0.007922,42826,1811,1.145999,0.172608,0.383131,0.173315,0.26577,0.177784,0,0,0,0
54,0,138.318346,8.062800,0.653565,129.601981,33411,6535,0.894059,0.622856,0.2761100000000001,0.19009500000000001,0.37272000000000005,0.16107500000000002,0,1.0,1.0,1.0
55,0,22.052314,13.647000,8.397392,0.007922,48453,2963,1.296575,0.282406,0.318251,0.264453,0.241764,0.175532,0,0,0,0
56,0,25.319505,14.540700,10.770883,0.007922,53118,4649,1.421408,0.443100,0.255082,0.180332,0.367961,0.196625,0,0,0,0
57,0,24.333781,14.611800,9.714058,0.007922,50872,2166,1.361306,0.206443,0.259472,0.281471,0.250406,0.208651,0,0,0,0
58,0,183.573494,6.459000,4.314494,172.800000,23538,2008,0.629864,0.191384,0.190149,0.293727,0.255563,0.260561,1.0,1.0,1.0,1.0
59,0,136.914120,7.073100,0.239039,129.601981,31653,8076,0.847016,0.769729,0.291318,0.149262,0.181202,0.378218,0,1.0,1.0,1.0
60,0,183.311317,6.887100,3.624217,172.800000,24922,1965,0.666899,0.187286,0.302525,0.249743,0.219001,0.228731,1.0,1.0,1.0,1.0
61,0,182.158507,6.619500,2.739007,172.800000,26713,4648,0.714825,0.443004,0.392992,0.194653,0.154053,0.258302,1.0,1.0,1.0,1.0
62,0,16.452004,10.655400,5.788682,0.007922,43490,7972,1.163768,0.759817,0.323191,0.252627,0.201493,0.222689,0,0,0,0
63,0,27.985903,14.867400,13.110581,0.007922,57763,8205,1.545705,0.782024,0.263249,0.19667,0.220192,0.319889,0,0,0,0
64,0,29.888244,16.593300,13.287022,0.007922,57622,2311,1.541932,0.220263,0.382539,0.177825,0.244561,0.195075,0,0,0,0
65,0,22.885636,13.859400,9.018314,0.007922,49680,3482,1.329409,0.331872,0.201073,0.178605,0.368471,0.251851,0,0,0,0
66,0,180.526611,5.049900,2.676711,172.800000,26844,10011,0.718330,0.954156,0.180023,0.219476,0.296752,0.303749,1.0,1.0,1.0,1.0
67,0,14.464519,9.527400,4.929197,0.007922,41813,10055,1.118892,0.958349,0.224699,0.177479,0.334113,0.263709,0,0,0,0
68,0,181.027953,7.778100,0.449853,172.800000,33010,7083,0.883329,0.675086,0.192927,0.350269,0.264976,0.191828,1.0,1.0,1.0,1.0
69,0,157.452777,7.326000,1.377840,148.748936,29406,4986,0.786888,0.475219,0.27491125,0.23347524999999997,0.22879224999999997,0.26282125,0.49893617021276593,1.0,1.0,1.0
70,0,182.514954,7.639200,2.075754,172.800000,28019,2555,0.749773,0.243519,0.22584800000000002,0.18963200000000002,0.33959000000000006,0.24493000000000004,1.0,1.0,1.0,1.0
71,0,15.044858,10.997100,4.039836,0.007922,40039,3382,1.071421,0.322341,0.394089,0.178479,0.205572,0.22186,0,0,0,0
72,0,183.351330,7.341600,3.209730,172.800000,25724,1252,0.688360,0.119329,0.315616,0.21282,0.308042,0.163522,1.0,1.0,1.0,1.0
73,0,15.316872,10.907100,4.401850,0.007922,40756,4399,1.090607,0.419272,0.285432,0.242638,0.297098,0.174832,0,0,0,0
74,0,23.697313,14.452200,9.237191,0.007922,49876,1702,1.334653,0.162219,0.15326825,0.17674525000000002,0.40735825000000003,0.26262825,0,0,0,0
75,0,21.211241,13.437000,7.766319,0.007922,47199,2409,1.263018,0.229604,0.400975,0.155892,0.242053,0.20108,0,0,0,0
76,0,19.455836,11.330400,8.117514,0.007922,48058,10290,1.286005,0.980747,0.241343,0.270479,0.256126,0.232052,0,0,0,0
77,0,28.236877,16.097100,12.131855,0.007922,55172,1515,1.476371,0.144396,0.40298325,0.17590425,0.17224225,0.24887025000000002,0,0,0,0
78,0,13.228501,9.111900,4.108237,0.008364,40202,9829,1.075783,0.936809,0.25319525,0.26028625,0.27537724999999996,0.21114124999999997,0,0.0033627574611181377,0,0
79,0,22.591392,13.101000,9.482469,0.007922,50689,7019,1.356409,0.668986,0.244358,0.27402,0.294547,0.187075,0,0,0,0
80,0,140.604641,8.430900,2.571760,129.601981,37184,9081,0.995023,0.865517,0.31611575000000003,0.21871375,0.22251175,0.24265875000000003,0,1.0,1.0,1.0
81,0,138.113342,8.086200,0.425161,129.601981,31286,4332,0.837196,0.412886,0.24046,0.160019,0.283943,0.315578,0,1.0,1.0,1.0
