iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
0,2,183.247184,42.075900,18.925484,122.245800,168129,27876,0.999996,0.599988,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.8465811965811966,0,0,0,0,0,1.0,1.0
1,3,147.062806,42.825900,19.947947,84.288959,170128,27375,1.011886,0.589205,0.152886125,0.11263112500000001,0.11257712500000001,0.11682612500000002,0.11419112500000002,0.11601912500000001,0.14104012500000002,0.13382912500000002,0,0,0.43326488706365496,0,0,0.043010752688172005,0.6220532319391635,1.0
1,0,91.004969,42.825900,19.947947,28.231122,170128,27375,1.011886,0.589205,0.152886125,0.11263112500000001,0.11257712500000001,0.11682612500000002,0.11419112500000002,0.11601912500000001,0.14104012500000002,0.13382912500000002,0.0239591516103691,0,0,0,0,0,0.10201834862385317,0.6751768686557982
1,2,139.301204,42.825900,19.947947,76.527357,170128,27375,1.011886,0.589205,0.152886125,0.11263112500000001,0.11257712500000001,0.11682612500000002,0.11419112500000002,0.11601912500000001,0.14104012500000002,0.13382912500000002,0,0,0,0,0,0,0.7940723633564281,1.0
1,1,105.987799,42.825900,19.947947,43.213952,170128,27375,1.011886,0.589205,0.152886125,0.11263112500000001,0.11257712500000001,0.11682612500000002,0.11419112500000002,0.11601912500000001,0.14104012500000002,0.13382912500000002,0,0,0,0,0,0,0.0007272727272727986,1.0
2,3,121.515906,43.575600,20.971059,56.969247,172127,26875,1.023775,0.578443,0.14942012500000001,0.108400125,0.112513125,0.114110125,0.110523125,0.113022125,0.14670212500000002,0.14530912499999998,0,0,0,0,0,0,0.4164810690423163,0.970130678282514
2,1,110.399662,43.575600,20.971059,45.853003,172127,26875,1.023775,0.578443,0.14942012500000001,0.108400125,0.112513125,0.114110125,0.110523125,0.113022125,0.14670212500000002,0.14530912499999998,0,0,0,0,0,0,0.15439788599471505,1.0
2,0,122.329146,43.575600,20.971059,57.782487,172127,26875,1.023775,0.578443,0.14942012500000001,0.108400125,0.112513125,0.114110125,0.110523125,0.113022125,0.14670212500000002,0.14530912499999998,0,0,0,0,0,0,0.40355423917067745,1.0
2,2,122.061947,43.575600,20.971059,57.515288,172127,26875,1.023775,0.578443,0.14942012500000001,0.108400125,0.112513125,0.114110125,0.110523125,0.113022125,0.14670212500000002,0.14530912499999998,0,0,0.39768339768339767,0,0,0,0.03556872915894782,1.0
3,3,66.726074,44.325900,21.995374,0.404800,174127,26374,1.035671,0.567660,0.146333875,0.104596875,0.11270787500000001,0.11173187500000001,0.10724987500000001,0.110369875,0.14971187500000002,0.157297875,0,0,0,0,0,0,0,0.09230332291962517
3,0,87.969176,44.325900,21.995374,21.647902,174127,26374,1.035671,0.567660,0.146333875,0.104596875,0.11270787500000001,0.11173187500000001,0.10724987500000001,0.110369875,0.14971187500000002,0.157297875,0,0,0,0,0,0,0,0.5507091249665508
3,2,69.156277,44.325900,21.995374,2.835003,174127,26374,1.035671,0.567660,0.146333875,0.104596875,0.11270787500000001,0.11173187500000001,0.10724987500000001,0.110369875,0.14971187500000002,0.157297875,0,0,0,0,0,0,0.00382342718109141,0.15826527738665175
3,1,88.166889,44.325900,21.995374,21.845615,174127,26374,1.035671,0.567660,0.146333875,0.104596875,0.11270787500000001,0.11173187500000001,0.10724987500000001,0.110369875,0.14971187500000002,0.157297875,0,0,0,0,0,0,0,0.5548281505728314
4,2,84.347717,45.075600,23.019903,16.252214,176126,25874,1.047560,0.556898,0.145795875,0.10391887499999998,0.11202587499999998,0.11133287499999998,0.10667487499999999,0.10991687499999998,0.149151875,0.16118287499999998,0,0,0,0,0,0,0.014774774774774735,0.4382402707275803
4,1,75.571645,45.075600,23.019903,7.476142,176126,25874,1.047560,0.556898,0.145795875,0.10391887499999998,0.11202587499999998,0.11133287499999998,0.10667487499999999,0.10991687499999998,0.149151875,0.16118287499999998,0,0,0,0,0,0,0,0.2554626382519558
4,0,68.942127,45.075600,23.019903,0.846623,176126,25874,1.047560,0.556898,0.145795875,0.10391887499999998,0.11202587499999998,0.11133287499999998,0.10667487499999999,0.10991687499999998,0.149151875,0.16118287499999998,0,0,0,0,0,0,0,0.1100892615634298
4,3,68.123579,45.075600,23.019903,0.028076,176126,25874,1.047560,0.556898,0.145795875,0.10391887499999998,0.11202587499999998,0.11133287499999998,0.10667487499999999,0.10991687499999998,0.149151875,0.16118287499999998,0,0,0,0,0,0,0,0.03297297297297297
5,2,70.020504,45.825900,24.045722,0.148882,178126,25373,1.059456,0.546115,0.145468,0.103504,0.111608,0.111092,0.106324,0.109642,0.148811,0.163551,0,0,0,0,0,0,0,0.07177289769683992
5,1,69.916529,45.825900,24.045722,0.044907,178126,25373,1.059456,0.546115,0.145468,0.103504,0.111608,0.111092,0.106324,0.109642,0.148811,0.163551,0,0,0,0,0,0,0,0.046170559478544315
5,0,69.888705,45.825900,24.045722,0.017083,178126,25373,1.059456,0.546115,0.145468,0.103504,0.111608,0.111092,0.106324,0.109642,0.148811,0.163551,0,0,0,0,0,0,0,0.008108108108108136
5,3,72.091444,45.825900,24.045722,2.219822,178126,25373,1.059456,0.546115,0.145468,0.103504,0.111608,0.111092,0.106324,0.109642,0.148811,0.163551,0,0,0,0,0,0,0,0.14486486486486483
6,3,75.475762,46.575900,25.072357,3.827505,180126,24873,1.071352,0.535353,0.14540112500000002,0.10341912500000001,0.11152212500000001,0.11104312500000002,0.10625212500000002,0.10958612500000002,0.14874112500000003,0.164035125,0,0,0,0,0,0,0,0.17930849638166713
6,1,71.664101,46.575900,25.072357,0.015844,180126,24873,1.071352,0.535353,0.14540112500000002,0.10341912500000001,0.11152212500000001,0.11104312500000002,0.10625212500000002,0.10958612500000002,0.14874112500000003,0.164035125,0,0,0,0,0,0,0,0
6,2,71.664302,46.575900,25.072357,0.016045,180126,24873,1.071352,0.535353,0.14540112500000002,0.10341912500000001,0.11152212500000001,0.11104312500000002,0.10625212500000002,0.10958612500000002,0.14874112500000003,0.164035125,0,0,0,0,0,0,0,0.001612903225806428
