iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
0,0,72.022106,46.519800,25.486462,0.015844,175706,20640,1.199998,0.499985,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
1,2,70.241496,45.769500,24.456151,0.015844,173705,21140,1.186332,0.512097,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
1,1,70.241496,45.769500,24.456151,0.015844,173705,21140,1.186332,0.512097,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
1,0,70.241496,45.769500,24.456151,0.015844,173705,21140,1.186332,0.512097,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
1,3,70.241496,45.769500,24.456151,0.015844,173705,21140,1.186332,0.512097,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
2,1,68.462015,45.019200,23.426971,0.015844,171704,21640,1.172666,0.524209,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
2,2,68.462015,45.019200,23.426971,0.015844,171704,21640,1.172666,0.524209,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
2,0,68.462015,45.019200,23.426971,0.015844,171704,21640,1.172666,0.524209,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
2,3,68.462015,45.019200,23.426971,0.015844,171704,21640,1.172666,0.524209,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
3,3,66.683587,44.268900,22.398843,0.015844,169703,22140,1.159000,0.536321,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
3,1,66.683587,44.268900,22.398843,0.015844,169703,22140,1.159000,0.536321,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
3,0,66.683587,44.268900,22.398843,0.015844,169703,22140,1.159000,0.536321,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
3,2,66.683587,44.268900,22.398843,0.015844,169703,22140,1.159000,0.536321,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
4,3,64.906445,43.518900,21.371701,0.015844,167702,22639,1.145334,0.548409,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
4,2,64.906445,43.518900,21.371701,0.015844,167702,22639,1.145334,0.548409,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
4,1,64.906445,43.518900,21.371701,0.015844,167702,22639,1.145334,0.548409,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
4,0,64.906445,43.518900,21.371701,0.015844,167702,22639,1.145334,0.548409,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
5,3,63.129916,42.768600,20.345471,0.015844,165701,23139,1.131668,0.560521,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
5,2,63.129916,42.768600,20.345471,0.015844,165701,23139,1.131668,0.560521,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
5,1,63.129916,42.768600,20.345471,0.015844,165701,23139,1.131668,0.560521,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
5,0,63.129916,42.768600,20.345471,0.015844,165701,23139,1.131668,0.560521,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
6,2,61.354245,42.018300,19.320101,0.015844,163700,23639,1.118002,0.572633,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
6,0,61.354245,42.018300,19.320101,0.015844,163700,23639,1.118002,0.572633,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
6,1,61.354245,42.018300,19.320101,0.015844,163700,23639,1.118002,0.572633,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
6,3,61.354245,42.018300,19.320101,0.015844,163700,23639,1.118002,0.572633,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
7,3,59.579380,41.268000,18.295535,0.015844,161699,24139,1.104336,0.584745,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
7,1,59.579380,41.268000,18.295535,0.015844,161699,24139,1.104336,0.584745,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
7,2,59.579380,41.268000,18.295535,0.015844,161699,24139,1.104336,0.584745,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
7,0,59.579380,41.268000,18.295535,0.015844,161699,24139,1.104336,0.584745,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
8,2,57.805269,40.517700,17.271725,0.015844,159698,24639,1.090670,0.596857,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
8,1,57.805269,40.517700,17.271725,0.015844,159698,24639,1.090670,0.596857,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
8,3,57.807360,40.517700,17.271725,0.017935,159698,24639,1.090670,0.596857,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0.012032932235592098,0
8,0,57.805309,40.517700,17.271725,0.015884,159698,24639,1.090670,0.596857,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0.0003335557038026682,0
9,1,56.031869,39.767400,16.248624,0.015844,157697,25139,1.077004,0.608969,0.119963,0.120082,0.12309,0.120608,0.123353,0.119175,0.153718,0.120011,0,0,0,0,0,0,0,0
9,3,56.031990,39.767400,16.248624,0.015966,157697,25139,1.077004,0.608969,0.119963,0.120082,0.12309,0.120608,0.123353,0.119175,0.153718,0.120011,0,0,0,0,0,0,0.000992391663909964,0
9,2,56.031869,39.767400,16.248624,0.015844,157697,25139,1.077004,0.608969,0.119963,0.120082,0.12309,0.120608,0.123353,0.119175,0.153718,0.120011,0,0,0,0,0,0,0,0
