iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
0,1,213.425475,34.665600,8.276593,170.483281,142689,27137,0.968306,0.647565,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,1.0,0,0.9515699840340607,1.0,1.0,0
1,0,88.310727,35.415600,9.294590,43.600537,144688,26636,0.981872,0.635609,0.105323,0.104613,0.14754,0.104348,0.135484,0.168252,0.119367,0.115073,0,0,0,0,0.09217999126256005,0,1.0,0
1,1,87.949165,35.415600,9.294590,43.238975,144688,26636,0.981872,0.635609,0.105323,0.104613,0.14754,0.104348,0.135484,0.168252,0.119367,0.115073,0,0,0.04385964912280704,0,0,0,1.0,0
1,2,70.252413,35.415600,9.294590,25.542222,144688,26636,0.981872,0.635609,0.105323,0.104613,0.14754,0.104348,0.135484,0.168252,0.119367,0.115073,0,0,0,0,0,0,0.6318407960199005,0
1,3,121.847358,35.415600,9.294590,77.137167,144688,26636,0.981872,0.635609,0.105323,0.104613,0.14754,0.104348,0.135484,0.168252,0.119367,0.115073,0,0.7954545454545454,0,0,0.4166266218164344,0,0.6947368421052631,0
2,3,46.495037,36.165600,10.313593,0.015844,146688,26136,0.995444,0.623678,0.10305887500000001,0.10473287500000002,0.145369875,0.10197087500000002,0.13657687500000001,0.167903875,0.12645087500000002,0.113935875,0,0,0,0,0,0,0,0
2,2,46.495037,36.165600,10.313593,0.015844,146688,26136,0.995444,0.623678,0.10305887500000001,0.10473287500000002,0.145369875,0.10197087500000002,0.13657687500000001,0.167903875,0.12645087500000002,0.113935875,0,0,0,0,0,0,0,0
2,0,50.324410,36.165600,10.313593,3.845217,146688,26136,0.995444,0.623678,0.10305887500000001,0.10473287500000002,0.145369875,0.10197087500000002,0.13657687500000001,0.167903875,0.12645087500000002,0.113935875,0,0.17961165048543692,0,0,0,0,0.01632653061224476,0
2,1,46.495037,36.165600,10.313593,0.015844,146688,26136,0.995444,0.623678,0.10305887500000001,0.10473287500000002,0.145369875,0.10197087500000002,0.13657687500000001,0.167903875,0.12645087500000002,0.113935875,0,0,0,0,0,0,0,0
3,3,47.963181,36.615600,11.331737,0.015844,148687,26635,1.009009,0.635585,0.102871,0.105707,0.145188,0.101774,0.136461,0.16786,0.126306,0.113833,0,0,0,0,0,0,0,0
3,2,47.963181,36.615600,11.331737,0.015844,148687,26635,1.009009,0.635585,0.102871,0.105707,0.145188,0.101774,0.136461,0.16786,0.126306,0.113833,0,0,0,0,0,0,0,0
3,0,47.963181,36.615600,11.331737,0.015844,148687,26635,1.009009,0.635585,0.102871,0.105707,0.145188,0.101774,0.136461,0.16786,0.126306,0.113833,0,0,0,0,0,0,0,0
3,1,47.963181,36.615600,11.331737,0.015844,148687,26635,1.009009,0.635585,0.102871,0.105707,0.145188,0.101774,0.136461,0.16786,0.126306,0.113833,0,0,0,0,0,0,0,0
4,0,46.193022,35.865300,10.311877,0.015844,146686,27135,0.995430,0.647517,0.102871,0.105707,0.145188,0.101774,0.136461,0.16786,0.126306,0.113833,0,0,0,0,0,0,0,0
4,1,46.193022,35.865300,10.311877,0.015844,146686,27135,0.995430,0.647517,0.102871,0.105707,0.145188,0.101774,0.136461,0.16786,0.126306,0.113833,0,0,0,0,0,0,0,0
4,3,46.239601,35.865300,10.311877,0.062424,146686,27135,0.995430,0.647517,0.102871,0.105707,0.145188,0.101774,0.136461,0.16786,0.126306,0.113833,0,0,0,0,0,0,0.053811659192825156,0
4,2,46.193022,35.865300,10.311877,0.015844,146686,27135,0.995430,0.647517,0.102871,0.105707,0.145188,0.101774,0.136461,0.16786,0.126306,0.113833,0,0,0,0,0,0,0,0
