iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,prob1,prob2
0,3,75.200277,29.766600,2.231696,43.201981,134352,35130,0.968303,0.647558,0.5,0.5,0,1.0
1,1,74.636082,30.216600,1.217501,43.201981,136351,35629,0.982710,0.656756,0.453895,0.546105,0,1.0
1,0,74.636082,30.216600,1.217501,43.201981,136351,35629,0.982710,0.656756,0.453895,0.546105,0,1.0
1,3,74.636082,30.216600,1.217501,43.201981,136351,35629,0.982710,0.656756,0.453895,0.546105,0,1.0
1,2,74.636082,30.216600,1.217501,43.201981,136351,35629,0.982710,0.656756,0.453895,0.546105,0,1.0
2,1,74.371609,30.966600,0.203028,43.201981,138350,35128,0.997117,0.647521,0.420967,0.579033,0,1.0
2,0,74.371609,30.966600,0.203028,43.201981,138350,35128,0.997117,0.647521,0.420967,0.579033,0,1.0
2,2,74.371609,30.966600,0.203028,43.201981,138350,35128,0.997117,0.647521,0.420967,0.579033,0,1.0
2,3,74.371609,30.966600,0.203028,43.201981,138350,35128,0.997117,0.647521,0.420967,0.579033,0,1.0
3,0,50.455763,31.716900,0.812224,17.926639,140350,34627,1.011532,0.638286,0.394657,0.605343,0,0.4734303831383406
3,1,71.419981,31.716900,0.812224,38.890858,140350,34627,1.011532,0.638286,0.394657,0.605343,0,0.9101849393858951
3,3,53.301475,31.716900,0.812224,20.772351,140350,34627,1.011532,0.638286,0.394657,0.605343,0,0.532716049382716
3,2,73.318293,31.716900,0.812224,40.789169,140350,34627,1.011532,0.638286,0.394657,0.605343,0,0.9497330960854092
4,0,35.783401,32.467200,1.827759,1.488442,142350,34126,1.025946,0.629051,0.379168,0.620832,0,0.1281417738774815
4,2,39.908542,32.467200,1.827759,5.613583,142350,34126,1.025946,0.629051,0.379168,0.620832,0,0.21689340451179617
4,3,36.938205,32.467200,1.827759,2.643246,142350,34126,1.025946,0.629051,0.379168,0.620832,0,0.15440103048518683
4,1,42.186961,32.467200,1.827759,7.892002,142350,34126,1.025946,0.629051,0.379168,0.620832,0,0.26437457969065237
5,1,36.140278,33.217200,2.843083,0.079995,144349,33625,1.040353,0.619816,0.375668,0.624332,0,0.062024031138940616
5,2,36.189224,33.217200,2.843083,0.128941,144349,33625,1.040353,0.619816,0.375668,0.624332,0,0.07066105045989857
5,3,37.050502,33.217200,2.843083,0.990219,144349,33625,1.040353,0.619816,0.375668,0.624332,0,0.11486257210722761
5,0,36.133048,33.217200,2.843083,0.072765,144349,33625,1.040353,0.619816,0.375668,0.624332,0,0.06032659277434638
6,3,37.917167,33.967500,3.859224,0.090443,146349,33124,1.054768,0.610581,0.374734,0.625266,0,0.06422949987306426
6,1,37.831689,33.967500,3.859224,0.004965,146349,33124,1.054768,0.610581,0.374734,0.625266,0,0.006842285323298003
6,0,37.831001,33.967500,3.859224,0.004277,146349,33124,1.054768,0.610581,0.374734,0.625266,0,0.002471239880698861
6,2,37.834522,33.967500,3.859224,0.007798,146349,33124,1.054768,0.610581,0.374734,0.625266,0,0.017998985972621284
7,0,36.076465,33.217500,2.842575,0.016391,144348,33623,1.040346,0.619779,0.374244,0.625756,0,0.033205508105281556
7,3,36.069740,33.217500,2.842575,0.009665,144348,33623,1.040346,0.619779,0.374244,0.625756,0,0.022656788421778096
7,2,36.085920,33.217500,2.842575,0.025845,144348,33623,1.040346,0.619779,0.374244,0.625756,0,0.04171203618393504
7,1,37.717051,33.217500,2.842575,1.656976,144348,33623,1.040346,0.619779,0.374244,0.625756,0,0.13222792694217655
8,2,37.833095,33.967500,3.858208,0.007387,146347,33122,1.054753,0.610544,0.365791,0.634209,0,0.016773641420624763
8,1,37.840017,33.967500,3.858208,0.014309,146347,33122,1.054753,0.610544,0.365791,0.634209,0,0.030584192439862434
8,0,37.832661,33.967500,3.858208,0.006953,146347,33122,1.054753,0.610544,0.365791,0.634209,0,0.015374044490251593
8,3,37.844666,33.967500,3.858208,0.018959,146347,33122,1.054753,0.610544,0.365791,0.634209,0,0.03596566523605138
9,3,36.166135,33.217800,2.842067,0.106268,144347,33621,1.040339,0.619742,0.365039,0.634961,0,0.06714046822742481
9,1,36.080426,33.217800,2.842067,0.020559,144347,33621,1.040339,0.619742,0.365039,0.634961,0,0.0374841705360911
9,2,36.167914,33.217800,2.842067,0.108047,144347,33621,1.040339,0.619742,0.365039,0.634961,0,0.0674412730487497
9,0,36.284355,33.217800,2.842067,0.224488,144347,33621,1.040339,0.619742,0.365039,0.634961,0,0.08104395604395598
10,3,34.673794,32.767800,1.825741,0.080252,142346,33120,1.025917,0.610507,0.34531,0.65469,0,0.0620815581253803
10,0,36.073042,32.767800,1.825741,1.479501,142346,33120,1.025917,0.610507,0.34531,0.65469,0,0.12792085962817668
10,2,34.744231,32.767800,1.825741,0.150690,142346,33120,1.025917,0.610507,0.34531,0.65469,0,0.07352941176470584
10,1,35.043132,32.767800,1.825741,0.449591,142346,33120,1.025917,0.610507,0.34531,0.65469,0,0.09520130483303291
11,0,36.376085,33.518100,2.841593,0.016392,144346,32619,1.040332,0.601272,0.304545,0.695455,0,0.033207157604955295
11,3,36.824967,33.518100,2.841593,0.465274,144346,32619,1.040332,0.601272,0.304545,0.695455,0,0.0959540501731565
11,1,36.369153,33.518100,2.841593,0.009460,144346,32619,1.040332,0.601272,0.304545,0.695455,0,0.022203317737133133
11,2,36.392431,33.518100,2.841593,0.032737,144346,32619,1.040332,0.601272,0.304545,0.695455,0,0.04601307189542492
12,1,34.932171,33.068100,1.825248,0.038822,142345,32118,1.025910,0.592037,0.297371,0.702629,0,0.04908565928777675
12,0,35.082681,33.068100,1.825248,0.189332,142345,32118,1.025910,0.592037,0.297371,0.702629,0,0.0777959253846815
12,3,37.276739,33.068100,1.825248,2.383391,142345,32118,1.025910,0.592037,0.297371,0.702629,0,0.1487410227567708
12,2,35.478295,33.068100,1.825248,0.584946,142345,32118,1.025910,0.592037,0.297371,0.702629,0,0.10116498201130708
13,2,36.662810,33.818100,2.840614,0.004096,144344,31617,1.040317,0.582802,0.26163,0.73837,0,0.0010993657505286025
13,0,36.666556,33.818100,2.840614,0.007842,144344,31617,1.040317,0.582802,0.26163,0.73837,0,0.018124841195900743
13,3,36.665481,33.818100,2.840614,0.006768,144344,31617,1.040317,0.582802,0.26163,0.73837,0,0.014737943664428377
13,1,36.668668,33.818100,2.840614,0.009954,144344,31617,1.040317,0.582802,0.26163,0.73837,0,0.023275641572171546
14,3,34.943753,33.068400,1.824740,0.050612,142344,32116,1.025903,0.592000,0.260865,0.739135,0,0.053836950948555784
14,2,34.897556,33.068400,1.824740,0.004416,142344,32116,1.025903,0.592000,0.260865,0.739135,0,0.0034511784511783716
14,0,35.027551,33.068400,1.824740,0.134410,142344,32116,1.025903,0.592000,0.260865,0.739135,0,0.07142250530785554
14,1,34.909153,33.068400,1.824740,0.016013,142344,32116,1.025903,0.592000,0.260865,0.739135,0,0.032758914860945176
15,3,33.209753,32.318100,0.808675,0.082978,140343,32616,1.011481,0.601217,0.234256,0.765744,0,0.06268097428036112
15,0,33.229657,32.318100,0.808675,0.102882,140343,32616,1.011481,0.601217,0.234256,0.765744,0,0.06655433866891325
15,2,33.296245,32.318100,0.808675,0.169470,140343,32616,1.011481,0.601217,0.234256,0.765744,0,0.07571355323876261
15,1,33.190451,32.318100,0.808675,0.063676,140343,32616,1.011481,0.601217,0.234256,0.765744,0,0.05794009727792471
