iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,prob1,prob2,prob3
0,0,83.103076,32.842500,7.056615,43.203961,126125,16650,1.000000,0.600000,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0,0
1,0,41.685448,33.592200,8.076132,0.017116,128124,16150,1.015849,0.581982,0.373962,0.313019,0.313019,0.03167420814479627,0,0
2,0,83.101457,32.841900,7.055595,43.203961,126123,16650,0.999984,0.600000,0.37470666666666663,0.31264666666666663,0.31264666666666663,1.0,0,0
3,0,43.901337,33.591600,8.075112,2.234625,128122,16150,1.015833,0.581982,0.416306,0.291847,0.291847,0.145413870246085,0,0
4,0,43.443607,34.341600,9.096066,0.005942,130122,15650,1.031691,0.563964,0.422548,0.288726,0.288726,0,0,0
5,0,69.883438,33.591300,8.074602,28.217536,128121,16150,1.015826,0.581982,0.422548,0.288726,0.288726,0.6877828054298643,0,0
6,0,43.442797,34.341300,9.095555,0.005942,130121,15650,1.031683,0.563964,0.454052,0.272974,0.272974,0,0,0
7,0,41.704543,33.591300,8.074602,0.038641,128121,16150,1.015826,0.581982,0.454052,0.272974,0.272974,0.048054919908466776,0,0
8,0,83.099028,32.841000,7.054067,43.203961,126120,16650,0.999960,0.600000,0.4548026666666667,0.27259866666666666,0.27259866666666666,1.0,0,0
9,0,41.671034,33.591000,8.074092,0.005942,128120,16150,1.015818,0.581982,0.497108,0.251446,0.251446,0,0,0
10,0,39.902071,32.840700,7.053557,0.007814,126119,16650,0.999952,0.600000,0.497108,0.251446,0.251446,0,0.011111111111111072,0
11,0,67.076429,32.090700,6.033869,28.951860,124118,17149,0.984087,0.617982,0.496842,0.251978,0.25118,0.7030812324929971,0,0
12,0,39.898880,32.840400,7.052539,0.005942,126117,16649,0.999937,0.599964,0.5239206666666667,0.23843866666666672,0.2376406666666667,0,0,0
13,0,81.326912,32.090100,6.032851,43.203961,124116,17149,0.984071,0.617982,0.5239206666666667,0.23843866666666672,0.2376406666666667,1.0,0,0
14,0,39.898071,32.840100,7.052029,0.005942,126116,16649,0.999929,0.599964,0.56216,0.219319,0.218521,0,0,0
