iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,prob1,prob2,prob3,prob4
0,0,80.810872,31.661100,5.943830,43.205942,119562,14025,0.999996,0.600000,0.25,0.25,0.25,0.25,0,1.0,0,0
1,0,40.793657,32.410800,6.963432,1.419425,121561,13525,1.016715,0.578610,0.239316,0.281089,0.240279,0.239316,0,0.12632459564974907,0,0
2,0,41.153689,33.161100,7.984666,0.007922,123561,13024,1.033443,0.557176,0.238785,0.282628,0.239802,0.238785,0,0,0,0
3,0,82.579665,32.410800,6.962923,43.205942,121560,13524,1.016707,0.578567,0.238785,0.282628,0.239802,0.238785,0,1.0,0,0
4,0,41.152842,33.160800,7.983647,0.008395,123559,13023,1.033426,0.557134,0.23393674999999997,0.29668074999999994,0.23544574999999995,0.23393674999999997,0,0.003573509419304677,0,0
5,0,59.435119,32.410800,6.961906,20.062414,121558,13522,1.016690,0.578481,0.233708,0.297343,0.235241,0.233708,0,0.5178431679449054,0,0
6,0,41.151861,33.160800,7.983138,0.007922,123558,13022,1.033418,0.557091,0.22139375000000003,0.33297375,0.22423875000000001,0.22139375000000003,0,0,0,0
7,0,39.425247,32.410800,6.961397,0.053050,121557,13521,1.016682,0.578439,0.22139375000000003,0.33297375,0.22423875000000001,0.22139375000000003,0,0.05329044260134874,0,0
8,0,81.109228,31.961100,5.942186,43.205942,119557,13020,0.999954,0.557005,0.22162874999999996,0.33229675,0.22444574999999997,0.22162874999999996,0,1.0,0,0
9,0,39.681751,32.711100,6.962729,0.007922,121557,12520,1.016682,0.535615,0.207596,0.372731,0.212077,0.207596,0,0,0,0
10,0,74.465554,31.961400,5.942187,36.561967,119557,13019,0.999954,0.556963,0.207596,0.372731,0.212077,0.207596,0,0.8615838622306666,0,0
11,0,41.547435,32.711700,6.962732,1.873003,121557,12518,1.016682,0.535529,0.21705924999999998,0.34559425,0.22028725,0.21705924999999998,0,0.13719795539033453,0,0
12,0,41.457093,33.461700,7.984020,0.011374,123556,12017,1.033401,0.514096,0.217825,0.343392,0.220958,0.217825,0,0.016851560400752308,0,0
13,0,40.192118,32.711400,6.961713,0.519004,121555,12517,1.016665,0.535487,0.217997,0.342897,0.221109,0.217997,0,0.09822550251256279,0,0
14,0,41.453133,33.461700,7.983511,0.007922,123555,12016,1.033393,0.514053,0.232048,0.302462,0.233442,0.232048,0,0,0,0
15,0,58.030810,32.711700,6.961715,18.357396,121555,12516,1.016665,0.535444,0.232048,0.302462,0.233442,0.232048,0,0.4823219610424815,0,0
16,0,41.453435,33.462000,7.983513,0.007922,123555,12015,1.033393,0.514011,0.21952775000000002,0.33866675,0.22227775000000002,0.21952775000000002,0,0,0,0
17,0,39.786120,32.712300,6.961717,0.112102,121555,12514,1.016665,0.535358,0.21952775000000002,0.33866675,0.22227775000000002,0.21952775000000002,0,0.06745708861249955,0,0
18,0,41.453737,33.462300,7.983515,0.007922,123555,12014,1.033393,0.513968,0.219683,0.33822,0.222414,0.219683,0,0,0,0
19,0,40.103384,32.712600,6.961719,0.429065,121555,12513,1.016665,0.535316,0.219683,0.33822,0.222414,0.219683,0,0.09398554068604825,0,0
20,0,41.454341,33.462900,7.983519,0.007922,123555,12012,1.033393,0.513882,0.220316,0.336397,0.222971,0.220316,0,0,0,0
21,0,39.682543,32.712900,6.961720,0.007922,121555,12512,1.016665,0.535273,0.220316,0.336397,0.222971,0.220316,0,0,0,0
22,0,71.045238,31.962900,5.940665,33.141672,119554,13011,0.999929,0.556620,0.220316,0.336397,0.222971,0.220316,0,0.7903277250617973,0,0
23,0,39.682464,32.712900,6.961212,0.008353,121554,12511,1.016657,0.535230,0.205516,0.379021,0.209947,0.205516,0,0.003283501371344699,0,0
24,0,39.461343,31.963200,5.940666,1.557477,119554,13010,0.999929,0.556578,0.20571574999999998,0.37844874999999994,0.21011974999999997,0.20571574999999998,0,0.12973637691184392,0,0
25,0,39.683635,32.713500,6.961214,0.008921,121554,12509,1.016657,0.535144,0.217022,0.346049,0.219907,0.217022,0,0.006816157391270616,0,0
26,0,56.478433,31.963500,5.940667,18.574265,119554,13009,0.999929,0.556535,0.217188,0.345572,0.220052,0.217188,0,0.4868400800369401,0,0
27,0,40.868965,32.713800,6.961216,1.193949,121554,12508,1.016657,0.535102,0.22518500000000002,0.322565,0.22706500000000002,0.22518500000000002,0,0.12046966731898234,0,0
28,0,41.454230,33.463800,7.982508,0.007922,123553,12007,1.033376,0.513668,0.212626,0.358795,0.215953,0.212626,0,0,0,0
29,0,39.691517,32.713500,6.960197,0.017820,121552,12507,1.016640,0.535059,0.212626,0.358795,0.215953,0.212626,0,0.029958637751749118,0,0
30,0,81.108583,31.963500,5.939141,43.205942,119551,13006,0.999904,0.556406,0.212801,0.358292,0.216106,0.212801,0,1.0,0,0
31,0,39.684215,32.713500,6.959179,0.011535,121550,12505,1.016623,0.534973,0.224338,0.325152,0.226172,0.224338,0,0.01734193349040203,0,0
32,0,81.107264,31.963200,5.938122,43.205942,119549,13005,0.999887,0.556364,0.22413525,0.32573625000000006,0.22599325,0.22413525,0,1.0,0,0
33,0,39.691496,32.713500,6.958671,0.019325,121549,12504,1.016615,0.534930,0.21290875,0.35810975,0.21607275,0.21290875,0,0.031963116500716704,0,0
34,0,61.580610,32.263500,5.938665,23.378445,119548,12003,0.999879,0.513497,0.213114,0.35752,0.216252,0.213114,0,0.5869271456700513,0,0
35,0,40.013237,33.013200,6.959216,0.040821,121547,11503,1.016598,0.492107,0.22298474999999995,0.32916375,0.22486674999999998,0.22298474999999995,0,0.04815259954251161,0,0
36,0,81.707728,32.562900,5.938886,43.205942,119546,11003,0.999862,0.470717,0.22284525000000002,0.32956525000000003,0.22474425000000003,0.22284525000000002,0,1.0,0,0
37,0,40.281694,33.313200,6.960571,0.007922,121546,10502,1.016590,0.449283,0.21276,0.358634,0.215846,0.21276,0,0,0,0
38,0,72.900346,32.563200,5.938888,34.398258,119546,11002,0.999862,0.470674,0.21276,0.358634,0.215846,0.21276,0,0.8165065979542437,0,0
39,0,40.290721,33.313500,6.960573,0.016647,121546,10501,1.016590,0.449241,0.213695,0.355949,0.216661,0.213695,0,0.028214491639438788,0,0
40,0,81.564552,32.863800,5.940381,42.760370,119546,10000,0.999862,0.427807,0.21387125,0.35544224999999996,0.21681525000000001,0.21387125,0,0.9907172650691094,0,0
41,0,40.584858,33.614100,6.962836,0.007922,121546,9499,1.016590,0.406374,0.203302,0.385813,0.207583,0.203302,0,0,0,0
42,0,39.056229,32.864100,5.940383,0.251746,119546,9999,0.999862,0.427765,0.203302,0.385813,0.207583,0.203302,0,0.08295807453416149,0,0
43,0,40.585161,33.614400,6.962838,0.007922,121546,9498,1.016590,0.406332,0.203991,0.383841,0.208177,0.203991,0,0,0,0
44,0,38.816386,32.864400,5.940384,0.011601,119546,9998,0.999862,0.427722,0.203991,0.383841,0.208177,0.203991,0,0.01753831568968245,0,0
45,0,80.239379,32.114400,4.919038,43.205942,117545,10497,0.983126,0.449070,0.204222,0.38318,0.208376,0.204222,0,1.0,0,0
46,0,41.539766,32.864700,5.939877,2.735189,119545,9996,0.999854,0.427636,0.210697,0.364635,0.213971,0.210697,0,0.15630021555947482,0,0
47,0,40.584144,33.614400,6.961821,0.007922,121544,9496,1.016573,0.406246,0.210992,0.363788,0.214228,0.210992,0,0,0,0
48,0,47.458465,32.864400,5.938858,8.655206,119543,9995,0.999837,0.427594,0.210992,0.363788,0.214228,0.210992,0,0.28019267822736027,0,0
