iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
0,0,131.376997,34.552500,10.412614,86.411883,130512,15337,0.999996,0.599980,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,1.0,0,1.0,0,0,0
1,0,69.741050,35.302200,11.435340,23.003510,132511,14837,1.015313,0.580421,0.11685025000000002,0.11685025000000002,0.15849425,0.11685025000000002,0.13966925000000002,0.11685025000000002,0.11758525000000002,0.11685025000000002,0,0,0,0,0.578950962983199,0,0,0
2,0,89.265056,36.052200,12.459817,40.753040,134511,14337,1.030637,0.560861,0.116033,0.116033,0.157677,0.116033,0.145308,0.116033,0.11685,0.116033,0,0,0,0,0.9487328303346876,0,0,0
3,0,50.550276,36.801900,13.485158,0.263219,136510,13837,1.045953,0.541301,0.114996125,0.114996125,0.15664012500000002,0.114996125,0.15245712500000003,0.114996125,0.115922125,0.114996125,0,0,0,0,0.08323594338397622,0,0,0
4,0,52.080287,37.551900,14.512543,0.015844,138510,13337,1.061278,0.521741,0.11487662500000001,0.11487662500000001,0.156520625,0.11487662500000001,0.153280625,0.11487662500000001,0.115815625,0.11487662500000001,0,0,0,0,0,0,0,0
5,0,52.876352,36.801600,13.484645,2.590106,136509,13837,1.045946,0.541301,0.11487662500000001,0.11487662500000001,0.156520625,0.11487662500000001,0.153280625,0.11487662500000001,0.115815625,0.11487662500000001,0,0,0,0,0.15299234064650125,0,0,0
6,0,52.079475,37.551600,14.512030,0.015844,138509,13337,1.061270,0.521741,0.114155,0.114155,0.155799,0.114155,0.158253,0.114155,0.115173,0.114155,0,0,0,0,0,0,0,0
7,0,50.305313,36.801600,13.484645,0.019067,136509,13837,1.045946,0.541301,0.114155,0.114155,0.155799,0.114155,0.158253,0.114155,0.115173,0.114155,0,0,0,0,0.016133229247983327,0,0,0
8,0,51.354938,36.051600,12.458793,2.844544,134509,14337,1.030622,0.560861,0.114028,0.114028,0.155672,0.114028,0.159128,0.114028,0.11506,0.114028,0,0,0,0,0.1584809796769151,0,0,0
9,0,50.302090,36.801600,13.484645,0.015844,136509,13837,1.045946,0.541301,0.109228375,0.109228375,0.150872375,0.109228375,0.192176375,0.109228375,0.110809375,0.109228375,0,0,0,0,0,0,0,0
10,0,48.526238,36.051600,12.458793,0.015844,134509,14337,1.030622,0.560861,0.109228375,0.109228375,0.150872375,0.109228375,0.192176375,0.109228375,0.110809375,0.109228375,0,0,0,0,0,0,0,0
11,0,64.203752,35.301300,11.433806,17.468646,132508,14837,1.015290,0.580421,0.109228375,0.109228375,0.150872375,0.109228375,0.192176375,0.109228375,0.110809375,0.109228375,0,0,0,0,0.4636369598006427,0,0.0016688299647690252,0
12,0,62.047162,36.051300,12.458282,13.537581,134508,14337,1.030614,0.560861,0.11438887500000001,0.11438887500000001,0.15603287500000002,0.11438887500000001,0.15675587500000002,0.11438887500000001,0.115266875,0.11438887500000001,0,0,0,0,0.381744101991194,0,0,0
13,0,50.300465,36.801000,13.483621,0.015844,136507,13837,1.045930,0.541301,0.112134625,0.112134625,0.153778625,0.112134625,0.172282625,0.112134625,0.11326562500000001,0.112134625,0,0,0,0,0,0,0,0
14,0,48.526373,36.050700,12.457258,0.018414,134506,14337,1.030599,0.560861,0.112134625,0.112134625,0.153778625,0.112134625,0.172282625,0.112134625,0.11326562500000001,0.112134625,0,0,0,0,0.013891606339268114,0,0,0
15,0,70.726188,35.300400,11.432273,23.993516,132505,14837,1.015267,0.580421,0.11223825000000001,0.11223825000000001,0.15388225,0.11223825000000001,0.17156925,0.11223825000000001,0.11335725,0.11223825000000001,0,0,0,0,0.5995727351625609,0,0.0013020833333333703,0
16,0,67.484565,36.050400,12.456747,18.977418,134505,14337,1.030591,0.560861,0.11621200000000001,0.11621200000000001,0.157856,0.11621200000000001,0.14423200000000003,0.11621200000000001,0.11685200000000001,0.11621200000000001,0,0,0,0,0.4950740523259607,0,0,0
17,0,50.298029,36.800100,13.482084,0.015844,136504,13837,1.045907,0.541301,0.111569,0.111569,0.153213,0.111569,0.176252,0.111569,0.11269,0.111569,0,0,0,0,0,0,0,0
18,0,48.521383,36.049800,12.455723,0.015860,134503,14337,1.030576,0.560861,0.111569,0.111569,0.153213,0.111569,0.176252,0.111569,0.11269,0.111569,0,0,0,0,0.0001283614658880161,0,0,0
19,0,108.052216,35.299500,11.430739,61.321977,132502,14837,1.015244,0.580421,0.111645125,0.111645125,0.15328912500000003,0.111645125,0.175728125,0.111645125,0.112757125,0.111645125,0,0,0,0,0.5850913257397048,0,0.8922022969977836,0
20,0,48.522726,36.049500,12.455211,0.018015,134502,14337,1.030568,0.560861,0.10628900000000001,0.10628900000000001,0.14793300000000004,0.10628900000000001,0.172361,0.10628900000000001,0.14826100000000003,0.10628900000000001,0,0,0,0,0.012355953905249795,0,0,0
21,0,56.355066,35.299500,11.430739,9.624828,132502,14837,1.015244,0.580421,0.10637912499999999,0.10637912499999999,0.14802312499999998,0.10637912499999999,0.171741125,0.10637912499999999,0.148340125,0.10637912499999999,0,0,0,0,0.30022831050228305,0,0,0
22,0,56.974809,36.049500,12.455211,8.470097,134502,14337,1.030568,0.560861,0.110807625,0.110807625,0.152451625,0.110807625,0.141288625,0.110807625,0.152221625,0.110807625,0,0,0,0,0.276171105320028,0,0,0
23,0,50.295592,36.799200,13.480548,0.015844,136501,13837,1.045884,0.541301,0.104762625,0.104762625,0.146406625,0.104762625,0.18298762500000001,0.104762625,0.146792625,0.104762625,0,0,0,0,0,0,0,0
24,0,48.518932,36.048900,12.454188,0.015844,134500,14337,1.030553,0.560861,0.104762625,0.104762625,0.146406625,0.104762625,0.18298762500000001,0.104762625,0.146792625,0.104762625,0,0,0,0,0,0,0,0
25,0,47.760339,35.298600,11.429205,1.032534,132499,14837,1.015221,0.580421,0.104762625,0.104762625,0.146406625,0.104762625,0.18298762500000001,0.104762625,0.146792625,0.104762625,0,0,0,0.03879530372639095,0.11522364635103333,0,0,0
26,0,48.519964,36.048600,12.453676,0.017687,134499,14337,1.030545,0.560861,0.10528787499999999,0.10528787499999999,0.146931875,0.10656987499999998,0.17810687499999997,0.10528787499999999,0.147239875,0.10528787499999999,0,0,0,0,0.010981912144702899,0,0,0
27,0,55.354828,35.298600,11.429205,8.627023,132499,14837,1.015221,0.580421,0.105401375,0.105401375,0.14704537500000003,0.10668337500000001,0.17732637500000004,0.105401375,0.147339375,0.105401375,0,0,0,0,0.2794404684450228,0,0,0
28,0,49.114476,36.048600,12.453676,0.612199,134499,14337,1.030545,0.560861,0.108905,0.108905,0.150549,0.110187,0.153248,0.108905,0.150396,0.108905,0,0,0,0,0.10177833191154273,0,0,0
29,0,50.293156,36.798300,13.479011,0.015844,136498,13837,1.045862,0.541301,0.10797425,0.10797425,0.14961825,0.10925625,0.15966025,0.10797425,0.14956825,0.10797425,0,0,0,0,0,0,0,0
30,0,52.701414,36.048000,12.452653,4.200761,134497,14337,1.030530,0.560861,0.10797425,0.10797425,0.14961825,0.10925625,0.15966025,0.10797425,0.14956825,0.10797425,0,0,0,0,0.18713789107763612,0,0,0
31,0,50.292343,36.798000,13.478499,0.015844,136497,13837,1.045854,0.541301,0.10682587500000001,0.10682587500000001,0.148469875,0.108107875,0.167566875,0.10682587500000001,0.148551875,0.10682587500000001,0,0,0,0,0,0,0,0
32,0,48.518938,36.048000,12.452653,0.018285,134497,14337,1.030530,0.560861,0.10682587500000001,0.10682587500000001,0.148469875,0.108107875,0.167566875,0.10682587500000001,0.148551875,0.10682587500000001,0,0,0,0,0.013408332788279242,0,0,0
33,0,54.255713,35.297700,11.427671,7.530341,132496,14837,1.015198,0.580421,0.10692487499999999,0.10692487499999999,0.148568875,0.10820687499999998,0.166885875,0.10692487499999999,0.14863887499999998,0.10692487499999999,0,0,0,0,0.2565918929555293,0,0,0
34,0,69.676261,36.047700,12.452141,21.176419,134496,14337,1.030522,0.560861,0.111265,0.111265,0.152909,0.112547,0.137026,0.111265,0.152458,0.111265,0,0,0,0,0.5408865727337064,0,0,0
35,0,50.290719,36.797400,13.477475,0.015844,136495,13837,1.045839,0.541301,0.107532625,0.107532625,0.149176625,0.108814625,0.16278362500000002,0.107532625,0.149094625,0.107532625,0,0,0,0,0,0,0,0
36,0,48.514704,36.047100,12.451118,0.016486,134494,14337,1.030507,0.560861,0.107532625,0.107532625,0.149176625,0.108814625,0.16278362500000002,0.107532625,0.149094625,0.107532625,0,0,0,0,0.004685669660288938,0,0,0
37,0,71.792098,35.296800,11.426138,25.069160,132493,14837,1.015175,0.580421,0.10744612499999999,0.10744612499999999,0.149090125,0.108728125,0.163379125,0.10744612499999999,0.149018125,0.10744612499999999,0,0,0,0,0.621985343104597,0,0,0
38,0,48.513251,36.046800,12.450606,0.015844,134493,14337,1.030499,0.560861,0.10207925000000001,0.10207925000000001,0.14372325,0.10336125,0.20031525,0.10207925000000001,0.14428325,0.10207925000000001,0,0,0,0,0,0,0,0
39,0,84.269421,35.296800,11.426138,37.546483,132493,14837,1.015175,0.580421,0.10207925000000001,0.10207925000000001,0.14372325,0.10336125,0.20031525,0.10207925000000001,0.14428325,0.10207925000000001,0,0,0,0.8816793893129771,0.03270729525999749,0,0,0
40,0,48.513251,36.046800,12.450606,0.015844,134493,14337,1.030499,0.560861,0.097093125,0.097093125,0.13873712500000002,0.13551012499999998,0.19768912500000002,0.097093125,0.13969112500000003,0.097093125,0,0,0,0,0,0,0,0
41,0,48.547713,35.296800,11.426138,1.824775,132493,14837,1.015175,0.580421,0.097093125,0.097093125,0.13873712500000002,0.13551012499999998,0.19768912500000002,0.097093125,0.13969112500000003,0.097093125,0,0,0,0,0.13589760334356438,0,0,0
42,0,48.513251,36.046800,12.450606,0.015844,134493,14337,1.030499,0.560861,0.097189,0.097189,0.138833,0.135606,0.197031,0.097189,0.139774,0.097189,0,0,0,0,0,0,0,0
