iter,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
0,93.622419,1.126800,1.015794,91.479825,24588,13320,0.900000,0.900000,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0.8310010764262648,0,0.9359605911330049,0,0.4386617100371748,0
1,122.300827,1.484900,1.984682,118.831245,24784,9935,0.907174,0.671284,0.11314424999999999,0.11314424999999999,0.15116825,0.11314424999999999,0.14286125,0.11314424999999999,0.14024925,0.11314424999999999,0,0,0.7938931297709924,0.42342342342342343,0.9099941554646406,0,0.7481751824817519,0
2,94.445720,1.538100,2.351265,90.556356,24972,9591,0.914056,0.648041,0.10315624999999999,0.10315624999999999,0.16255925,0.11369325,0.15197725,0.10315624999999999,0.15914525000000002,0.10315624999999999,0,0,0.8304347826086956,0.4575471698113208,0.8983253588516746,0,0.017605633802816878,0
3,93.459627,1.575400,2.643868,89.240359,25111,9357,0.919143,0.632230,0.09684,0.09684,0.177803,0.11909,0.162602,0.09684,0.153145,0.09684,0,0,0.8717139852786541,0.35918367346938773,0.9280701754385965,0,0,0
4,78.819581,1.613400,2.979560,74.226621,25264,9130,0.924744,0.616892,0.091067875,0.091067875,0.192621875,0.122817875,0.17260787500000002,0.091067875,0.14768087500000002,0.091067875,0,0,0.798901098901099,0,0.947239263803681,0,0,0
5,58.827855,1.649000,3.320667,53.858187,25407,8917,0.929978,0.602500,0.08710937500000002,0.08710937500000002,0.205835375,0.11885937500000002,0.18290337500000003,0.08710937500000002,0.14396437500000003,0.08710937500000002,0,0,0.049949031600407645,0.4530612244897959,0.8679706601466992,0,0,0
6,42.199472,1.688200,3.729895,36.781377,25566,8684,0.935798,0.586757,0.08410825000000002,0.08410825000000002,0.20288125,0.12832825000000003,0.19124425,0.08410825000000002,0.14111325000000002,0.08410825000000002,0,0,0.06477272727272732,0,0.8641304347826086,0,0,0
7,45.502893,1.720300,4.089442,39.693152,25694,8491,0.940483,0.573716,0.08280787499999999,0.08280787499999999,0.20173387499999998,0.12702787499999998,0.200111875,0.08280787499999999,0.13989487499999997,0.08280787499999999,0,0,0.003171247357293794,0,0.9266431924882629,0,0,0
8,46.676902,1.740700,4.320015,40.616187,25765,8358,0.943082,0.564730,0.081559125,0.081559125,0.200485125,0.125779125,0.208770125,0.081559125,0.13872912499999998,0.081559125,0,0,0.1476510067114094,0,0.8973429951690821,0,0,0
9,37.377420,1.764800,4.610343,31.002277,25853,8205,0.946303,0.554392,0.080026,0.080026,0.202427,0.124246,0.215922,0.080026,0.137301,0.080026,0,0,0,0,0.7455919395465995,0,0,0
