iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
0,2,150.212900,2.160900,8.263856,139.788144,10671,3468,0.999918,0.599870,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,1.0,1.0,1.0,0,0.3120879120879121,0
1,0,46.938845,2.180100,8.665831,36.092914,10723,3456,1.004791,0.597795,0.111633,0.111633,0.150429,0.13353,0.153517,0.111633,0.115992,0.111633,0,0,0.03211678832116793,0.09090909090909083,0.8438287153652393,0,0,0
1,2,64.898164,2.180100,8.665831,54.052232,10723,3456,1.004791,0.597795,0.111633,0.111633,0.150429,0.13353,0.153517,0.111633,0.115992,0.111633,0,0,0.3041606886657101,0.11643835616438358,1.0,0,0,0
1,1,102.257377,2.180100,8.665831,91.411446,10723,3456,1.004791,0.597795,0.111633,0.111633,0.150429,0.13353,0.153517,0.111633,0.115992,0.111633,0,0,0.2041666666666666,1.0,1.0,0,0,0
1,3,126.450691,2.180100,8.665831,115.604760,10723,3456,1.004791,0.597795,0.111633,0.111633,0.150429,0.13353,0.153517,0.111633,0.115992,0.111633,0,0,0.9928977272727273,0.7153284671532847,1.0,0,0,0
2,2,54.890705,2.217600,9.422484,43.250620,10808,3416,1.012755,0.590876,0.103214,0.103214,0.159253,0.137826,0.182074,0.103214,0.107991,0.103214,0,0,0.04149377593360992,0.03614457831325302,1.0,0,0,0
2,3,64.033495,2.217600,9.422484,52.393410,10808,3416,1.012755,0.590876,0.103214,0.103214,0.159253,0.137826,0.182074,0.103214,0.107991,0.103214,0,0,0.1910919540229885,0.19999999999999996,1.0,0,0.022727272727272818,0
2,0,109.354563,2.217600,9.422484,97.714478,10808,3416,1.012755,0.590876,0.103214,0.103214,0.159253,0.137826,0.182074,0.103214,0.107991,0.103214,0,0,0,1.0,1.0,0,0.33551198257080606,0
2,1,55.130006,2.217600,9.422484,43.489922,10808,3416,1.012755,0.590876,0.103214,0.103214,0.159253,0.137826,0.182074,0.103214,0.107991,0.103214,0,0,0,0.08536585365853655,1.0,0,0,0
3,3,36.969750,2.259600,10.263203,24.446947,10888,3356,1.020252,0.580497,0.096978,0.096978,0.155261,0.140413,0.21021,0.096978,0.106204,0.096978,0,0,0,0,0.6090225563909775,0,0,0
3,2,29.245628,2.259600,10.263203,16.722825,10888,3356,1.020252,0.580497,0.096978,0.096978,0.155261,0.140413,0.21021,0.096978,0.106204,0.096978,0,0,0.02244039270687237,0,0.44798657718120805,0,0,0
3,1,67.537810,2.259600,10.263203,55.015007,10888,3356,1.020252,0.580497,0.096978,0.096978,0.155261,0.140413,0.21021,0.096978,0.106204,0.096978,0,0,0,0.34228187919463093,1.0,0,0.07658643326039394,0
3,0,93.287628,2.259600,10.263203,80.764824,10888,3356,1.020252,0.580497,0.096978,0.096978,0.155261,0.140413,0.21021,0.096978,0.106204,0.096978,0,0,0,0.8823529411764706,1.0,0,0,0
4,2,25.985094,2.300400,11.091077,12.593617,10955,3287,1.026530,0.568562,0.09287587500000001,0.09287587500000001,0.151160875,0.145419875,0.229366875,0.09287587500000001,0.10254887500000001,0.09287587500000001,0,0,0,0.058394160583941646,0.3608,0,0,0
4,1,20.003160,2.300400,11.091077,6.611683,10955,3287,1.026530,0.568562,0.09287587500000001,0.09287587500000001,0.151160875,0.145419875,0.229366875,0.09287587500000001,0.10254887500000001,0.09287587500000001,0,0,0,0,0.23745019920318722,0,0,0
4,3,79.455418,2.300400,11.091077,66.063941,10955,3287,1.026530,0.568562,0.09287587500000001,0.09287587500000001,0.151160875,0.145419875,0.229366875,0.09287587500000001,0.10254887500000001,0.09287587500000001,0.5,0,0,0.36046511627906974,0.8156606851549755,0,0,0
4,0,88.117601,2.300400,11.091077,74.726124,10955,3287,1.026530,0.568562,0.09287587500000001,0.09287587500000001,0.151160875,0.145419875,0.229366875,0.09287587500000001,0.10254887500000001,0.09287587500000001,0.6666666666666667,0,0,0,1.0,0,0.1898454746136865,0
5,2,23.726672,2.339100,11.911507,9.476065,11015,3218,1.032152,0.556627,0.096622125,0.08912112500000001,0.147406125,0.144470125,0.242741125,0.08912112500000001,0.101397125,0.08912112500000001,0,0,0.01023391812865504,0.21019108280254772,0.18683127572016467,0,0,0
5,3,71.547278,2.339100,11.911507,57.296671,11015,3218,1.032152,0.556627,0.096622125,0.08912112500000001,0.147406125,0.144470125,0.242741125,0.08912112500000001,0.101397125,0.08912112500000001,0,0,0.024456521739130488,0.6045197740112994,0.7887763055339049,0,0.0,0
