iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
0,3,64.749108,3.480900,2.543738,58.724470,12671,1068,0.999931,0.599579,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0.42295597484276726,0.03105590062111807,1.0,0,0,0
1,0,38.870193,3.505200,3.067136,32.297857,12735,1051,1.004982,0.590035,0.114034,0.114034,0.145492,0.121756,0.158086,0.114034,0.11853,0.114034,0,0,0,0,0.7725832012678289,0,0,0
1,2,25.595420,3.505200,3.067136,19.023085,12735,1051,1.004982,0.590035,0.114034,0.114034,0.145492,0.121756,0.158086,0.114034,0.11853,0.114034,0,0,0,0,0.4960254372019077,0,0,0
1,1,46.601136,3.505200,3.067136,40.028800,12735,1051,1.004982,0.590035,0.114034,0.114034,0.145492,0.121756,0.158086,0.114034,0.11853,0.114034,0,0,0.06995884773662553,0.21118012422360255,0.81998199819982,0,0,0
1,3,30.492281,3.505200,3.067136,23.919945,12735,1051,1.004982,0.590035,0.114034,0.114034,0.145492,0.121756,0.158086,0.114034,0.11853,0.114034,0,0,0.1072902338376891,0,0.5824915824915825,0,0,0
2,2,18.993537,3.537900,3.785687,11.669950,12800,1007,1.010111,0.565333,0.11012212499999999,0.11012212499999999,0.142492125,0.11933512499999999,0.182459125,0.11012212499999999,0.11522512499999998,0.11012212499999999,0,0,0,0,0.34283513097072416,0,0,0
2,1,12.346227,3.537900,3.785687,5.022640,12800,1007,1.010111,0.565333,0.11012212499999999,0.11012212499999999,0.142492125,0.11933512499999999,0.182459125,0.11012212499999999,0.11522512499999998,0.11012212499999999,0,0,0,0,0.20431765612952968,0,0,0
2,3,10.888088,3.537900,3.785687,3.564502,12800,1007,1.010111,0.565333,0.11012212499999999,0.11012212499999999,0.142492125,0.11933512499999999,0.182459125,0.11012212499999999,0.11522512499999998,0.11012212499999999,0,0,0.004081632653061273,0,0.1737619461337967,0,0,0
2,0,17.971414,3.537900,3.785687,10.647827,12800,1007,1.010111,0.565333,0.11012212499999999,0.11012212499999999,0.142492125,0.11933512499999999,0.182459125,0.11012212499999999,0.11522512499999998,0.11012212499999999,0,0,0,0,0.32154088050314467,0,0,0
3,3,8.502502,3.573000,4.646409,0.283093,12859,949,1.014767,0.532772,0.10872687500000001,0.10872687500000001,0.141096875,0.11793987500000001,0.19197387500000002,0.10872687500000001,0.11408187500000001,0.10872687500000001,0,0,0,0,0.0847322142286171,0,0,0
3,2,8.260142,3.573000,4.646409,0.040733,12859,949,1.014767,0.532772,0.10872687500000001,0.10872687500000001,0.141096875,0.11793987500000001,0.19197387500000002,0.10872687500000001,0.11408187500000001,0.10872687500000001,0,0,0,0,0.043720190779014234,0,0,0
3,0,17.109686,3.573000,4.646409,8.890277,12859,949,1.014767,0.532772,0.10872687500000001,0.10872687500000001,0.141096875,0.11793987500000001,0.19197387500000002,0.10872687500000001,0.11408187500000001,0.10872687500000001,0,0,0,0,0.2849250197316495,0,0,0
3,1,21.062671,3.573000,4.646409,12.843262,12859,949,1.014767,0.532772,0.10872687500000001,0.10872687500000001,0.141096875,0.11793987500000001,0.19197387500000002,0.10872687500000001,0.11408187500000001,0.10872687500000001,0,0,0.028860028860028808,0,0.36708860759493667,0,0,0
4,1,9.913194,3.626700,6.270650,0.015844,12946,857,1.021633,0.481123,0.10773775000000002,0.10773775000000002,0.14011275,0.11695075000000002,0.19870475,0.10773775000000002,0.11328075000000003,0.10773775000000002,0,0,0,0,0,0,0,0
4,2,9.933291,3.626700,6.270650,0.035941,12946,857,1.021633,0.481123,0.10773775000000002,0.10773775000000002,0.14011275,0.11695075000000002,0.19870475,0.10773775000000002,0.11328075000000003,0.10773775000000002,0,0,0,0,0.04039634146341464,0,0,0
4,0,10.465731,3.626700,6.270650,0.568382,12946,857,1.021633,0.481123,0.10773775000000002,0.10773775000000002,0.14011275,0.11695075000000002,0.19870475,0.10773775000000002,0.11328075000000003,0.10773775000000002,0,0,0,0,0.09999999999999998,0,0,0
4,3,9.926710,3.626700,6.270650,0.029361,12946,857,1.021633,0.481123,0.10773775000000002,0.10773775000000002,0.14011275,0.11695075000000002,0.19870475,0.10773775000000002,0.11328075000000003,0.10773775000000002,0,0,0,0,0.034428794992175216,0,0,0
5,2,11.358583,3.663900,7.678839,0.015844,13004,791,1.026210,0.444070,0.10764825,0.10764825,0.14002325000000002,0.11686125000000001,0.19931325,0.10764825,0.11320925000000001,0.10764825,0,0,0,0,0.0,0,0,0
5,1,11.358583,3.663900,7.678839,0.015844,13004,791,1.026210,0.444070,0.10764825,0.10764825,0.14002325000000002,0.11686125000000001,0.19931325,0.10764825,0.11320925000000001,0.10764825,0,0,0,0,0,0,0,0
5,3,11.432480,3.663900,7.678839,0.089741,13004,791,1.026210,0.444070,0.10764825,0.10764825,0.14002325000000002,0.11686125000000001,0.19931325,0.10764825,0.11320925000000001,0.10764825,0,0,0,0,0.06153846153846154,0,0,0
5,0,11.397035,3.663900,7.678839,0.054296,13004,791,1.026210,0.444070,0.10764825,0.10764825,0.14002325000000002,0.11686125000000001,0.19931325,0.10764825,0.11320925000000001,0.10764825,0,0,0,0,0.05067300079176573,0,0,0
6,0,13.467533,3.707700,9.743989,0.015844,13071,712,1.031497,0.399719,0.10752175000000003,0.10752175000000003,0.13989675000000001,0.11673475000000003,0.20017375,0.10752175000000003,0.11310775000000002,0.10752175000000003,0,0,0,0,0,0,0,0
6,1,13.467533,3.707700,9.743989,0.015844,13071,712,1.031497,0.399719,0.10752175000000003,0.10752175000000003,0.13989675000000001,0.11673475000000003,0.20017375,0.10752175000000003,0.11310775000000002,0.10752175000000003,0,0,0,0,0,0,0,0
6,2,13.476151,3.707700,9.743989,0.024462,13071,712,1.031497,0.399719,0.10752175000000003,0.10752175000000003,0.13989675000000001,0.11673475000000003,0.20017375,0.10752175000000003,0.11310775000000002,0.10752175000000003,0,0,0,0,0.028044871794871806,0,0,0
6,3,13.467533,3.707700,9.743989,0.015844,13071,712,1.031497,0.399719,0.10752175000000003,0.10752175000000003,0.13989675000000001,0.11673475000000003,0.20017375,0.10752175000000003,0.11310775000000002,0.10752175000000003,0,0,0,0,0,0,0,0
7,3,12.177918,3.683100,8.478974,0.015844,13005,728,1.026289,0.408702,0.10741524999999999,0.10741524999999999,0.13979025,0.11662824999999999,0.20089825,0.10741524999999999,0.11302224999999999,0.10741524999999999,0,0,0,0,0,0,0,0
7,0,12.184460,3.683100,8.478974,0.022386,13005,728,1.026289,0.408702,0.10741524999999999,0.10741524999999999,0.13979025,0.11662824999999999,0.20089825,0.10741524999999999,0.11302224999999999,0.10741524999999999,0,0,0,0,0.024390243902439046,0,0,0
7,1,12.371261,3.683100,8.478974,0.209187,13005,728,1.026289,0.408702,0.10741524999999999,0.10741524999999999,0.13979025,0.11662824999999999,0.20089825,0.10741524999999999,0.11302224999999999,0.10741524999999999,0,0,0,0,0.07857672349888811,0,0,0
7,2,12.177918,3.683100,8.478974,0.015844,13005,728,1.026289,0.408702,0.10741524999999999,0.10741524999999999,0.13979025,0.11662824999999999,0.20089825,0.10741524999999999,0.11302224999999999,0.10741524999999999,0,0,0,0,0,0,0,0
8,2,15.048762,3.734100,11.298818,0.015844,13087,640,1.032760,0.359298,0.102695,0.102695,0.13507,0.111908,0.233002,0.102695,0.10924,0.102695,0,0,0,0,0,0,0,0
8,0,15.048762,3.734100,11.298818,0.015844,13087,640,1.032760,0.359298,0.102695,0.102695,0.13507,0.111908,0.233002,0.102695,0.10924,0.102695,0,0,0,0,0,0,0,0
8,1,15.048762,3.734100,11.298818,0.015844,13087,640,1.032760,0.359298,0.102695,0.102695,0.13507,0.111908,0.233002,0.102695,0.10924,0.102695,0,0,0,0,0,0,0,0
8,3,15.048762,3.734100,11.298818,0.015844,13087,640,1.032760,0.359298,0.102695,0.102695,0.13507,0.111908,0.233002,0.102695,0.10924,0.102695,0,0,0,0,0,0,0,0
9,2,13.730185,3.712500,10.001840,0.015844,13039,664,1.028972,0.372772,0.102695,0.102695,0.13507,0.111908,0.233002,0.102695,0.10924,0.102695,0,0,0,0,0,0,0,0
