iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
0,2,23.893210,2.655900,6.118812,15.118498,11421,2568,0.999923,0.599825,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,1.0,0.9683544303797469,1.0,0,0.2217294900221729,0
1,0,15.623007,2.688600,6.809725,6.124682,11508,2546,1.007540,0.594686,0.10823825000000001,0.10823825000000001,0.15793625,0.12674525,0.17027925000000002,0.10823825000000001,0.11208625000000001,0.10823825000000001,0,0,0.026836158192090398,0,0.8537616229923922,0,0,0
1,3,15.070709,2.688600,6.809725,5.572385,11508,2546,1.007540,0.594686,0.10823825000000001,0.10823825000000001,0.15793625,0.12674525,0.17027925000000002,0.10823825000000001,0.11208625000000001,0.10823825000000001,0,0,0.008287292817679592,0,0.7416879795396419,0,0.00649350649350644,0
1,1,17.500692,2.688600,6.809725,8.002367,11508,2546,1.007540,0.594686,0.10823825000000001,0.10823825000000001,0.15793625,0.12674525,0.17027925000000002,0.10823825000000001,0.11208625000000001,0.10823825000000001,0,0,0.026098901098901006,0.3926380368098159,1.0,0,0,0
1,2,15.456527,2.688600,6.809725,5.958202,11508,2546,1.007540,0.594686,0.10823825000000001,0.10823825000000001,0.15793625,0.12674525,0.17027925000000002,0.10823825000000001,0.11208625000000001,0.10823825000000001,0,0,0,0,0.8288,0,0,0
2,3,14.450934,2.718600,7.398348,4.333986,11565,2503,1.012531,0.584642,0.10153587500000001,0.10153587500000001,0.15167687500000002,0.12376787500000001,0.21248487500000002,0.10153587500000001,0.105926875,0.10153587500000001,0,0,0.10903873744619796,0,0.42288557213930345,0,0,0
2,0,16.890486,2.718600,7.398348,6.773538,11565,2503,1.012531,0.584642,0.10153587500000001,0.10153587500000001,0.15167687500000002,0.12376787500000001,0.21248487500000002,0.10153587500000001,0.105926875,0.10153587500000001,0,0,0,0,1.0,0,0,0
2,2,15.767178,2.718600,7.398348,5.650230,11565,2503,1.012531,0.584642,0.10153587500000001,0.10153587500000001,0.15167687500000002,0.12376787500000001,0.21248487500000002,0.10153587500000001,0.105926875,0.10153587500000001,0,0,0.014925373134328401,0,0.758102766798419,0,0,0
2,1,15.363140,2.718600,7.398348,5.246192,11565,2503,1.012531,0.584642,0.10153587500000001,0.10153587500000001,0.15167687500000002,0.12376787500000001,0.21248487500000002,0.10153587500000001,0.105926875,0.10153587500000001,0,0,0,0,0.6774193548387097,0,0,0
3,3,13.916450,2.756400,8.136711,3.023339,11622,2434,1.017521,0.568526,0.09725787500000001,0.09725787500000001,0.14859687500000002,0.11948987500000001,0.240835875,0.09725787500000001,0.10204587500000001,0.09725787500000001,0,0,0,0,0.10777957860615883,0,0,0
3,2,14.213510,2.756400,8.136711,3.320399,11622,2434,1.017521,0.568526,0.09725787500000001,0.09725787500000001,0.14859687500000002,0.11948987500000001,0.240835875,0.09725787500000001,0.10204587500000001,0.09725787500000001,0,0,0.0273972602739726,0,0.19720624486442073,0,0,0
3,0,14.681624,2.756400,8.136711,3.788513,11622,2434,1.017521,0.568526,0.09725787500000001,0.09725787500000001,0.14859687500000002,0.11948987500000001,0.240835875,0.09725787500000001,0.10204587500000001,0.09725787500000001,0,0,0,0,0.3442354865085854,0,0,0
3,1,17.695805,2.756400,8.136711,6.802694,11622,2434,1.017521,0.568526,0.09725787500000001,0.09725787500000001,0.14859687500000002,0.11948987500000001,0.240835875,0.09725787500000001,0.10204587500000001,0.09725787500000001,0,0,0.10162002945508097,0.1483870967741936,0.8934294871794872,0,0,0
4,2,15.424159,2.805000,9.148415,3.470744,11688,2338,1.023300,0.546102,0.09520825000000001,0.09520825000000001,0.14779925000000002,0.11842525000000001,0.25274125000000003,0.09520825000000001,0.10020125,0.09520825000000001,0,0,0,0,0.25811559778305626,0,0,0
4,0,15.700675,2.805000,9.148415,3.747260,11688,2338,1.023300,0.546102,0.09520825000000001,0.09520825000000001,0.14779925000000002,0.11842525000000001,0.25274125000000003,0.09520825000000001,0.10020125,0.09520825000000001,0,0,0,0,0.3335913312693498,0,0,0
4,1,14.946700,2.805000,9.148415,2.993285,11688,2338,1.023300,0.546102,0.09520825000000001,0.09520825000000001,0.14779925000000002,0.11842525000000001,0.25274125000000003,0.09520825000000001,0.10020125,0.09520825000000001,0,0,0,0,0.09531502423263327,0,0,0
4,3,16.924541,2.805000,9.148415,4.971126,11688,2338,1.023300,0.546102,0.09520825000000001,0.09520825000000001,0.14779925000000002,0.11842525000000001,0.25274125000000003,0.09520825000000001,0.10020125,0.09520825000000001,0,0,0.008608321377331363,0.4114285714285715,0.3203187250996016,0,0,0
5,2,16.643900,2.836200,9.854565,3.953135,11730,2276,1.026977,0.531620,0.09363587500000001,0.09363587500000001,0.14629287500000002,0.12107187500000001,0.259319875,0.09363587500000001,0.09877187500000001,0.09363587500000001,0,0,0,0,0.3855421686746988,0,0,0
5,0,15.789157,2.836200,9.854565,3.098392,11730,2276,1.026977,0.531620,0.09363587500000001,0.09363587500000001,0.14629287500000002,0.12107187500000001,0.259319875,0.09363587500000001,0.09877187500000001,0.09363587500000001,0,0,0,0,0.13708399366085577,0,0,0
5,3,15.878501,2.836200,9.854565,3.187736,11730,2276,1.026977,0.531620,0.09363587500000001,0.09363587500000001,0.14629287500000002,0.12107187500000001,0.259319875,0.09363587500000001,0.09877187500000001,0.09363587500000001,0,0,0,0,0.16923076923076918,0,0,0
5,1,15.751859,2.836200,9.854565,3.061094,11730,2276,1.026977,0.531620,0.09363587500000001,0.09363587500000001,0.14629287500000002,0.12107187500000001,0.259319875,0.09363587500000001,0.09877187500000001,0.09363587500000001,0,0,0,0,0.1228209191759112,0,0,0
6,0,16.082273,2.860200,10.419581,2.802492,11759,2225,1.029516,0.519708,0.092846125,0.092846125,0.145503125,0.120282125,0.264758125,0.092846125,0.09807212500000001,0.092846125,0,0,0,0,0.0015060240963854499,0,0,0
6,1,16.648331,2.860200,10.419581,3.368551,11759,2225,1.029516,0.519708,0.092846125,0.092846125,0.145503125,0.120282125,0.264758125,0.092846125,0.09807212500000001,0.092846125,0,0,0,0,0.22779043280182232,0,0,0
6,2,16.444482,2.860200,10.419581,3.164701,11759,2225,1.029516,0.519708,0.092846125,0.092846125,0.145503125,0.120282125,0.264758125,0.092846125,0.09807212500000001,0.092846125,0,0,0,0,0.16118684843624698,0,0,0
6,3,16.301489,2.860200,10.419581,3.021708,11759,2225,1.029516,0.519708,0.092846125,0.092846125,0.145503125,0.120282125,0.264758125,0.092846125,0.09807212500000001,0.092846125,0,0,0,0,0.10711493354182955,0,0,0
7,3,16.796558,2.887200,11.091104,2.818254,11791,2167,1.032317,0.506161,0.09241,0.09241,0.145067,0.119846,0.26776,0.09241,0.097687,0.09241,0,0,0,0,0.010560519902518273,0,0,0
7,0,17.103063,2.887200,11.091104,3.124759,11791,2167,1.032317,0.506161,0.09241,0.09241,0.145067,0.119846,0.26776,0.09241,0.097687,0.09241,0,0,0,0,0.14684756584197922,0,0,0
7,1,17.337008,2.887200,11.091104,3.358704,11791,2167,1.032317,0.506161,0.09241,0.09241,0.145067,0.119846,0.26776,0.09241,0.097687,0.09241,0,0,0,0,0.22477744807121658,0,0,0
7,2,18.082542,2.887200,11.091104,4.104238,11791,2167,1.032317,0.506161,0.09241,0.09241,0.145067,0.119846,0.26776,0.09241,0.097687,0.09241,0,0,0,0.1847133757961783,0.3135048231511254,0,0,0
8,2,17.423151,2.910600,11.712628,2.799923,11820,2118,1.034856,0.494715,0.09148975,0.09148975,0.14414675,0.12034874999999999,0.27268174999999995,0.09148975,0.09686375,0.09148975,0,0,0,0,0,0,0,0
8,0,17.423151,2.910600,11.712628,2.799923,11820,2118,1.034856,0.494715,0.09148975,0.09148975,0.14414675,0.12034874999999999,0.27268174999999995,0.09148975,0.09686375,0.09148975,0,0,0,0,0.0,0,0,0
8,3,17.556710,2.910600,11.712628,2.933482,11820,2118,1.034856,0.494715,0.09148975,0.09148975,0.14414675,0.12034874999999999,0.27268174999999995,0.09148975,0.09686375,0.09148975,0,0,0,0,0.06898954703832749,0,0,0
