iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
0,3,70.172981,2.160900,8.263856,59.748225,10671,3468,0.999918,0.599870,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0.4426751592356688,0.06451612903225812,1.0,0,0,0
1,0,66.068992,3.401100,62.652047,0.015844,13993,2656,1.311204,0.459416,0.12,0.12,0.14,0.12,0.14,0.12,0.12,0.12,0,0,0,0,0,0,0,0
1,2,66.068992,3.401100,62.652047,0.015844,13993,2656,1.311204,0.459416,0.12,0.12,0.14,0.12,0.14,0.12,0.12,0.12,0,0,0,0,0,0,0,0
1,3,66.068992,3.401100,62.652047,0.015844,13993,2656,1.311204,0.459416,0.12,0.12,0.14,0.12,0.14,0.12,0.12,0.12,0,0,0,0,0,0,0,0
1,1,66.068992,3.401100,62.652047,0.015844,13993,2656,1.311204,0.459416,0.12,0.12,0.14,0.12,0.14,0.12,0.12,0.12,0,0,0,0,0,0,0,0
2,2,64.010224,3.374100,60.620280,0.015844,13932,2685,1.305488,0.464432,0.117579,0.117579,0.147263,0.117579,0.147263,0.117579,0.117579,0.117579,0,0,0,0,0,0,0,0
2,0,64.010224,3.374100,60.620280,0.015844,13932,2685,1.305488,0.464432,0.117579,0.117579,0.147263,0.117579,0.147263,0.117579,0.117579,0.117579,0,0,0,0,0,0,0,0
2,3,64.010224,3.374100,60.620280,0.015844,13932,2685,1.305488,0.464432,0.117579,0.117579,0.147263,0.117579,0.147263,0.117579,0.117579,0.117579,0,0,0,0,0,0,0,0
2,1,64.010224,3.374100,60.620280,0.015844,13932,2685,1.305488,0.464432,0.117579,0.117579,0.147263,0.117579,0.147263,0.117579,0.117579,0.117579,0,0,0,0,0,0,0,0
3,3,61.985068,3.346800,58.622423,0.015844,13871,2715,1.299772,0.469622,0.11627325000000001,0.11627325000000001,0.15118025000000002,0.11627325000000001,0.15118025000000002,0.11627325000000001,0.11627325000000001,0.11627325000000001,0,0,0,0,0,0,0,0
3,2,61.985068,3.346800,58.622423,0.015844,13871,2715,1.299772,0.469622,0.11627325000000001,0.11627325000000001,0.15118025000000002,0.11627325000000001,0.15118025000000002,0.11627325000000001,0.11627325000000001,0.11627325000000001,0,0,0,0,0,0,0,0
3,0,61.985068,3.346800,58.622423,0.015844,13871,2715,1.299772,0.469622,0.11627325000000001,0.11627325000000001,0.15118025000000002,0.11627325000000001,0.15118025000000002,0.11627325000000001,0.11627325000000001,0.11627325000000001,0,0,0,0,0,0,0,0
3,1,61.985068,3.346800,58.622423,0.015844,13871,2715,1.299772,0.469622,0.11627325000000001,0.11627325000000001,0.15118025000000002,0.11627325000000001,0.15118025000000002,0.11627325000000001,0.11627325000000001,0.11627325000000001,0,0,0,0,0,0,0,0
4,1,60.018113,3.319500,56.682769,0.015844,13810,2745,1.294056,0.474811,0.11555,0.11555,0.15335,0.11555,0.15335,0.11555,0.11555,0.11555,0,0,0,0,0,0,0,0
4,2,60.018113,3.319500,56.682769,0.015844,13810,2745,1.294056,0.474811,0.11555,0.11555,0.15335,0.11555,0.15335,0.11555,0.11555,0.11555,0,0,0,0,0,0,0,0
4,0,60.018113,3.319500,56.682769,0.015844,13810,2745,1.294056,0.474811,0.11555,0.11555,0.15335,0.11555,0.15335,0.11555,0.11555,0.11555,0,0,0,0,0,0,0,0
4,3,60.018113,3.319500,56.682769,0.015844,13810,2745,1.294056,0.474811,0.11555,0.11555,0.15335,0.11555,0.15335,0.11555,0.11555,0.11555,0,0,0,0,0,0,0,0
5,1,58.107473,3.292200,54.799429,0.015844,13749,2775,1.288340,0.480000,0.115148,0.115148,0.154556,0.115148,0.154556,0.115148,0.115148,0.115148,0,0,0,0,0,0,0,0
5,2,58.107473,3.292200,54.799429,0.015844,13749,2775,1.288340,0.480000,0.115148,0.115148,0.154556,0.115148,0.154556,0.115148,0.115148,0.115148,0,0,0,0,0,0,0,0
5,3,58.107473,3.292200,54.799429,0.015844,13749,2775,1.288340,0.480000,0.115148,0.115148,0.154556,0.115148,0.154556,0.115148,0.115148,0.115148,0,0,0,0,0,0,0,0
5,0,58.107473,3.292200,54.799429,0.015844,13749,2775,1.288340,0.480000,0.115148,0.115148,0.154556,0.115148,0.154556,0.115148,0.115148,0.115148,0,0,0,0,0,0,0,0
6,0,56.272934,3.265200,52.991889,0.015844,13688,2804,1.282624,0.485016,0.11492525,0.11492525,0.15522425,0.11492525,0.15522425,0.11492525,0.11492525,0.11492525,0,0,0,0,0,0,0,0
6,1,56.272934,3.265200,52.991889,0.015844,13688,2804,1.282624,0.485016,0.11492525,0.11492525,0.15522425,0.11492525,0.15522425,0.11492525,0.11492525,0.11492525,0,0,0,0,0,0,0,0
6,2,56.272934,3.265200,52.991889,0.015844,13688,2804,1.282624,0.485016,0.11492525,0.11492525,0.15522425,0.11492525,0.15522425,0.11492525,0.11492525,0.11492525,0,0,0,0,0,0,0,0
6,3,56.272934,3.265200,52.991889,0.015844,13688,2804,1.282624,0.485016,0.11492525,0.11492525,0.15522425,0.11492525,0.15522425,0.11492525,0.11492525,0.11492525,0,0,0,0,0,0,0,0
7,0,52.734179,3.210900,49.507434,0.015844,13567,2864,1.271286,0.495395,0.11468075,0.11468075,0.15595775,0.11468075,0.15595775,0.11468075,0.11468075,0.11468075,0,0,0,0,0,0,0,0
7,3,52.734179,3.210900,49.507434,0.015844,13567,2864,1.271286,0.495395,0.11468075,0.11468075,0.15595775,0.11468075,0.15595775,0.11468075,0.11468075,0.11468075,0,0,0,0,0,0,0,0
7,1,52.734179,3.210900,49.507434,0.015844,13567,2864,1.271286,0.495395,0.11468075,0.11468075,0.15595775,0.11468075,0.15595775,0.11468075,0.11468075,0.11468075,0,0,0,0,0,0,0,0
7,2,52.734179,3.210900,49.507434,0.015844,13567,2864,1.271286,0.495395,0.11468075,0.11468075,0.15595775,0.11468075,0.15595775,0.11468075,0.11468075,0.11468075,0,0,0,0,0,0,0,0
8,2,46.268870,3.102900,43.150126,0.015844,13326,2983,1.248703,0.515978,0.11441425,0.11441425,0.15675725000000001,0.11441425,0.15675725000000001,0.11441425,0.11441425,0.11441425,0,0,0,0,0,0,0,0
8,0,46.268870,3.102900,43.150126,0.015844,13326,2983,1.248703,0.515978,0.11441425,0.11441425,0.15675725000000001,0.11441425,0.15675725000000001,0.11441425,0.11441425,0.11441425,0,0,0,0,0,0,0,0
8,3,46.268870,3.102900,43.150126,0.015844,13326,2983,1.248703,0.515978,0.11441425,0.11441425,0.15675725000000001,0.11441425,0.15675725000000001,0.11441425,0.11441425,0.11441425,0,0,0,0,0,0,0,0
