iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
0,2,133.011937,2.160900,8.263856,122.587181,10671,3468,0.999918,0.599870,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,1.0,0.7324840764331211,1.0,0,0.22123893805309736,0
1,3,49.232227,3.152700,46.063683,0.015844,13328,2819,1.248890,0.487611,0.12,0.12,0.14,0.12,0.14,0.12,0.12,0.12,0,0,0,0,0,0,0,0
1,2,49.232227,3.152700,46.063683,0.015844,13328,2819,1.248890,0.487611,0.12,0.12,0.14,0.12,0.14,0.12,0.12,0.12,0,0,0,0,0,0,0,0
1,0,49.232830,3.152700,46.063683,0.016447,13328,2819,1.248890,0.487611,0.12,0.12,0.14,0.12,0.14,0.12,0.12,0.12,0,0,0,0,0.0044345898004434225,0,0,0
1,1,49.232227,3.152700,46.063683,0.015844,13328,2819,1.248890,0.487611,0.12,0.12,0.14,0.12,0.14,0.12,0.12,0.12,0,0,0,0,0,0,0,0
2,2,46.671469,3.109800,43.545825,0.015844,13232,2866,1.239895,0.495741,0.11655925000000002,0.11655925000000002,0.15032225000000005,0.11655925000000002,0.15032225000000005,0.11655925000000002,0.11655925000000002,0.11655925000000002,0,0,0,0,0,0,0,0
2,0,46.671469,3.109800,43.545825,0.015844,13232,2866,1.239895,0.495741,0.11655925000000002,0.11655925000000002,0.15032225000000005,0.11655925000000002,0.15032225000000005,0.11655925000000002,0.11655925000000002,0.11655925000000002,0,0,0,0,0,0,0,0
2,3,46.671469,3.109800,43.545825,0.015844,13232,2866,1.239895,0.495741,0.11655925000000002,0.11655925000000002,0.15032225000000005,0.11655925000000002,0.15032225000000005,0.11655925000000002,0.11655925000000002,0.11655925000000002,0,0,0,0,0,0,0,0
2,1,46.671469,3.109800,43.545825,0.015844,13232,2866,1.239895,0.495741,0.11655925000000002,0.11655925000000002,0.15032225000000005,0.11655925000000002,0.15032225000000005,0.11655925000000002,0.11655925000000002,0.11655925000000002,0,0,0,0,0,0,0,0
3,3,44.225864,3.066900,41.143120,0.015844,13136,2913,1.230899,0.503870,0.11382687500000001,0.11382687500000001,0.158519875,0.113825875,0.158519875,0.11382687500000001,0.11382687500000001,0.11382687500000001,0,0,0,0,0,0,0,0
3,2,44.225864,3.066900,41.143120,0.015844,13136,2913,1.230899,0.503870,0.11382687500000001,0.11382687500000001,0.158519875,0.113825875,0.158519875,0.11382687500000001,0.11382687500000001,0.11382687500000001,0,0,0,0,0,0,0,0
3,0,44.225864,3.066900,41.143120,0.015844,13136,2913,1.230899,0.503870,0.11382687500000001,0.11382687500000001,0.158519875,0.113825875,0.158519875,0.11382687500000001,0.11382687500000001,0.11382687500000001,0,0,0,0,0,0,0,0
3,1,44.226365,3.066900,41.143120,0.016345,13136,2913,1.230899,0.503870,0.11382687500000001,0.11382687500000001,0.158519875,0.113825875,0.158519875,0.11382687500000001,0.11382687500000001,0.11382687500000001,0,0,0,0,0.003762227238525262,0,0,0
4,2,41.889926,3.024000,38.850082,0.015844,13040,2960,1.221903,0.512000,0.11152587500000001,0.11152587500000001,0.165422875,0.11152487500000001,0.165422875,0.11152587500000001,0.11152587500000001,0.11152587500000001,0,0,0,0,0,0,0,0
4,1,41.889926,3.024000,38.850082,0.015844,13040,2960,1.221903,0.512000,0.11152587500000001,0.11152587500000001,0.165422875,0.11152487500000001,0.165422875,0.11152587500000001,0.11152587500000001,0.11152587500000001,0,0,0,0,0,0,0,0
4,3,41.889926,3.024000,38.850082,0.015844,13040,2960,1.221903,0.512000,0.11152587500000001,0.11152587500000001,0.165422875,0.11152487500000001,0.165422875,0.11152587500000001,0.11152587500000001,0.11152587500000001,0,0,0,0,0,0,0,0
4,0,41.889926,3.024000,38.850082,0.015844,13040,2960,1.221903,0.512000,0.11152587500000001,0.11152587500000001,0.165422875,0.11152487500000001,0.165422875,0.11152587500000001,0.11152587500000001,0.11152587500000001,0,0,0,0,0,0,0,0
5,0,39.644068,2.980800,36.647424,0.015844,12944,3008,1.212908,0.520303,0.10952587500000001,0.10952587500000001,0.171422875,0.10952487500000001,0.171422875,0.10952587500000001,0.10952587500000001,0.10952587500000001,0,0,0,0,0,0,0,0
5,3,39.644068,2.980800,36.647424,0.015844,12944,3008,1.212908,0.520303,0.10952587500000001,0.10952587500000001,0.171422875,0.10952487500000001,0.171422875,0.10952587500000001,0.10952587500000001,0.10952587500000001,0,0,0,0,0,0,0,0
