iter,sample,CostTheory,costPower,costError,costQoS,P,R,Pcoef,Rcoef,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
0,3,63.378807,2.160900,1.469683,59.748225,10671,3468,0.999918,0.299935,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0,0.4426751592356688,0.06451612903225812,1.0,0,0,0
1,0,39.963229,2.709300,1.515090,35.738839,10754,1723,1.007695,0.149016,0.11445112500000001,0.11445112500000001,0.146665125,0.125022125,0.15292212500000002,0.11445112500000001,0.11758612500000001,0.11445112500000001,0,0,0,0,0.8442703232125367,0,0,0
1,1,71.581684,2.709300,1.515090,67.357294,10754,1723,1.007695,0.149016,0.11445112500000001,0.11445112500000001,0.146665125,0.125022125,0.15292212500000002,0.11445112500000001,0.11758612500000001,0.11445112500000001,0,0,0.5826330532212884,0.1146496815286624,1.0,0,0,0
1,3,50.499992,2.709300,1.515090,46.275602,10754,1723,1.007695,0.149016,0.11445112500000001,0.11445112500000001,0.146665125,0.125022125,0.15292212500000002,0.11445112500000001,0.11758612500000001,0.11445112500000001,0,0,0.16346153846153844,0,1.0,0,0,0
1,2,47.438836,2.709300,1.515090,43.214446,10754,1723,1.007695,0.149016,0.11445112500000001,0.11445112500000001,0.146665125,0.125022125,0.15292212500000002,0.11445112500000001,0.11758612500000001,0.11445112500000001,0,0,0.004297994269340966,0,1.0,0,0,0
2,3,22.406802,2.994000,1.560198,17.852604,10829,849,1.014723,0.073427,0.10610187499999998,0.10610187499999998,0.14899287499999997,0.11724487499999998,0.199696875,0.10610187499999998,0.10965787499999999,0.10610187499999998,0,0,0.05431754874651806,0,0.47063978965819453,0,0,0
2,1,40.710909,2.994000,1.560198,36.156711,10829,849,1.014723,0.073427,0.10610187499999998,0.10610187499999998,0.14899287499999997,0.11724487499999998,0.199696875,0.10610187499999998,0.10965787499999999,0.10610187499999998,0,0,0,0.018292682926829285,0.8528938906752411,0,0,0
2,0,51.829020,2.994000,1.560198,47.274823,10829,849,1.014723,0.073427,0.10610187499999998,0.10610187499999998,0.14899287499999997,0.11724487499999998,0.199696875,0.10610187499999998,0.10965787499999999,0.10610187499999998,0,0,0.16831683168316824,0.10810810810810811,1.0,0,0,0
2,2,36.721704,2.994000,1.560198,32.167506,10829,849,1.014723,0.073427,0.10610187499999998,0.10610187499999998,0.14899287499999997,0.11724487499999998,0.199696875,0.10610187499999998,0.10965787499999999,0.10610187499999998,0,0,0,0,0.7698675496688742,0,0,0
3,3,4.810197,3.150300,1.618139,0.041758,10912,411,1.022501,0.035546,0.09860975,0.09860975,0.14416275,0.11022974999999999,0.24851375,0.09860975,0.10265474999999999,0.09860975,0,0,0,0,0.04435483870967738,0,0,0
3,2,7.721271,3.150300,1.618139,2.952832,10912,411,1.022501,0.035546,0.09860975,0.09860975,0.14416275,0.11022974999999999,0.24851375,0.09860975,0.10265474999999999,0.09860975,0,0,0,0,0.16079999999999994,0,0,0
3,0,17.437451,3.150300,1.618139,12.669012,10912,411,1.022501,0.035546,0.09860975,0.09860975,0.14416275,0.11022974999999999,0.24851375,0.09860975,0.10265474999999999,0.09860975,0,0,0,0.1049723756906078,0.34946677604593923,0,0,0
3,1,58.296953,3.150300,1.618139,53.528514,10912,411,1.022501,0.035546,0.09860975,0.09860975,0.14416275,0.11022974999999999,0.24851375,0.09860975,0.10265474999999999,0.09860975,0,0,0,0.08749999999999991,0.8710232158211522,0,0.4375,0
4,2,7.109829,3.230100,1.679574,2.200155,10966,199,1.027561,0.017211,0.09402575000000002,0.09402575000000002,0.13957875000000003,0.10627575000000002,0.27363675000000004,0.09402575000000002,0.10440575000000002,0.09402575000000002,0,0,0,0,0.14442700156985866,0,0,0
